ID(a),type(r),ID(b)
254.0,REGULATES_GrG,85211.0
254.0,REGULATES_GrG,89712.0
254.0,INTERACTS_GiG,31648.0
254.0,INTERACTS_GiG,60338.0
254.0,INTERACTS_GiG,47636.0
254.0,INTERACTS_GiG,9176.0
254.0,INTERACTS_GiG,58298.0
254.0,INTERACTS_GiG,91051.0
254.0,SL_GsG,33264.0
254.0,SL_GsG,93418.0
254.0,SL_GsG,55810.0
254.0,SL_GsG,58426.0
254.0,SL_GsG,47636.0
254.0,SL_GsG,85188.0
254.0,SL_GsG,23363.0
254.0,SL_GsG,86177.0
254.0,SL_GsG,66175.0
254.0,SL_GsG,86335.0
254.0,COVARIES_GcG,61862.0
254.0,SR_GsrG,89712.0
254.0,SR_GsrG,58298.0
254.0,NONSL_GnsG,55035.0
254.0,NONSL_GnsG,2524.0
2524.0,REGULATES_GrG,89712.0
2524.0,REGULATES_GrG,87381.0
2524.0,INTERACTS_GiG,26275.0
2524.0,SL_GsG,18839.0
3294.0,SL_GsG,61622.0
3375.0,REGULATES_GrG,89712.0
3375.0,INTERACTS_GiG,94589.0
3375.0,INTERACTS_GiG,61622.0
3375.0,INTERACTS_GiG,48627.0
3375.0,INTERACTS_GiG,47636.0
3375.0,INTERACTS_GiG,66175.0
3375.0,INTERACTS_GiG,83496.0
3375.0,INTERACTS_GiG,26328.0
3375.0,INTERACTS_GiG,73372.0
3375.0,INTERACTS_GiG,93418.0
3375.0,INTERACTS_GiG,55810.0
3375.0,INTERACTS_GiG,46130.0
3375.0,INTERACTS_GiG,76660.0
3375.0,INTERACTS_GiG,86335.0
3375.0,INTERACTS_GiG,7332.0
3375.0,INTERACTS_GiG,80130.0
3375.0,INTERACTS_GiG,60338.0
3375.0,SL_GsG,41830.0
3375.0,SL_GsG,33264.0
3375.0,SL_GsG,74282.0
3375.0,SL_GsG,86335.0
3375.0,SL_GsG,55810.0
3375.0,SL_GsG,55035.0
3375.0,SL_GsG,58426.0
3375.0,SL_GsG,90181.0
3375.0,SL_GsG,66733.0
3375.0,SL_GsG,254.0
3375.0,SL_GsG,86177.0
3375.0,SL_GsG,92974.0
3375.0,SL_GsG,66175.0
3375.0,SL_GsG,73372.0
3375.0,SL_GsG,85188.0
3375.0,SL_GsG,43783.0
3375.0,SL_GsG,46130.0
3375.0,NONSL_GnsG,21127.0
5631.0,REGULATES_GrG,27528.0
5631.0,SL_GsG,31516.0
5631.0,SL_GsG,92974.0
5631.0,SL_GsG,69367.0
5631.0,SL_GsG,15850.0
5631.0,SL_GsG,58426.0
5631.0,SL_GsG,43185.0
5631.0,SL_GsG,40016.0
7332.0,REGULATES_GrG,85534.0
7332.0,REGULATES_GrG,86335.0
7332.0,REGULATES_GrG,89712.0
7332.0,REGULATES_GrG,48399.0
7332.0,REGULATES_GrG,85188.0
7332.0,REGULATES_GrG,85211.0
7332.0,INTERACTS_GiG,94589.0
7332.0,INTERACTS_GiG,12205.0
7332.0,INTERACTS_GiG,60338.0
7332.0,INTERACTS_GiG,61622.0
7332.0,INTERACTS_GiG,80130.0
7332.0,INTERACTS_GiG,73372.0
7332.0,SL_GsG,24720.0
7332.0,SL_GsG,58426.0
7332.0,SL_GsG,56881.0
7332.0,SL_GsG,46130.0
7332.0,SL_GsG,24016.0
7332.0,SL_GsG,34485.0
9176.0,REGULATES_GrG,85211.0
9176.0,REGULATES_GrG,80130.0
9176.0,REGULATES_GrG,86335.0
9176.0,REGULATES_GrG,43783.0
9176.0,REGULATES_GrG,27528.0
9176.0,REGULATES_GrG,31648.0
9176.0,REGULATES_GrG,14011.0
9176.0,INTERACTS_GiG,22342.0
9176.0,INTERACTS_GiG,60338.0
9176.0,INTERACTS_GiG,86335.0
9176.0,INTERACTS_GiG,85211.0
9176.0,SL_GsG,85211.0
9176.0,SR_GsrG,89712.0
9176.0,SR_GsrG,86208.0
9176.0,NONSL_GnsG,74282.0
12205.0,SL_GsG,34485.0
12205.0,SL_GsG,14011.0
12205.0,SL_GsG,1204.0
12205.0,SL_GsG,81402.0
12205.0,SL_GsG,48627.0
12205.0,SL_GsG,73372.0
12205.0,SL_GsG,61622.0
12205.0,SL_GsG,80970.0
12205.0,SL_GsG,83496.0
12205.0,SL_GsG,48399.0
12205.0,SL_GsG,14106.0
12205.0,SL_GsG,5964.0
12205.0,SL_GsG,46130.0
12205.0,SL_GsG,43783.0
13068.0,SL_GsG,73372.0
13068.0,SL_GsG,34485.0
13068.0,SL_GsG,80970.0
13068.0,SL_GsG,41154.0
13068.0,SL_GsG,14011.0
13068.0,NONSL_GnsG,14011.0
14011.0,INTERACTS_GiG,73545.0
14011.0,SL_GsG,48627.0
14011.0,SL_GsG,27297.0
14011.0,SL_GsG,75444.0
14011.0,SL_GsG,9176.0
14011.0,SL_GsG,7332.0
14011.0,SL_GsG,5964.0
14011.0,SL_GsG,21929.0
14011.0,SL_GsG,31516.0
14011.0,SL_GsG,92974.0
14011.0,SL_GsG,73372.0
14011.0,SL_GsG,86177.0
14011.0,SL_GsG,80970.0
14011.0,SL_GsG,1204.0
14011.0,SL_GsG,86335.0
14011.0,SL_GsG,58298.0
14011.0,SL_GsG,94589.0
14011.0,SL_GsG,14011.0
15850.0,INTERACTS_GiG,77610.0
15850.0,INTERACTS_GiG,66202.0
15850.0,INTERACTS_GiG,73545.0
15850.0,SL_GsG,93418.0
15850.0,SL_GsG,33264.0
15850.0,SL_GsG,66175.0
15850.0,NONSL_GnsG,80130.0
15850.0,NONSL_GnsG,56655.0
15850.0,NONSL_GnsG,55035.0
15850.0,NONSL_GnsG,81402.0
15850.0,NONSL_GnsG,23363.0
18839.0,REGULATES_GrG,27528.0
18839.0,REGULATES_GrG,86335.0
18839.0,INTERACTS_GiG,21808.0
18839.0,INTERACTS_GiG,27528.0
18839.0,INTERACTS_GiG,34485.0
18839.0,SL_GsG,26275.0
18839.0,SL_GsG,5964.0
18839.0,SL_GsG,85534.0
18839.0,SL_GsG,94589.0
18839.0,SL_GsG,89712.0
18839.0,SL_GsG,66175.0
18839.0,SL_GsG,9176.0
21127.0,REGULATES_GrG,89712.0
21127.0,REGULATES_GrG,254.0
21127.0,REGULATES_GrG,88859.0
21127.0,REGULATES_GrG,2524.0
21127.0,INTERACTS_GiG,18839.0
21127.0,INTERACTS_GiG,91051.0
21127.0,INTERACTS_GiG,21808.0
21127.0,INTERACTS_GiG,73545.0
21127.0,SL_GsG,2524.0
21127.0,SL_GsG,91051.0
21127.0,SL_GsG,46130.0
21127.0,SL_GsG,21808.0
21127.0,SL_GsG,85188.0
21127.0,SL_GsG,90181.0
21127.0,SL_GsG,86335.0
21127.0,SL_GsG,66175.0
21127.0,SL_GsG,61862.0
21127.0,SL_GsG,73372.0
21127.0,SL_GsG,41830.0
21127.0,NONSL_GnsG,34163.0
21127.0,NONSL_GnsG,91051.0
21127.0,NONSL_GnsG,254.0
21808.0,INTERACTS_GiG,85211.0
21808.0,INTERACTS_GiG,9176.0
21808.0,SL_GsG,14011.0
21808.0,SL_GsG,34485.0
21808.0,SL_GsG,61862.0
21808.0,SL_GsG,5964.0
21808.0,SL_GsG,86177.0
21808.0,SL_GsG,85188.0
21808.0,SL_GsG,1204.0
21929.0,REGULATES_GrG,85211.0
21929.0,SL_GsG,80130.0
21929.0,SL_GsG,9176.0
21929.0,SL_GsG,29939.0
21929.0,SL_GsG,55035.0
21929.0,SL_GsG,31317.0
21929.0,NONSL_GnsG,80130.0
21929.0,NONSL_GnsG,85188.0
21929.0,NONSL_GnsG,24016.0
21929.0,NONSL_GnsG,55035.0
22342.0,REGULATES_GrG,86335.0
22342.0,INTERACTS_GiG,73545.0
22342.0,INTERACTS_GiG,84525.0
22342.0,INTERACTS_GiG,69367.0
22342.0,INTERACTS_GiG,66733.0
22342.0,INTERACTS_GiG,26328.0
22342.0,SL_GsG,47636.0
22342.0,SL_GsG,254.0
23363.0,REGULATES_GrG,27528.0
23363.0,REGULATES_GrG,15850.0
23363.0,REGULATES_GrG,254.0
23363.0,REGULATES_GrG,89712.0
23363.0,INTERACTS_GiG,24016.0
23363.0,INTERACTS_GiG,91051.0
23363.0,INTERACTS_GiG,26275.0
23363.0,INTERACTS_GiG,88859.0
23363.0,SL_GsG,88859.0
23363.0,SL_GsG,56655.0
23363.0,SL_GsG,2524.0
23363.0,SL_GsG,55810.0
23363.0,SL_GsG,47636.0
23363.0,SL_GsG,85188.0
23363.0,SL_GsG,21808.0
23363.0,NONSL_GnsG,9176.0
23363.0,NONSL_GnsG,85534.0
23754.0,INTERACTS_GiG,21808.0
23754.0,INTERACTS_GiG,26275.0
23754.0,INTERACTS_GiG,9176.0
23754.0,INTERACTS_GiG,58298.0
23754.0,SL_GsG,21808.0
23754.0,SL_GsG,254.0
23754.0,SL_GsG,86335.0
23754.0,SL_GsG,41830.0
23754.0,SL_GsG,73372.0
23754.0,SL_GsG,66175.0
23754.0,SL_GsG,58298.0
23754.0,SL_GsG,33264.0
23754.0,SL_GsG,86177.0
23754.0,SL_GsG,88859.0
23754.0,NONSL_GnsG,55035.0
23754.0,NONSL_GnsG,47636.0
23754.0,NONSL_GnsG,81402.0
24016.0,INTERACTS_GiG,26275.0
24016.0,SL_GsG,26275.0
24016.0,SL_GsG,18839.0
24016.0,SL_GsG,94589.0
24016.0,SL_GsG,85534.0
24016.0,SL_GsG,9176.0
24016.0,NONSL_GnsG,9176.0
24016.0,NONSL_GnsG,85534.0
