ID(a),type(r),ID(b)
847.0,INTERACTS_GiG,84525.0
847.0,SL_GsG,47636.0
847.0,SL_GsG,66175.0
847.0,SL_GsG,55035.0
847.0,NONSL_GnsG,85534.0
847.0,NONSL_GnsG,55035.0
3375.0,INTERACTS_GiG,33598.0
3375.0,INTERACTS_GiG,47636.0
3375.0,INTERACTS_GiG,66175.0
3375.0,INTERACTS_GiG,73372.0
3375.0,INTERACTS_GiG,55810.0
3375.0,INTERACTS_GiG,46130.0
3375.0,INTERACTS_GiG,59804.0
3375.0,INTERACTS_GiG,86335.0
3375.0,SL_GsG,33598.0
3375.0,SL_GsG,41830.0
3375.0,SL_GsG,53188.0
3375.0,SL_GsG,33264.0
3375.0,SL_GsG,74282.0
3375.0,SL_GsG,86335.0
3375.0,SL_GsG,55810.0
3375.0,SL_GsG,55035.0
3375.0,SL_GsG,31227.0
3375.0,SL_GsG,90181.0
3375.0,SL_GsG,66733.0
3375.0,SL_GsG,86177.0
3375.0,SL_GsG,66175.0
3375.0,SL_GsG,73372.0
3375.0,SL_GsG,46130.0
9176.0,REGULATES_GrG,86335.0
9176.0,REGULATES_GrG,25839.0
9176.0,REGULATES_GrG,33598.0
9176.0,REGULATES_GrG,14011.0
9176.0,INTERACTS_GiG,22342.0
9176.0,INTERACTS_GiG,59804.0
9176.0,INTERACTS_GiG,86335.0
9176.0,SL_GsG,83158.0
9176.0,SR_GsrG,86208.0
9176.0,NONSL_GnsG,74282.0
14011.0,REGULATES_GrG,33598.0
14011.0,SL_GsG,9176.0
14011.0,SL_GsG,21929.0
14011.0,SL_GsG,73372.0
14011.0,SL_GsG,86177.0
14011.0,SL_GsG,86335.0
14011.0,SL_GsG,14011.0
15850.0,REGULATES_GrG,26358.0
15850.0,SL_GsG,33264.0
15850.0,SL_GsG,59804.0
15850.0,SL_GsG,66175.0
15850.0,NONSL_GnsG,56655.0
15850.0,NONSL_GnsG,55035.0
15850.0,NONSL_GnsG,23363.0
17393.0,INTERACTS_GiG,22342.0
17393.0,INTERACTS_GiG,18839.0
17393.0,SL_GsG,86177.0
17393.0,SL_GsG,31227.0
17393.0,SL_GsG,55810.0
17393.0,SL_GsG,847.0
17393.0,SL_GsG,22342.0
17393.0,SL_GsG,56655.0
17393.0,SL_GsG,33264.0
17393.0,SR_GsrG,66677.0
17393.0,SR_GsrG,83158.0
17393.0,SR_GsrG,84525.0
18839.0,REGULATES_GrG,86335.0
18839.0,REGULATES_GrG,31227.0
18839.0,SL_GsG,85534.0
18839.0,SL_GsG,66175.0
18839.0,SL_GsG,9176.0
21929.0,REGULATES_GrG,31227.0
21929.0,SL_GsG,73780.0
21929.0,SL_GsG,9176.0
21929.0,SL_GsG,29939.0
21929.0,SL_GsG,55035.0
21929.0,SL_GsG,31317.0
21929.0,SL_GsG,31227.0
21929.0,NONSL_GnsG,33532.0
21929.0,NONSL_GnsG,55035.0
22342.0,REGULATES_GrG,25839.0
22342.0,REGULATES_GrG,86335.0
22342.0,INTERACTS_GiG,59804.0
22342.0,INTERACTS_GiG,847.0
22342.0,INTERACTS_GiG,84525.0
22342.0,INTERACTS_GiG,69367.0
22342.0,INTERACTS_GiG,66733.0
22342.0,SL_GsG,47636.0
22342.0,SL_GsG,59804.0
23363.0,REGULATES_GrG,15850.0
23363.0,INTERACTS_GiG,26358.0
23363.0,SL_GsG,56655.0
23363.0,SL_GsG,55810.0
23363.0,SL_GsG,31227.0
23363.0,SL_GsG,73780.0
23363.0,SL_GsG,47636.0
23363.0,SL_GsG,25839.0
23363.0,NONSL_GnsG,9176.0
23363.0,NONSL_GnsG,85534.0
25839.0,SL_GsG,73780.0
