ID(a),type(r),ID(b)
324.0,SL_GsG,10799.0
324.0,SL_GsG,50638.0
324.0,SL_GsG,29430.0
1483.0,INTERACTS_GiG,38662.0
1483.0,INTERACTS_GiG,20190.0
1483.0,SL_GsG,38662.0
1483.0,SL_GsG,94780.0
1483.0,SL_GsG,43115.0
1483.0,SL_GsG,24195.0
1483.0,SL_GsG,87216.0
1483.0,SL_GsG,60761.0
1483.0,SR_GsrG,90373.0
1483.0,SR_GsrG,2964.0
1483.0,NONSL_GnsG,47636.0
1483.0,NONSL_GnsG,68866.0
1606.0,REGULATES_GrG,16010.0
1606.0,SL_GsG,10799.0
2051.0,REGULATES_GrG,17565.0
2051.0,REGULATES_GrG,69689.0
2051.0,REGULATES_GrG,73780.0
2051.0,REGULATES_GrG,16010.0
2051.0,SL_GsG,87320.0
2051.0,SL_GsG,65458.0
2051.0,SL_GsG,72207.0
2051.0,SL_GsG,92091.0
2051.0,SL_GsG,53092.0
2051.0,SL_GsG,74945.0
2051.0,SL_GsG,20190.0
2051.0,SL_GsG,70281.0
2051.0,SL_GsG,10708.0
2051.0,SL_GsG,22800.0
2051.0,SL_GsG,23438.0
2051.0,SL_GsG,95418.0
2051.0,SL_GsG,25943.0
2051.0,SL_GsG,22099.0
2051.0,SL_GsG,71129.0
2051.0,SL_GsG,43327.0
2051.0,SL_GsG,43898.0
2051.0,SL_GsG,42330.0
2051.0,SL_GsG,1483.0
2051.0,SL_GsG,63476.0
2051.0,SL_GsG,55810.0
2051.0,SL_GsG,90465.0
2051.0,SL_GsG,52225.0
2051.0,SL_GsG,82758.0
2051.0,NONSL_GnsG,53736.0
2194.0,SL_GsG,10799.0
2304.0,REGULATES_GrG,47025.0
2304.0,SL_GsG,43050.0
2304.0,SL_GsG,6456.0
2304.0,SL_GsG,87381.0
2304.0,SL_GsG,38662.0
2304.0,SL_GsG,3375.0
2304.0,SL_GsG,50430.0
2304.0,SR_GsrG,17170.0
2304.0,NONSL_GnsG,92091.0
2524.0,REGULATES_GrG,51196.0
2524.0,REGULATES_GrG,91446.0
2524.0,REGULATES_GrG,9021.0
2524.0,REGULATES_GrG,87381.0
2524.0,INTERACTS_GiG,4307.0
2524.0,INTERACTS_GiG,92091.0
2524.0,SL_GsG,92091.0
2724.0,SL_GsG,15507.0
2982.0,SL_GsG,10799.0
3294.0,SL_GsG,55083.0
3375.0,INTERACTS_GiG,47636.0
3375.0,INTERACTS_GiG,7476.0
3375.0,INTERACTS_GiG,55810.0
3375.0,INTERACTS_GiG,46130.0
3375.0,INTERACTS_GiG,76660.0
3375.0,SL_GsG,71406.0
3375.0,SL_GsG,90465.0
3375.0,SL_GsG,19296.0
3375.0,SL_GsG,44340.0
3375.0,SL_GsG,87385.0
3375.0,SL_GsG,9758.0
3375.0,SL_GsG,55810.0
3375.0,SL_GsG,31227.0
3375.0,SL_GsG,90181.0
3375.0,SL_GsG,82758.0
3375.0,SL_GsG,92091.0
3375.0,SL_GsG,85188.0
3375.0,SL_GsG,15507.0
3375.0,SL_GsG,43783.0
3375.0,SL_GsG,46130.0
3375.0,SL_GsG,73856.0
3375.0,SL_GsG,28733.0
3600.0,INTERACTS_GiG,29711.0
3600.0,SL_GsG,28733.0
3600.0,SL_GsG,4307.0
3600.0,SL_GsG,9419.0
3600.0,SL_GsG,88859.0
3600.0,SL_GsG,12970.0
3600.0,SL_GsG,64034.0
3600.0,SL_GsG,90057.0
3600.0,NONSL_GnsG,19193.0
3600.0,NONSL_GnsG,30188.0
4073.0,SL_GsG,68194.0
4073.0,NONSL_GnsG,69296.0
4073.0,NONSL_GnsG,35301.0
4073.0,NONSL_GnsG,31300.0
4307.0,REGULATES_GrG,19296.0
4307.0,SL_GsG,93935.0
4307.0,SL_GsG,59492.0
4307.0,SL_GsG,55810.0
4307.0,NONSL_GnsG,28733.0
4307.0,NONSL_GnsG,29711.0
4825.0,SL_GsG,87216.0
4825.0,SL_GsG,7476.0
4825.0,NONSL_GnsG,4307.0
4825.0,NONSL_GnsG,92091.0
4825.0,NONSL_GnsG,71820.0
5138.0,SL_GsG,29430.0
5572.0,REGULATES_GrG,64562.0
5572.0,REGULATES_GrG,69894.0
5572.0,SL_GsG,90465.0
6456.0,INTERACTS_GiG,76564.0
6456.0,INTERACTS_GiG,91446.0
6456.0,INTERACTS_GiG,31300.0
6456.0,INTERACTS_GiG,7476.0
6456.0,INTERACTS_GiG,55810.0
6456.0,SL_GsG,90465.0
6456.0,SL_GsG,68194.0
6456.0,SL_GsG,42330.0
6456.0,SL_GsG,93935.0
6685.0,SL_GsG,47636.0
6685.0,SL_GsG,90057.0
6685.0,SL_GsG,19296.0
6685.0,SL_GsG,19193.0
6685.0,SL_GsG,88635.0
6685.0,SL_GsG,48732.0
6685.0,SL_GsG,43327.0
6685.0,SL_GsG,74945.0
6685.0,SL_GsG,38662.0
6685.0,SL_GsG,92091.0
6685.0,SL_GsG,50430.0
6685.0,SL_GsG,95418.0
6685.0,SL_GsG,26824.0
7159.0,SL_GsG,10799.0
7243.0,SL_GsG,10799.0
7476.0,SL_GsG,52225.0
7476.0,SL_GsG,25943.0
7822.0,SL_GsG,88859.0
7822.0,SL_GsG,12970.0
7822.0,SL_GsG,1483.0
7822.0,SL_GsG,47636.0
7822.0,SL_GsG,16910.0
7822.0,SL_GsG,77445.0
8185.0,SL_GsG,10799.0
9021.0,REGULATES_GrG,47088.0
9021.0,INTERACTS_GiG,73995.0
9021.0,SL_GsG,17170.0
9021.0,SL_GsG,28733.0
9021.0,NONSL_GnsG,53736.0
9419.0,INTERACTS_GiG,35301.0
9419.0,INTERACTS_GiG,39596.0
9419.0,INTERACTS_GiG,72933.0
9419.0,INTERACTS_GiG,43474.0
9419.0,INTERACTS_GiG,91579.0
9419.0,INTERACTS_GiG,72207.0
9419.0,INTERACTS_GiG,51663.0
9419.0,SL_GsG,17121.0
9419.0,SL_GsG,13799.0
9419.0,SL_GsG,43115.0
9419.0,SL_GsG,31227.0
9419.0,SL_GsG,65458.0
9758.0,REGULATES_GrG,69689.0
9758.0,REGULATES_GrG,16010.0
9758.0,REGULATES_GrG,86191.0
9758.0,REGULATES_GrG,87381.0
9758.0,INTERACTS_GiG,90181.0
9758.0,INTERACTS_GiG,37681.0
9758.0,INTERACTS_GiG,68866.0
9758.0,INTERACTS_GiG,38962.0
9758.0,INTERACTS_GiG,8185.0
9758.0,INTERACTS_GiG,55323.0
9758.0,INTERACTS_GiG,92091.0
9758.0,INTERACTS_GiG,53736.0
9758.0,INTERACTS_GiG,23363.0
9758.0,INTERACTS_GiG,10925.0
9758.0,INTERACTS_GiG,88859.0
9758.0,INTERACTS_GiG,22800.0
9758.0,INTERACTS_GiG,20190.0
9758.0,INTERACTS_GiG,48383.0
9758.0,INTERACTS_GiG,84311.0
9758.0,INTERACTS_GiG,36615.0
9758.0,INTERACTS_GiG,39596.0
9758.0,INTERACTS_GiG,74469.0
9758.0,INTERACTS_GiG,28733.0
9758.0,INTERACTS_GiG,24683.0
9758.0,SL_GsG,85188.0
9758.0,SL_GsG,23363.0
9758.0,SL_GsG,88859.0
9758.0,SL_GsG,35301.0
9758.0,SL_GsG,61862.0
9758.0,SL_GsG,43474.0
9758.0,SL_GsG,31227.0
9758.0,SL_GsG,90465.0
9758.0,SL_GsG,70890.0
9758.0,SL_GsG,14789.0
9758.0,SL_GsG,59765.0
9758.0,SL_GsG,30281.0
9758.0,SL_GsG,53736.0
9758.0,SL_GsG,20190.0
9758.0,SL_GsG,70281.0
9758.0,SL_GsG,73856.0
9758.0,SL_GsG,10925.0
9758.0,SL_GsG,28733.0
9758.0,SL_GsG,2524.0
9758.0,SL_GsG,68194.0
9758.0,SL_GsG,44340.0
9758.0,SL_GsG,14537.0
9758.0,SR_GsrG,31227.0
9758.0,SR_GsrG,17170.0
9758.0,NONSL_GnsG,92223.0
9758.0,NONSL_GnsG,19193.0
9758.0,NONSL_GnsG,31227.0
9758.0,NONSL_GnsG,2524.0
9758.0,NONSL_GnsG,95418.0
10708.0,SL_GsG,47088.0
10708.0,SL_GsG,92091.0
10708.0,SL_GsG,37681.0
10708.0,SL_GsG,71820.0
10708.0,SL_GsG,71459.0
10708.0,SL_GsG,24195.0
10708.0,SL_GsG,36615.0
10708.0,SL_GsG,95418.0
10799.0,SL_GsG,91337.0
10866.0,INTERACTS_GiG,6456.0
10866.0,INTERACTS_GiG,9419.0
10866.0,INTERACTS_GiG,88859.0
10866.0,INTERACTS_GiG,46714.0
10866.0,INTERACTS_GiG,60761.0
10866.0,INTERACTS_GiG,73856.0
10866.0,INTERACTS_GiG,44340.0
10866.0,SL_GsG,10799.0
10925.0,REGULATES_GrG,88859.0
10925.0,REGULATES_GrG,31227.0
10925.0,REGULATES_GrG,47088.0
10925.0,REGULATES_GrG,51196.0
10925.0,INTERACTS_GiG,78733.0
10925.0,INTERACTS_GiG,57373.0
10925.0,INTERACTS_GiG,38962.0
10925.0,INTERACTS_GiG,92091.0
10925.0,INTERACTS_GiG,88859.0
10925.0,INTERACTS_GiG,48383.0
10925.0,INTERACTS_GiG,20190.0
10925.0,INTERACTS_GiG,85188.0
10925.0,SL_GsG,55810.0
10925.0,SL_GsG,2724.0
10925.0,SL_GsG,82758.0
10925.0,SL_GsG,92091.0
10925.0,SL_GsG,91579.0
10925.0,SL_GsG,55083.0
10925.0,SL_GsG,15507.0
10925.0,SL_GsG,25943.0
10925.0,SL_GsG,94780.0
10925.0,SL_GsG,52225.0
10925.0,SL_GsG,7476.0
10925.0,SL_GsG,95418.0
11657.0,SL_GsG,10799.0
12455.0,SL_GsG,90465.0
12455.0,SL_GsG,55899.0
12455.0,SL_GsG,2524.0
12455.0,SL_GsG,94780.0
12455.0,SL_GsG,46366.0
12455.0,SL_GsG,74469.0
12455.0,SL_GsG,70281.0
12455.0,NONSL_GnsG,92091.0
12692.0,INTERACTS_GiG,68307.0
12692.0,SL_GsG,68866.0
12692.0,SL_GsG,25943.0
12692.0,SL_GsG,47636.0
12692.0,SL_GsG,55810.0
12692.0,SL_GsG,32837.0
12692.0,SL_GsG,93822.0
12692.0,SL_GsG,30188.0
12692.0,SL_GsG,70890.0
12849.0,SL_GsG,85188.0
12849.0,SL_GsG,1483.0
12849.0,SL_GsG,95418.0
12849.0,SL_GsG,92091.0
12849.0,SL_GsG,78202.0
12970.0,REGULATES_GrG,25943.0
12970.0,INTERACTS_GiG,52225.0
12970.0,SL_GsG,52225.0
12970.0,SL_GsG,16910.0
13666.0,REGULATES_GrG,47088.0
13666.0,SL_GsG,59765.0
13666.0,SR_GsrG,2964.0
13666.0,SR_GsrG,88635.0
13666.0,NONSL_GnsG,68866.0
