ID(a),type(r),ID(b)
168.0,SL_GsG,60732.0
254.0,REGULATES_GrG,25053.0
254.0,REGULATES_GrG,33598.0
254.0,REGULATES_GrG,32600.0
254.0,REGULATES_GrG,85211.0
254.0,REGULATES_GrG,65040.0
254.0,REGULATES_GrG,41386.0
254.0,REGULATES_GrG,89098.0
254.0,REGULATES_GrG,14542.0
254.0,REGULATES_GrG,14870.0
254.0,REGULATES_GrG,20376.0
254.0,REGULATES_GrG,59379.0
254.0,REGULATES_GrG,24358.0
254.0,REGULATES_GrG,68069.0
254.0,REGULATES_GrG,43661.0
254.0,INTERACTS_GiG,31648.0
254.0,INTERACTS_GiG,60338.0
254.0,INTERACTS_GiG,27532.0
254.0,INTERACTS_GiG,47636.0
254.0,INTERACTS_GiG,25009.0
254.0,INTERACTS_GiG,11354.0
254.0,INTERACTS_GiG,72913.0
254.0,INTERACTS_GiG,9176.0
254.0,INTERACTS_GiG,34557.0
254.0,INTERACTS_GiG,91051.0
254.0,SL_GsG,33264.0
254.0,SL_GsG,35001.0
254.0,SL_GsG,9758.0
254.0,SL_GsG,69057.0
254.0,SL_GsG,25009.0
254.0,SL_GsG,55810.0
254.0,SL_GsG,1393.0
254.0,SL_GsG,58426.0
254.0,SL_GsG,47636.0
254.0,SL_GsG,85188.0
254.0,SL_GsG,23363.0
254.0,SL_GsG,60732.0
254.0,SL_GsG,86177.0
254.0,SL_GsG,31227.0
254.0,SL_GsG,66175.0
254.0,SL_GsG,86335.0
254.0,COVARIES_GcG,61862.0
254.0,NONSL_GnsG,9758.0
254.0,NONSL_GnsG,26358.0
531.0,REGULATES_GrG,28126.0
531.0,REGULATES_GrG,27528.0
531.0,REGULATES_GrG,80035.0
531.0,REGULATES_GrG,36205.0
531.0,INTERACTS_GiG,73545.0
531.0,INTERACTS_GiG,45574.0
531.0,INTERACTS_GiG,11354.0
531.0,INTERACTS_GiG,34557.0
531.0,SL_GsG,13316.0
531.0,NONSL_GnsG,45719.0
531.0,NONSL_GnsG,56268.0
1204.0,REGULATES_GrG,30949.0
1204.0,REGULATES_GrG,25009.0
1204.0,INTERACTS_GiG,66081.0
1204.0,INTERACTS_GiG,34557.0
1204.0,INTERACTS_GiG,11354.0
1393.0,SL_GsG,35001.0
1393.0,SL_GsG,60732.0
1393.0,SL_GsG,58426.0
1393.0,SL_GsG,69057.0
