ID(a),type(r),ID(b)
5036.0,SL_GsG,23638.0
5036.0,SL_GsG,32667.0
5036.0,SL_GsG,30949.0
5036.0,SL_GsG,88913.0
5036.0,SL_GsG,48812.0
5036.0,SL_GsG,36615.0
5036.0,SL_GsG,17495.0
5036.0,SL_GsG,20944.0
5036.0,SL_GsG,59765.0
11664.0,INTERACTS_GiG,31354.0
11664.0,INTERACTS_GiG,28733.0
11664.0,SL_GsG,59765.0
11664.0,SL_GsG,36615.0
11664.0,SL_GsG,88913.0
11664.0,SL_GsG,23638.0
11664.0,SL_GsG,32667.0
11664.0,SL_GsG,30949.0
11664.0,SL_GsG,20944.0
11664.0,SL_GsG,17495.0
17280.0,INTERACTS_GiG,92091.0
17280.0,SL_GsG,30949.0
17280.0,SL_GsG,17495.0
17280.0,SL_GsG,88913.0
17280.0,SL_GsG,36615.0
17280.0,SL_GsG,59765.0
17280.0,SL_GsG,48812.0
17280.0,SL_GsG,32667.0
17280.0,SL_GsG,23638.0
17280.0,SL_GsG,20944.0
17495.0,INTERACTS_GiG,92091.0
17495.0,INTERACTS_GiG,88859.0
17495.0,INTERACTS_GiG,84988.0
17495.0,INTERACTS_GiG,20944.0
20944.0,INTERACTS_GiG,71824.0
20944.0,INTERACTS_GiG,78342.0
20944.0,INTERACTS_GiG,41169.0
20944.0,INTERACTS_GiG,24016.0
20944.0,INTERACTS_GiG,11664.0
20944.0,INTERACTS_GiG,45577.0
20944.0,INTERACTS_GiG,30949.0
20944.0,INTERACTS_GiG,59765.0
20944.0,INTERACTS_GiG,84873.0
20944.0,INTERACTS_GiG,32667.0
20944.0,INTERACTS_GiG,88859.0
20944.0,INTERACTS_GiG,31354.0
24016.0,INTERACTS_GiG,78342.0
24016.0,INTERACTS_GiG,23638.0
24016.0,INTERACTS_GiG,32667.0
24016.0,INTERACTS_GiG,30949.0
24016.0,INTERACTS_GiG,11664.0
24016.0,INTERACTS_GiG,31354.0
24016.0,SL_GsG,88913.0
24016.0,SL_GsG,32667.0
24016.0,SL_GsG,23638.0
24016.0,SL_GsG,36615.0
24016.0,SL_GsG,30949.0
24016.0,SL_GsG,59765.0
24016.0,SL_GsG,17495.0
24016.0,SL_GsG,20944.0
25832.0,INTERACTS_GiG,20944.0
25832.0,INTERACTS_GiG,92091.0
25832.0,INTERACTS_GiG,88859.0
25832.0,SL_GsG,32667.0
25832.0,SL_GsG,23638.0
25832.0,SL_GsG,36615.0
25832.0,SL_GsG,20944.0
25832.0,SL_GsG,17495.0
25832.0,SL_GsG,59765.0
25832.0,SL_GsG,48812.0
25832.0,SL_GsG,30949.0
25832.0,SL_GsG,88913.0
28733.0,REGULATES_GrG,88913.0
28733.0,INTERACTS_GiG,41169.0
28733.0,INTERACTS_GiG,88859.0
28733.0,SL_GsG,88913.0
28733.0,SL_GsG,30949.0
28733.0,SL_GsG,20944.0
28733.0,SL_GsG,32667.0
28733.0,SL_GsG,17495.0
28733.0,SL_GsG,23638.0
28733.0,SL_GsG,59765.0
28733.0,SL_GsG,36615.0
30949.0,REGULATES_GrG,95024.0
30949.0,INTERACTS_GiG,32667.0
30949.0,INTERACTS_GiG,28733.0
30949.0,INTERACTS_GiG,88859.0
30949.0,INTERACTS_GiG,23638.0
30949.0,INTERACTS_GiG,59765.0
31354.0,INTERACTS_GiG,91679.0
31354.0,SL_GsG,36615.0
31354.0,SL_GsG,30949.0
31354.0,SL_GsG,59765.0
31354.0,SL_GsG,32667.0
31354.0,SL_GsG,17495.0
31354.0,SL_GsG,20944.0
31354.0,SL_GsG,23638.0
31354.0,SL_GsG,88913.0
32667.0,SL_GsG,30949.0
32667.0,SL_GsG,88913.0
32667.0,SL_GsG,17495.0
32667.0,SL_GsG,36615.0
32667.0,SL_GsG,20944.0
32667.0,SL_GsG,59765.0
32667.0,SL_GsG,23638.0
32667.0,SL_GsG,32667.0
36615.0,REGULATES_GrG,95024.0
36615.0,REGULATES_GrG,30949.0
36615.0,INTERACTS_GiG,92091.0
36615.0,SL_GsG,59765.0
37989.0,INTERACTS_GiG,59765.0
37989.0,INTERACTS_GiG,92091.0
37989.0,INTERACTS_GiG,20944.0
37989.0,SL_GsG,59765.0
37989.0,SL_GsG,23638.0
37989.0,SL_GsG,32667.0
37989.0,SL_GsG,30949.0
37989.0,SL_GsG,20944.0
37989.0,SL_GsG,17495.0
37989.0,SL_GsG,36615.0
37989.0,SL_GsG,88913.0
41169.0,INTERACTS_GiG,88859.0
41169.0,SL_GsG,59765.0
41169.0,SL_GsG,88913.0
41169.0,SL_GsG,20944.0
41169.0,SL_GsG,36615.0
41169.0,SL_GsG,23638.0
41169.0,SL_GsG,32667.0
41169.0,SL_GsG,30949.0
41169.0,SL_GsG,17495.0
41972.0,SL_GsG,23638.0
41972.0,SL_GsG,88913.0
41972.0,SL_GsG,59765.0
41972.0,SL_GsG,20944.0
41972.0,SL_GsG,32667.0
41972.0,SL_GsG,30949.0
41972.0,SL_GsG,17495.0
41972.0,SL_GsG,36615.0
45577.0,INTERACTS_GiG,48812.0
45577.0,INTERACTS_GiG,84873.0
45577.0,INTERACTS_GiG,88859.0
45577.0,SL_GsG,30949.0
45577.0,SL_GsG,20944.0
45577.0,SL_GsG,36615.0
45577.0,SL_GsG,23638.0
45577.0,SL_GsG,32667.0
45577.0,SL_GsG,48812.0
45577.0,SL_GsG,88913.0
45577.0,SL_GsG,17495.0
45577.0,SL_GsG,59765.0
48812.0,INTERACTS_GiG,11664.0
48812.0,INTERACTS_GiG,63558.0
55018.0,SL_GsG,23638.0
55018.0,SL_GsG,32667.0
55018.0,SL_GsG,17495.0
55018.0,SL_GsG,88913.0
55018.0,SL_GsG,20944.0
55018.0,SL_GsG,59765.0
55018.0,SL_GsG,30949.0
55018.0,SL_GsG,36615.0
58874.0,SL_GsG,36615.0
58874.0,SL_GsG,59765.0
58874.0,SL_GsG,17495.0
58874.0,SL_GsG,88913.0
58874.0,SL_GsG,30949.0
58874.0,SL_GsG,20944.0
58874.0,SL_GsG,23638.0
58874.0,SL_GsG,32667.0
58956.0,SL_GsG,48812.0
58956.0,SL_GsG,30949.0
58956.0,SL_GsG,32667.0
58956.0,SL_GsG,20944.0
58956.0,SL_GsG,36615.0
58956.0,SL_GsG,23638.0
58956.0,SL_GsG,17495.0
58956.0,SL_GsG,88913.0
58956.0,SL_GsG,59765.0
59765.0,REGULATES_GrG,95024.0
59765.0,INTERACTS_GiG,31354.0
59765.0,INTERACTS_GiG,28733.0
59765.0,INTERACTS_GiG,11664.0
59765.0,INTERACTS_GiG,84873.0
63558.0,SL_GsG,32667.0
63558.0,SL_GsG,30949.0
63558.0,SL_GsG,20944.0
63558.0,SL_GsG,36615.0
63558.0,SL_GsG,59765.0
63558.0,SL_GsG,17495.0
63558.0,SL_GsG,23638.0
63558.0,SL_GsG,88913.0
66202.0,INTERACTS_GiG,88859.0
66202.0,INTERACTS_GiG,91679.0
66202.0,SL_GsG,30949.0
66202.0,SL_GsG,20944.0
66202.0,SL_GsG,59765.0
66202.0,SL_GsG,36615.0
66202.0,SL_GsG,23638.0
66202.0,SL_GsG,88913.0
66202.0,SL_GsG,17495.0
66202.0,SL_GsG,48812.0
66202.0,SL_GsG,32667.0
68914.0,INTERACTS_GiG,59765.0
68914.0,INTERACTS_GiG,20944.0
68914.0,SL_GsG,36615.0
68914.0,SL_GsG,88913.0
68914.0,SL_GsG,30949.0
68914.0,SL_GsG,32667.0
68914.0,SL_GsG,59765.0
68914.0,SL_GsG,17495.0
68914.0,SL_GsG,20944.0
68914.0,SL_GsG,23638.0
71239.0,SL_GsG,48812.0
71239.0,SL_GsG,20944.0
71239.0,SL_GsG,59765.0
71239.0,SL_GsG,32667.0
71239.0,SL_GsG,30949.0
71239.0,SL_GsG,23638.0
71239.0,SL_GsG,88913.0
71239.0,SL_GsG,36615.0
71239.0,SL_GsG,17495.0
