ID(a),type(r),ID(b)
475.0,REGULATES_GrG,19137.0
475.0,INTERACTS_GiG,91051.0
475.0,SL_GsG,19137.0
6692.0,SL_GsG,19137.0
6764.0,INTERACTS_GiG,9419.0
6764.0,SL_GsG,19137.0
7097.0,SL_GsG,19137.0
9419.0,INTERACTS_GiG,64078.0
9419.0,INTERACTS_GiG,53689.0
9419.0,SL_GsG,31227.0
9489.0,SL_GsG,19137.0
9489.0,NONSL_GnsG,96155.0
9589.0,SL_GsG,19137.0
9747.0,SL_GsG,19137.0
10013.0,SL_GsG,19137.0
11430.0,SL_GsG,19137.0
12849.0,SL_GsG,19137.0
14011.0,REGULATES_GrG,33598.0
14011.0,REGULATES_GrG,93801.0
14011.0,REGULATES_GrG,88833.0
14011.0,SL_GsG,21929.0
14011.0,SL_GsG,19137.0
14011.0,SL_GsG,86177.0
14011.0,SL_GsG,14011.0
14681.0,SL_GsG,19137.0
18242.0,REGULATES_GrG,95428.0
18242.0,REGULATES_GrG,14011.0
18242.0,SL_GsG,19137.0
18702.0,REGULATES_GrG,43711.0
18702.0,REGULATES_GrG,18242.0
18702.0,REGULATES_GrG,72577.0
18702.0,SL_GsG,19137.0
18918.0,SL_GsG,19137.0
19064.0,INTERACTS_GiG,40561.0
19064.0,INTERACTS_GiG,86177.0
19064.0,INTERACTS_GiG,61862.0
19064.0,SL_GsG,46130.0
19064.0,SL_GsG,71406.0
19064.0,SL_GsG,86177.0
19064.0,SL_GsG,78733.0
19064.0,SL_GsG,61862.0
19064.0,SL_GsG,33598.0
19064.0,SL_GsG,31227.0
19137.0,REGULATES_GrG,85205.0
19137.0,INTERACTS_GiG,78517.0
19137.0,INTERACTS_GiG,9419.0
19137.0,INTERACTS_GiG,96155.0
19137.0,INTERACTS_GiG,64078.0
19137.0,INTERACTS_GiG,76296.0
19137.0,SL_GsG,31227.0
19137.0,SL_GsG,23603.0
19137.0,SL_GsG,33598.0
21929.0,REGULATES_GrG,31227.0
21929.0,REGULATES_GrG,19137.0
21929.0,REGULATES_GrG,72577.0
21929.0,REGULATES_GrG,93801.0
21929.0,SL_GsG,64078.0
21929.0,SL_GsG,19137.0
21929.0,SL_GsG,31227.0
22688.0,REGULATES_GrG,11430.0
22688.0,REGULATES_GrG,93801.0
22688.0,REGULATES_GrG,19137.0
22688.0,INTERACTS_GiG,72577.0
22688.0,SL_GsG,19137.0
23306.0,SL_GsG,19137.0
