gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
28,TG,96301,TP53,BRCA
28,TG,3375,ATM,BRCA
386,MBNL1,33598,BRCA1,BRCA
484,ZNF511,55035,PTEN,BRCA
519,CTAG2,33598,BRCA1,BRCA
865,COPB2,33598,BRCA1,BRCA
1014,DNAJB11,33598,BRCA1,BRCA
1481,FBXL7,33598,BRCA1,BRCA
1519,CHRNA2,55035,PTEN,BRCA
1561,BEND2,55035,PTEN,BRCA
1629,SLC7A13,46130,BRCA2,BRCA
1629,SLC7A13,33598,BRCA1,BRCA
1836,EFR3A,96301,TP53,BRCA
2220,ARHGEF2,33598,BRCA1,BRCA
2321,ORM2,55035,PTEN,BRCA
2330,ANKRD1,55035,PTEN,BRCA
2649,MRPL47,33598,BRCA1,BRCA
2716,NPAS4,55035,PTEN,BRCA
2823,GP5,96301,TP53,BRCA
2901,BIRC7,33598,BRCA1,BRCA
3019,EIF5A2,96301,TP53,BRCA
3089,SLITRK3,55035,PTEN,BRCA
3089,SLITRK3,33598,BRCA1,BRCA
3105,PABPC1,33598,BRCA1,BRCA
3131,HOXA13,46130,BRCA2,BRCA
3375,ATM,96301,TP53,BRCA
3375,ATM,31227,PARP1,BRCA
3572,SMPDL3A,55035,PTEN,BRCA
4161,GNB4,33598,BRCA1,BRCA
4161,GNB4,96301,TP53,BRCA
4242,OR2T10,55035,PTEN,BRCA
4420,MECP2,33598,BRCA1,BRCA
4533,YEATS4,33598,BRCA1,BRCA
4688,THPO,33598,BRCA1,BRCA
4759,RGS19,33598,BRCA1,BRCA
4786,LCN6,55035,PTEN,BRCA
4796,PLEKHF2,33598,BRCA1,BRCA
5105,TMEM209,33598,BRCA1,BRCA
5500,FFAR2,33598,BRCA1,BRCA
5578,NLGN3,46130,BRCA2,BRCA
5578,NLGN3,55035,PTEN,BRCA
6098,LRRC31,96301,TP53,BRCA
6098,LRRC31,33598,BRCA1,BRCA
6217,MCCC1,33598,BRCA1,BRCA
6217,MCCC1,96301,TP53,BRCA
6345,EPPK1,96301,TP53,BRCA
6345,EPPK1,33598,BRCA1,BRCA
6353,SLC38A11,3375,ATM,BRCA
6603,FLI1,3797,PTCH1,BRCA
6603,FLI1,83801,TRIP11,BRCA
6603,FLI1,17659,SS18L1,BRCA
6603,FLI1,75430,RECQL4,BRCA
6603,FLI1,38698,SYNE2,BRCA
