gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
254,CDK4,66175,VHL,CESC
254,CDK4,93418,HDAC1,CESC
2524,FGFR2,18839,MAP3K1,CESC
3294,PLA2G2E,61622,MSH2,CESC
3375,ATM,66175,VHL,CESC
5631,ALDH2,43185,PHB2,CESC
5631,ALDH2,40016,RPL11,CESC
5631,ALDH2,31516,ATAD5,CESC
5631,ALDH2,58426,RAD23B,CESC
5631,ALDH2,92974,XRCC3,CESC
5631,ALDH2,69367,ARID1A,CESC
5631,ALDH2,15850,APC,CESC
12205,TOP3A,81402,NF1,CESC
12205,TOP3A,80970,CDC73,CESC
12205,TOP3A,83496,RAD17,CESC
12205,TOP3A,48399,PALB2,CESC
12205,TOP3A,1204,TTN,CESC
12205,TOP3A,48627,CDC6,CESC
12205,TOP3A,34485,RPS11,CESC
12205,TOP3A,43783,MAP3K4,CESC
12205,TOP3A,61622,MSH2,CESC
12205,TOP3A,46130,BRCA2,CESC
12205,TOP3A,73372,CHEK1,CESC
12205,TOP3A,14011,WEE1,CESC
12205,TOP3A,5964,FH,CESC
12205,TOP3A,14106,LLGL1,CESC
13068,IMPDH1,80970,CDC73,CESC
13068,IMPDH1,34485,RPS11,CESC
13068,IMPDH1,41154,SH3GL1,CESC
13068,IMPDH1,14011,WEE1,CESC
13068,IMPDH1,73372,CHEK1,CESC
14011,WEE1,14011,WEE1,CESC
15850,APC,66175,VHL,CESC
21127,BRAF,46130,BRCA2,CESC
21127,BRAF,66175,VHL,CESC
21127,BRAF,2524,FGFR2,CESC
21127,BRAF,41830,FNTA,CESC
21808,MAPK1,5964,FH,CESC
21808,MAPK1,34485,RPS11,CESC
21808,MAPK1,1204,TTN,CESC
23363,ERBB2,47636,TOP1,CESC
23754,CASP8,73372,CHEK1,CESC
23754,CASP8,33264,CDK9,CESC
24016,JAK2,26275,PIK3R1,CESC
26275,PIK3R1,14011,WEE1,CESC
27297,FZR1,86335,CHEK2,CESC
27528,TUBA1A,1204,TTN,CESC
27528,TUBA1A,94589,WRN,CESC
27528,TUBA1A,75444,ING4,CESC
27528,TUBA1A,14011,WEE1,CESC
27528,TUBA1A,48992,TUSC3,CESC
27528,TUBA1A,92974,XRCC3,CESC
27528,TUBA1A,73372,CHEK1,CESC
27528,TUBA1A,86177,MTOR,CESC
27528,TUBA1A,40016,RPL11,CESC
27528,TUBA1A,43185,PHB2,CESC
27528,TUBA1A,24198,CDC14A,CESC
27528,TUBA1A,14106,LLGL1,CESC
27528,TUBA1A,77610,ING5,CESC
27528,TUBA1A,31516,ATAD5,CESC
27528,TUBA1A,9176,RB1,CESC
