gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
847,PBRM1,47636,TOP1,KIRC
3375,ATM,66733,KDM6A,KIRC
3375,ATM,74282,SMO,KIRC
3375,ATM,53188,SETD2,KIRC
15850,APC,33264,CDK9,KIRC
17393,ALK,33264,CDK9,KIRC
18839,MAP3K1,66175,VHL,KIRC
21929,BRD4,31317,KDM5C,KIRC
21929,BRD4,55035,PTEN,KIRC
21929,BRD4,9176,RB1,KIRC
21929,BRD4,73780,FGFR3,KIRC
21929,BRD4,29939,DHFR,KIRC
22342,SMARCA4,59804,SMARCB1,KIRC
23363,ERBB2,47636,TOP1,KIRC
26358,HDAC6,847,PBRM1,KIRC
26358,HDAC6,90181,IGF1R,KIRC
26358,HDAC6,31317,KDM5C,KIRC
31227,PARP1,56655,RRM2,KIRC
31317,KDM5C,85534,TSC1,KIRC
31317,KDM5C,86177,MTOR,KIRC
31317,KDM5C,14011,WEE1,KIRC
31317,KDM5C,18839,MAP3K1,KIRC
33264,CDK9,59804,SMARCB1,KIRC
33264,CDK9,56655,RRM2,KIRC
33598,BRCA1,53477,CDH1,KIRC
33598,BRCA1,31227,PARP1,KIRC
33598,BRCA1,33532,FLT3,KIRC
33598,BRCA1,66677,RUNX1,KIRC
33598,BRCA1,65860,PDGFRA,KIRC
33598,BRCA1,21929,BRD4,KIRC
33598,BRCA1,14011,WEE1,KIRC
33598,BRCA1,41830,FNTA,KIRC
33598,BRCA1,25839,VEGFA,KIRC
34163,SMAD4,14011,WEE1,KIRC
41830,FNTA,47636,TOP1,KIRC
46130,BRCA2,26358,HDAC6,KIRC
46130,BRCA2,31317,KDM5C,KIRC
46130,BRCA2,33264,CDK9,KIRC
46130,BRCA2,59804,SMARCB1,KIRC
47636,TOP1,85534,TSC1,KIRC
55810,PRKDC,56655,RRM2,KIRC
65860,PDGFRA,47636,TOP1,KIRC
69367,ARID1A,47636,TOP1,KIRC
73372,CHEK1,74282,SMO,KIRC
73372,CHEK1,55035,PTEN,KIRC
73372,CHEK1,86177,MTOR,KIRC
73372,CHEK1,31227,PARP1,KIRC
73372,CHEK1,90181,IGF1R,KIRC
73372,CHEK1,25839,VEGFA,KIRC
83158,CDKN2A,90181,IGF1R,KIRC
83158,CDKN2A,56655,RRM2,KIRC
84525,ARID2,56655,RRM2,KIRC
85888,INSRR,66175,VHL,KIRC
86177,MTOR,65860,PDGFRA,KIRC
86177,MTOR,55810,PRKDC,KIRC
86208,ROR1,47636,TOP1,KIRC
86208,ROR1,59804,SMARCB1,KIRC
86335,CHEK2,23363,ERBB2,KIRC
90181,IGF1R,55810,PRKDC,KIRC
90181,IGF1R,86177,MTOR,KIRC
