gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
324,RAB18,29430,RAB1A,LAML
324,RAB18,10799,PTAR1,LAML
324,RAB18,50638,RAB1B,LAML
1483,PIK3CD,60761,PTP4A3,LAML
1483,PIK3CD,24195,SSTR5,LAML
1483,PIK3CD,43115,PTPRZ1,LAML
1483,PIK3CD,87216,PIM2,LAML
1483,PIK3CD,94780,PRODH,LAML
1483,PIK3CD,38662,PIK3CG,LAML
1606,VPS41,10799,PTAR1,LAML
2051,AOC3,63476,BCAT2,LAML
2051,AOC3,23438,GPI,LAML
2051,AOC3,22800,PIK3C2B,LAML
2051,AOC3,74945,CDC25A,LAML
2051,AOC3,53092,SLC16A8,LAML
2051,AOC3,71129,AXL,LAML
2051,AOC3,42330,MASP2,LAML
2051,AOC3,43898,CAMK2A,LAML
2051,AOC3,10708,CYP11B2,LAML
2051,AOC3,22099,NDUFA4L2,LAML
2051,AOC3,20190,PIK3R2,LAML
2051,AOC3,70281,NAGK,LAML
2051,AOC3,52225,TYK2,LAML
2051,AOC3,87320,DCXR,LAML
2051,AOC3,65458,SPHK1,LAML
2051,AOC3,72207,PTPRE,LAML
2051,AOC3,90465,TPSAB1,LAML
2051,AOC3,1483,PIK3CD,LAML
2194,TAPT1,10799,PTAR1,LAML
2304,ACVR1,87381,AKT1,LAML
2304,ACVR1,50430,CIT,LAML
2304,ACVR1,3375,ATM,LAML
2304,ACVR1,43050,DMPK,LAML
2304,ACVR1,6456,MAP3K3,LAML
2304,ACVR1,38662,PIK3CG,LAML
2524,FGFR2,92091,GRB2,LAML
2724,PKLR,15507,PRSS8,LAML
2982,SGMS1,10799,PTAR1,LAML
3294,PLA2G2E,55083,TST,LAML
3375,ATM,82758,HMGCR,LAML
3375,ATM,87385,EDA,LAML
3375,ATM,19296,BIRC5,LAML
3375,ATM,90465,TPSAB1,LAML
3375,ATM,55810,PRKDC,LAML
3375,ATM,43783,MAP3K4,LAML
3375,ATM,15507,PRSS8,LAML
3600,GCK,4307,MMP14,LAML
3600,GCK,9419,MAPK3,LAML
3600,GCK,88859,SRC,LAML
3600,GCK,12970,TK1,LAML
3600,GCK,28733,PRKCA,LAML
3600,GCK,64034,KSR1,LAML
3600,GCK,90057,ITGB7,LAML
