gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
168,CREBZF,60732,KRAS,LUAD
254,CDK4,55810,PRKDC,LUAD
254,CDK4,47636,TOP1,LUAD
254,CDK4,23363,ERBB2,LUAD
531,LDHB,13316,ME1,LUAD
1393,POLM,60732,KRAS,LUAD
1500,COPS2,60732,KRAS,LUAD
1642,HSDL2,60732,KRAS,LUAD
2015,KCNJ6,60732,KRAS,LUAD
2031,GNL3L,60732,KRAS,LUAD
2537,TPP2,60732,KRAS,LUAD
2609,EDA2R,60732,KRAS,LUAD
2732,SYPL2,60732,KRAS,LUAD
2986,RRP9,60732,KRAS,LUAD
3270,PPP3R1,60732,KRAS,LUAD
3303,ZC3HAV1L,60732,KRAS,LUAD
3676,MID1,60732,KRAS,LUAD
4168,ZNF260,60732,KRAS,LUAD
4414,SNX2,60732,KRAS,LUAD
4773,ADAMTSL5,60732,KRAS,LUAD
5184,DHX38,60732,KRAS,LUAD
5245,CDC16,60732,KRAS,LUAD
5438,TIMM22,60732,KRAS,LUAD
5577,ZMAT1,60732,KRAS,LUAD
5631,ALDH2,15850,APC,LUAD
5631,ALDH2,69367,ARID1A,LUAD
5631,ALDH2,31516,ATAD5,LUAD
5631,ALDH2,40016,RPL11,LUAD
5631,ALDH2,58426,RAD23B,LUAD
5631,ALDH2,92974,XRCC3,LUAD
5631,ALDH2,43185,PHB2,LUAD
6129,KLF3,60732,KRAS,LUAD
6514,FBXL20,60732,KRAS,LUAD
6623,TULP2,60732,KRAS,LUAD
6762,SLITRK2,60732,KRAS,LUAD
7097,CDH5,60732,KRAS,LUAD
7268,CYP1B1,60732,KRAS,LUAD
7868,SON,60732,KRAS,LUAD
7966,C1R,60732,KRAS,LUAD
8333,PFKM,75349,TKT,LUAD
9394,HMGN2,60732,KRAS,LUAD
9466,NCL,60732,KRAS,LUAD
9612,RGS20,60732,KRAS,LUAD
9809,HSD3B7,60732,KRAS,LUAD
10064,FOS,60732,KRAS,LUAD
10756,BMP1,60732,KRAS,LUAD
10768,NCOA4,60732,KRAS,LUAD
10830,FEZ2,60732,KRAS,LUAD
11283,RTEL1,60732,KRAS,LUAD
11318,CXCL16,60732,KRAS,LUAD
11354,UBC,60732,KRAS,LUAD
12205,TOP3A,14106,LLGL1,LUAD
12205,TOP3A,48627,CDC6,LUAD
12205,TOP3A,83496,RAD17,LUAD
12205,TOP3A,46130,BRCA2,LUAD
12205,TOP3A,80970,CDC73,LUAD
12205,TOP3A,81402,NF1,LUAD
12205,TOP3A,73372,CHEK1,LUAD
12205,TOP3A,43783,MAP3K4,LUAD
12205,TOP3A,61622,MSH2,LUAD
12205,TOP3A,14011,WEE1,LUAD
12205,TOP3A,34485,RPS11,LUAD
12205,TOP3A,5964,FH,LUAD
12205,TOP3A,48399,PALB2,LUAD
12205,TOP3A,1204,TTN,LUAD
12612,ADCY8,60732,KRAS,LUAD
12696,PSMD12,60732,KRAS,LUAD
12867,TSSK1B,60732,KRAS,LUAD
13068,IMPDH1,80970,CDC73,LUAD
13068,IMPDH1,34485,RPS11,LUAD
13068,IMPDH1,41154,SH3GL1,LUAD
13068,IMPDH1,14011,WEE1,LUAD
13068,IMPDH1,73372,CHEK1,LUAD
13316,ME1,8333,PFKM,LUAD
13353,GRIP2,60732,KRAS,LUAD
13376,UBE2R2,60732,KRAS,LUAD
13674,RTN2,60732,KRAS,LUAD
13895,TKTL1,60732,KRAS,LUAD
14011,WEE1,7332,BLM,LUAD
14011,WEE1,5964,FH,LUAD
14011,WEE1,75444,ING4,LUAD
14011,WEE1,80970,CDC73,LUAD
14011,WEE1,48732,CDK12,LUAD
14011,WEE1,48627,CDC6,LUAD
14011,WEE1,27297,FZR1,LUAD
14011,WEE1,94589,WRN,LUAD
14011,WEE1,31516,ATAD5,LUAD
14011,WEE1,1204,TTN,LUAD
14011,WEE1,92974,XRCC3,LUAD
14011,WEE1,14011,WEE1,LUAD
14121,FRMPD1,60732,KRAS,LUAD
14314,CNKSR1,60732,KRAS,LUAD
14537,AKT2,46130,BRCA2,LUAD
14537,AKT2,31227,PARP1,LUAD
14542,E2F1,60732,KRAS,LUAD
14649,GALT,60732,KRAS,LUAD
14870,PINK1,60732,KRAS,LUAD
15396,FLRT2,60732,KRAS,LUAD
15962,ZNF12,60732,KRAS,LUAD
16078,SNW1,60732,KRAS,LUAD
16544,GRAP2,60732,KRAS,LUAD
16764,UBE2M,60732,KRAS,LUAD
17095,RRN3,60732,KRAS,LUAD
17750,NDUFA9,60732,KRAS,LUAD
18304,TSPAN15,60732,KRAS,LUAD
18536,PLA2G2A,60732,KRAS,LUAD
18922,NOL3,60732,KRAS,LUAD
19005,TWIST1,60732,KRAS,LUAD
19064,BCL2L1,61862,MCL1,LUAD
19064,BCL2L1,60732,KRAS,LUAD
19120,TRIM36,60732,KRAS,LUAD
19681,ANAPC1,60732,KRAS,LUAD
19825,ATP6V1B1,60732,KRAS,LUAD
20376,LSM5,60732,KRAS,LUAD
20384,PSMB5,60732,KRAS,LUAD
20493,BFSP1,60732,KRAS,LUAD
20641,ITM2A,60732,KRAS,LUAD
21095,MCM3AP,60732,KRAS,LUAD
21127,BRAF,9758,EGFR,LUAD
21211,PIN1,60732,KRAS,LUAD
21808,MAPK1,1204,TTN,LUAD
21808,MAPK1,34485,RPS11,LUAD
21808,MAPK1,5964,FH,LUAD
21841,LDHA,531,LDHB,LUAD
21841,LDHA,44407,PDHB,LUAD
22088,ILF3,60732,KRAS,LUAD
22289,RIMS1,60732,KRAS,LUAD
23139,CYP11B1,60732,KRAS,LUAD
23213,TGIF2,60732,KRAS,LUAD
23363,ERBB2,88859,SRC,LUAD
23608,GAPDHS,21841,LDHA,LUAD
23632,DHRS7C,60732,KRAS,LUAD
23754,CASP8,86177,MTOR,LUAD
23935,LAMB3,60732,KRAS,LUAD
24097,MYLIP,60732,KRAS,LUAD
24301,MMP7,60732,KRAS,LUAD
24371,USP6,60732,KRAS,LUAD
24458,GAPDH,45719,PFKP,LUAD
24458,GAPDH,80035,PDHX,LUAD
24458,GAPDH,28126,TPI1,LUAD
24458,GAPDH,66509,PGK1,LUAD
24458,GAPDH,8333,PFKM,LUAD
24458,GAPDH,23608,GAPDHS,LUAD
24458,GAPDH,50591,PGAM1,LUAD
24458,GAPDH,75349,TKT,LUAD
24458,GAPDH,92399,MDH2,LUAD
24458,GAPDH,88047,PGAM2,LUAD
24683,MAP4K1,60732,KRAS,LUAD
24814,MRPL30,60732,KRAS,LUAD
25009,CDK6,73780,FGFR3,LUAD
25053,MVP,60732,KRAS,LUAD
25832,DAG1,60732,KRAS,LUAD
25848,SLC11A2,60732,KRAS,LUAD
25867,NAV3,60732,KRAS,LUAD
26275,PIK3R1,66175,VHL,LUAD
26358,HDAC6,85188,PIK3CA,LUAD
26554,POLR3F,60732,KRAS,LUAD
26626,IBTK,60732,KRAS,LUAD
27080,WASF3,60732,KRAS,LUAD
27173,HSD3B2,60732,KRAS,LUAD
27180,CCIN,60732,KRAS,LUAD
27297,FZR1,86335,CHEK2,LUAD
27398,SORT1,60732,KRAS,LUAD
27512,GSPT1,60732,KRAS,LUAD
27528,TUBA1A,94589,WRN,LUAD
27528,TUBA1A,31516,ATAD5,LUAD
27528,TUBA1A,80970,CDC73,LUAD
27528,TUBA1A,14011,WEE1,LUAD
27528,TUBA1A,7332,BLM,LUAD
27528,TUBA1A,73372,CHEK1,LUAD
27528,TUBA1A,1204,TTN,LUAD
27528,TUBA1A,75444,ING4,LUAD
27528,TUBA1A,40016,RPL11,LUAD
27528,TUBA1A,86335,CHEK2,LUAD
27528,TUBA1A,43185,PHB2,LUAD
27528,TUBA1A,14106,LLGL1,LUAD
27528,TUBA1A,24198,CDC14A,LUAD
27528,TUBA1A,77610,ING5,LUAD
27528,TUBA1A,48992,TUSC3,LUAD
27528,TUBA1A,9176,RB1,LUAD
27528,TUBA1A,73545,YWHAZ,LUAD
27528,TUBA1A,92974,XRCC3,LUAD
27528,TUBA1A,86177,MTOR,LUAD
27545,PSMA1,60732,KRAS,LUAD
27655,YAP1,60732,KRAS,LUAD
27997,CTNS,60732,KRAS,LUAD
28344,HSPA14,60732,KRAS,LUAD
28740,HOXB13,60732,KRAS,LUAD
29101,CACNA2D2,60732,KRAS,LUAD
29939,DHFR,80970,CDC73,LUAD
30161,EMID1,60732,KRAS,LUAD
30949,KIT,68407,RPS6KB1,LUAD
31355,ENPP4,60732,KRAS,LUAD
31420,PSEN1,60732,KRAS,LUAD
31427,CARM1,60732,KRAS,LUAD
31430,HIGD2A,60732,KRAS,LUAD
31434,NUP93,60732,KRAS,LUAD
31648,CDC7,34485,RPS11,LUAD
31648,CDC7,77610,ING5,LUAD
31648,CDC7,21929,BRD4,LUAD
32358,JAK1,60732,KRAS,LUAD
32600,CDK1,60732,KRAS,LUAD
32747,TOMM20,60732,KRAS,LUAD
32844,CTTNBP2,60732,KRAS,LUAD
32977,SH3PXD2B,60732,KRAS,LUAD
33258,IL1RAP,60732,KRAS,LUAD
33264,CDK9,65860,PDGFRA,LUAD
33264,CDK9,34163,SMAD4,LUAD
33264,CDK9,77610,ING5,LUAD
33264,CDK9,55810,PRKDC,LUAD
33264,CDK9,34485,RPS11,LUAD
33425,A2M,60732,KRAS,LUAD
33598,BRCA1,31227,PARP1,LUAD
33843,WWC1,60732,KRAS,LUAD
34353,HDAC2,22342,SMARCA4,LUAD
34557,COPS5,60732,KRAS,LUAD
35001,RPL13A,60732,KRAS,LUAD
35041,ZNF584,60732,KRAS,LUAD
35525,TRIM3,60732,KRAS,LUAD
35963,GLI3,60732,KRAS,LUAD
36149,ACSM4,60732,KRAS,LUAD
36217,ZC3H10,60732,KRAS,LUAD
36422,CREG1,60732,KRAS,LUAD
36544,CLCN1,60732,KRAS,LUAD
36655,ASB16,60732,KRAS,LUAD
36820,NCAPD2,60732,KRAS,LUAD
37104,RSBN1,60732,KRAS,LUAD
37325,TAPBP,60732,KRAS,LUAD
38712,OR4K1,60732,KRAS,LUAD
40012,EXOSC4,60732,KRAS,LUAD
40228,HSPD1,60732,KRAS,LUAD
40731,PIP4K2A,60732,KRAS,LUAD
40908,CDC27,60732,KRAS,LUAD
41162,NAGS,60732,KRAS,LUAD
41386,PLK1,60732,KRAS,LUAD
41492,NQO2,60732,KRAS,LUAD
41667,PTPN1,60732,KRAS,LUAD
41830,FNTA,92974,XRCC3,LUAD
41830,FNTA,66733,KDM6A,LUAD
41830,FNTA,7332,BLM,LUAD
41830,FNTA,31516,ATAD5,LUAD
41830,FNTA,24720,RPS19,LUAD
42322,AKR1D1,60732,KRAS,LUAD
42327,RABGGTB,24720,RPS19,LUAD
42327,RABGGTB,31516,ATAD5,LUAD
42327,RABGGTB,92974,XRCC3,LUAD
42327,RABGGTB,86177,MTOR,LUAD
42327,RABGGTB,7332,BLM,LUAD
42660,SPTBN5,60732,KRAS,LUAD
42924,PROM1,60732,KRAS,LUAD
43595,ADAM22,60732,KRAS,LUAD
43661,FOXO4,60732,KRAS,LUAD
43666,RFX4,60732,KRAS,LUAD
43870,PARP12,60732,KRAS,LUAD
44133,GMPPB,60732,KRAS,LUAD
44319,CHN1,60732,KRAS,LUAD
44407,PDHB,75349,TKT,LUAD
44510,ADA,73372,CHEK1,LUAD
44510,ADA,7332,BLM,LUAD
45121,MNDA,60732,KRAS,LUAD
45450,UBAC2,60732,KRAS,LUAD
46130,BRCA2,31227,PARP1,LUAD
46235,RCHY1,60732,KRAS,LUAD
46239,CRNKL1,60732,KRAS,LUAD
46521,OXGR1,60732,KRAS,LUAD
46844,ALKBH3,60732,KRAS,LUAD
47172,RRS1,60732,KRAS,LUAD
47207,FBP2,24458,GAPDH,LUAD
47636,TOP1,80970,CDC73,LUAD
47636,TOP1,48627,CDC6,LUAD
47636,TOP1,43783,MAP3K4,LUAD
47636,TOP1,34485,RPS11,LUAD
47636,TOP1,5964,FH,LUAD
47636,TOP1,14106,LLGL1,LUAD
47636,TOP1,48399,PALB2,LUAD
47636,TOP1,61622,MSH2,LUAD
47636,TOP1,83496,RAD17,LUAD
47636,TOP1,46130,BRCA2,LUAD
47636,TOP1,1204,TTN,LUAD
48627,CDC6,60732,KRAS,LUAD
48755,MAFG,60732,KRAS,LUAD
48807,UBE2D1,60732,KRAS,LUAD
49243,MTA2,60732,KRAS,LUAD
49569,GATAD2A,60732,KRAS,LUAD
49773,ESR1,60732,KRAS,LUAD
50409,TK2,60732,KRAS,LUAD
50544,TEAD2,60732,KRAS,LUAD
50574,ANXA5,60732,KRAS,LUAD
50591,PGAM1,77560,PGK2,LUAD
50591,PGAM1,75349,TKT,LUAD
50633,FCGR1A,60732,KRAS,LUAD
50815,WFDC12,60732,KRAS,LUAD
51196,TMED10,60732,KRAS,LUAD
52016,CCDC120,60732,KRAS,LUAD
52102,ACVRL1,60732,KRAS,LUAD
52353,COPS4,60732,KRAS,LUAD
52369,PEX11A,60732,KRAS,LUAD
53522,CA12,60732,KRAS,LUAD
53786,COX4I2,60732,KRAS,LUAD
54049,NMNAT1,60732,KRAS,LUAD
54075,AOX1,60732,KRAS,LUAD
54438,NDE1,60732,KRAS,LUAD
54709,MAGEH1,60732,KRAS,LUAD
54737,SPTY2D1,60732,KRAS,LUAD
54849,ZC3H13,60732,KRAS,LUAD
55526,NUP205,60732,KRAS,LUAD
