gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
5036,CCND3,36615,EPHA2,OV
5036,CCND3,17495,ABL2,OV
5036,CCND3,59765,LCK,OV
5036,CCND3,88913,ABL1,OV
5036,CCND3,48812,NTRK1,OV
5036,CCND3,20944,FYN,OV
5036,CCND3,32667,YES1,OV
5036,CCND3,23638,STAT5B,OV
5036,CCND3,30949,KIT,OV
11664,PLCG2,36615,EPHA2,OV
11664,PLCG2,88913,ABL1,OV
11664,PLCG2,30949,KIT,OV
11664,PLCG2,59765,LCK,OV
11664,PLCG2,23638,STAT5B,OV
11664,PLCG2,17495,ABL2,OV
11664,PLCG2,20944,FYN,OV
11664,PLCG2,32667,YES1,OV
17280,EGF,23638,STAT5B,OV
17280,EGF,20944,FYN,OV
17280,EGF,88913,ABL1,OV
17280,EGF,32667,YES1,OV
17280,EGF,30949,KIT,OV
17280,EGF,17495,ABL2,OV
17280,EGF,48812,NTRK1,OV
17280,EGF,59765,LCK,OV
17280,EGF,36615,EPHA2,OV
24016,JAK2,36615,EPHA2,OV
24016,JAK2,20944,FYN,OV
24016,JAK2,88913,ABL1,OV
24016,JAK2,32667,YES1,OV
24016,JAK2,59765,LCK,OV
24016,JAK2,30949,KIT,OV
24016,JAK2,17495,ABL2,OV
24016,JAK2,23638,STAT5B,OV
25832,DAG1,32667,YES1,OV
25832,DAG1,59765,LCK,OV
25832,DAG1,17495,ABL2,OV
25832,DAG1,30949,KIT,OV
25832,DAG1,48812,NTRK1,OV
25832,DAG1,20944,FYN,OV
25832,DAG1,36615,EPHA2,OV
25832,DAG1,23638,STAT5B,OV
25832,DAG1,88913,ABL1,OV
28733,PRKCA,20944,FYN,OV
28733,PRKCA,32667,YES1,OV
28733,PRKCA,23638,STAT5B,OV
28733,PRKCA,17495,ABL2,OV
28733,PRKCA,88913,ABL1,OV
28733,PRKCA,36615,EPHA2,OV
28733,PRKCA,59765,LCK,OV
28733,PRKCA,30949,KIT,OV
31354,VAV1,32667,YES1,OV
31354,VAV1,30949,KIT,OV
31354,VAV1,88913,ABL1,OV
31354,VAV1,20944,FYN,OV
31354,VAV1,23638,STAT5B,OV
31354,VAV1,59765,LCK,OV
31354,VAV1,17495,ABL2,OV
31354,VAV1,36615,EPHA2,OV
32667,YES1,30949,KIT,OV
32667,YES1,23638,STAT5B,OV
32667,YES1,20944,FYN,OV
32667,YES1,88913,ABL1,OV
32667,YES1,32667,YES1,OV
32667,YES1,17495,ABL2,OV
32667,YES1,59765,LCK,OV
37989,ANXA6,88913,ABL1,OV
37989,ANXA6,17495,ABL2,OV
37989,ANXA6,20944,FYN,OV
37989,ANXA6,36615,EPHA2,OV
37989,ANXA6,23638,STAT5B,OV
37989,ANXA6,59765,LCK,OV
37989,ANXA6,30949,KIT,OV
37989,ANXA6,32667,YES1,OV
41169,PRKCE,17495,ABL2,OV
41169,PRKCE,36615,EPHA2,OV
41169,PRKCE,20944,FYN,OV
41169,PRKCE,30949,KIT,OV
41169,PRKCE,23638,STAT5B,OV
41169,PRKCE,32667,YES1,OV
41169,PRKCE,59765,LCK,OV
41169,PRKCE,88913,ABL1,OV
41972,KLF10,36615,EPHA2,OV
41972,KLF10,32667,YES1,OV
41972,KLF10,23638,STAT5B,OV
41972,KLF10,88913,ABL1,OV
41972,KLF10,59765,LCK,OV
41972,KLF10,17495,ABL2,OV
41972,KLF10,20944,FYN,OV
41972,KLF10,30949,KIT,OV
45577,RAPGEF1,17495,ABL2,OV
45577,RAPGEF1,59765,LCK,OV
45577,RAPGEF1,30949,KIT,OV
45577,RAPGEF1,48812,NTRK1,OV
45577,RAPGEF1,32667,YES1,OV
45577,RAPGEF1,88913,ABL1,OV
45577,RAPGEF1,36615,EPHA2,OV
45577,RAPGEF1,20944,FYN,OV
45577,RAPGEF1,23638,STAT5B,OV
55018,PARD6A,17495,ABL2,OV
55018,PARD6A,30949,KIT,OV
55018,PARD6A,36615,EPHA2,OV
55018,PARD6A,23638,STAT5B,OV
55018,PARD6A,88913,ABL1,OV
55018,PARD6A,59765,LCK,OV
55018,PARD6A,32667,YES1,OV
55018,PARD6A,20944,FYN,OV
58874,EPB41L2,88913,ABL1,OV
58874,EPB41L2,17495,ABL2,OV
58874,EPB41L2,20944,FYN,OV
58874,EPB41L2,30949,KIT,OV
58874,EPB41L2,32667,YES1,OV
58874,EPB41L2,23638,STAT5B,OV
58874,EPB41L2,36615,EPHA2,OV
58874,EPB41L2,59765,LCK,OV
58956,BCAR3,23638,STAT5B,OV
58956,BCAR3,88913,ABL1,OV
58956,BCAR3,59765,LCK,OV
