gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
475,BMPR1A,19137,MYC,SKCM
6692,RASSF7,19137,MYC,SKCM
6764,MYLK,19137,MYC,SKCM
7097,CDH5,19137,MYC,SKCM
9419,MAPK3,31227,PARP1,SKCM
9489,CCNK,19137,MYC,SKCM
9589,TIE1,19137,MYC,SKCM
9747,GNRHR,19137,MYC,SKCM
10013,HPS1,19137,MYC,SKCM
11430,PTP4A2,19137,MYC,SKCM
12849,CAMK1G,19137,MYC,SKCM
14011,WEE1,19137,MYC,SKCM
14681,SCYL1,19137,MYC,SKCM
18242,DDB2,19137,MYC,SKCM
18702,IGF2R,19137,MYC,SKCM
18918,SUV39H1,19137,MYC,SKCM
19064,BCL2L1,61862,MCL1,SKCM
19064,BCL2L1,31227,PARP1,SKCM
19137,MYC,23603,MAP3K13,SKCM
21929,BRD4,19137,MYC,SKCM
22688,POLR2E,19137,MYC,SKCM
23306,GTF2H4,19137,MYC,SKCM
24945,GLI1,19137,MYC,SKCM
27582,NEIL1,19137,MYC,SKCM
28615,ARFGEF2,19137,MYC,SKCM
31064,PAK6,19137,MYC,SKCM
31227,PARP1,14011,WEE1,SKCM
31672,POLH,19137,MYC,SKCM
32163,MAP2K7,19137,MYC,SKCM
32667,YES1,19137,MYC,SKCM
33393,RAD21,19137,MYC,SKCM
33598,BRCA1,31227,PARP1,SKCM
34842,RASGRF1,19137,MYC,SKCM
37091,CPS1,19137,MYC,SKCM
40561,IRS2,19137,MYC,SKCM
41146,BOK,19137,MYC,SKCM
41492,NQO2,19137,MYC,SKCM
41857,NEK2,19137,MYC,SKCM
42879,KIF18A,19137,MYC,SKCM
42901,NR1H3,19137,MYC,SKCM
43097,HSD17B4,19137,MYC,SKCM
43711,PBK,19137,MYC,SKCM
44627,LIMK2,19137,MYC,SKCM
46130,BRCA2,14011,WEE1,SKCM
46130,BRCA2,31227,PARP1,SKCM
48812,NTRK1,19137,MYC,SKCM
49298,GRK1,19137,MYC,SKCM
52034,ALPK1,19137,MYC,SKCM
53469,CRADD,19137,MYC,SKCM
53689,MAP2K3,19137,MYC,SKCM
55019,CAMK2D,19137,MYC,SKCM
55699,MATK,19137,MYC,SKCM
56337,PTPN9,19137,MYC,SKCM
56509,C17orf49,19137,MYC,SKCM
58016,CXXC1,19137,MYC,SKCM
59418,PES1,19137,MYC,SKCM
60254,TRIB1,19137,MYC,SKCM
60381,ALDOA,19137,MYC,SKCM
61271,SLC25A26,19137,MYC,SKCM
61612,HECTD3,19137,MYC,SKCM
61862,MCL1,19137,MYC,SKCM
61862,MCL1,31227,PARP1,SKCM
63697,EFNA5,19137,MYC,SKCM
63753,SULT1A2,19137,MYC,SKCM
64078,MAP2K1,31227,PARP1,SKCM
65007,ITGB5,19137,MYC,SKCM
66081,UBE2I,19137,MYC,SKCM
66241,WNK1,19137,MYC,SKCM
66467,WEE2,19137,MYC,SKCM
67619,CSNK1E,19137,MYC,SKCM
71353,SULF2,19137,MYC,SKCM
71406,CDK2,19137,MYC,SKCM
72577,POLR2I,19137,MYC,SKCM
73662,MYO3B,19137,MYC,SKCM
74660,CECR2,19137,MYC,SKCM
75177,BNIP2,19137,MYC,SKCM
76296,LATS1,19137,MYC,SKCM
77191,PKN1,19137,MYC,SKCM
78517,PSMC2,19137,MYC,SKCM
78733,HCK,19137,MYC,SKCM
79419,SH3KBP1,19137,MYC,SKCM
81395,TXK,19137,MYC,SKCM
82620,PRC1,19137,MYC,SKCM
85205,TRIP13,19137,MYC,SKCM
86177,MTOR,31227,PARP1,SKCM
88833,FBXO5,19137,MYC,SKCM
89105,BTK,19137,MYC,SKCM
90546,SDC4,19137,MYC,SKCM
91051,HSP90AA1,14011,WEE1,SKCM
92524,CAMK2G,19137,MYC,SKCM
93801,PCBD1,19137,MYC,SKCM
95428,SLC1A4,19137,MYC,SKCM
95479,CTSD,19137,MYC,SKCM
96155,TRRAP,19137,MYC,SKCM
96377,PDK1,19137,MYC,SKCM
