gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name,cancer
28,TG,96301,TP53,BRCA
73661,DDX10,9176,RB1,BRCA
73661,DDX10,3797,PTCH1,BRCA
73661,DDX10,67614,FBN1,BRCA
73661,DDX10,83801,TRIP11,BRCA
73661,DDX10,94589,WRN,BRCA
73661,DDX10,81451,SDHB,BRCA
73661,DDX10,45416,NFKB2,BRCA
73661,DDX10,38698,SYNE2,BRCA
73661,DDX10,11653,RPL22,BRCA
73661,DDX10,5964,FH,BRCA
73661,DDX10,17659,SS18L1,BRCA
73661,DDX10,81832,MSI2,BRCA
73661,DDX10,90958,MITF,BRCA
73661,DDX10,85534,TSC1,BRCA
73661,DDX10,83111,PER1,BRCA
73661,DDX10,27715,MLH1,BRCA
73661,DDX10,14051,SUFU,BRCA
73661,DDX10,11687,PBX1,BRCA
73661,DDX10,26310,IL6ST,BRCA
73661,DDX10,93063,MET,BRCA
73661,DDX10,8129,EXT1,BRCA
73661,DDX10,44924,ELK4,BRCA
57202,RNF168,96301,TP53,BRCA
57184,ATP8B4,55035,PTEN,BRCA
56953,CDH9,55035,PTEN,BRCA
56881,GATA3,11687,PBX1,BRCA
56881,GATA3,14051,SUFU,BRCA
56881,GATA3,81451,SDHB,BRCA
56881,GATA3,83801,TRIP11,BRCA
56881,GATA3,30847,NFIB,BRCA
73661,DDX10,30847,NFIB,BRCA
56881,GATA3,94589,WRN,BRCA
73372,CHEK1,96301,TP53,BRCA
73372,CHEK1,31227,PARP1,BRCA
56881,GATA3,38698,SYNE2,BRCA
56881,GATA3,17659,SS18L1,BRCA
73589,HES1,96301,TP53,BRCA
73661,DDX10,26275,PIK3R1,BRCA
73661,DDX10,75430,RECQL4,BRCA
73661,DDX10,89060,NOTCH2,BRCA
56881,GATA3,26310,IL6ST,BRCA
56881,GATA3,3797,PTCH1,BRCA
56881,GATA3,83111,PER1,BRCA
56881,GATA3,85534,TSC1,BRCA
27444,ETS2,55035,PTEN,BRCA
55406,SLC30A4,3375,ATM,BRCA
55468,TM4SF18,33598,BRCA1,BRCA
26987,AMD1,3375,ATM,BRCA
55526,NUP205,33598,BRCA1,BRCA
55720,ZNF623,96301,TP53,BRCA
55861,NFIL3,46130,BRCA2,BRCA
55928,SP8,3375,ATM,BRCA
55191,KRT84,46130,BRCA2,BRCA
55928,SP8,55035,PTEN,BRCA
56534,DSCC1,33598,BRCA1,BRCA
56623,SLC4A4,46130,BRCA2,BRCA
56623,SLC4A4,55035,PTEN,BRCA
56648,CLK2,33598,BRCA1,BRCA
56881,GATA3,67614,FBN1,BRCA
56881,GATA3,21674,CCND2,BRCA
56881,GATA3,44924,ELK4,BRCA
56881,GATA3,7978,BRIP1,BRCA
56095,RPL18A,33598,BRCA1,BRCA
55120,GIMAP8,33598,BRCA1,BRCA
28277,HSPB6,33598,BRCA1,BRCA
27589,PROK1,55035,PTEN,BRCA
29719,SLC7A14,96301,TP53,BRCA
29457,BCHE,96301,TP53,BRCA
73856,MAPK12,31227,PARP1,BRCA
28923,GPRC6A,55035,PTEN,BRCA
56534,DSCC1,96301,TP53,BRCA
73935,TMEM207,96301,TP53,BRCA
73960,GSK3A,31227,PARP1,BRCA
73995,LIG1,31227,PARP1,BRCA
28825,PIGX,96301,TP53,BRCA
28761,FOXF1,55035,PTEN,BRCA
28756,OR2T33,55035,PTEN,BRCA
29719,SLC7A14,55035,PTEN,BRCA
29564,TSNARE1,33598,BRCA1,BRCA
