gene_a.identifier,gene_a.name,gene_b.identifier,gene_b.name
3,PYCR3,96301,TP53
3,PYCR3,33598,BRCA1
3,PYCR3,17690,SCRIB
3,PYCR3,75430,RECQL4
3,PYCR3,41444,TSTA3
17,KCND3,28302,EMX1
17,KCND3,9929,MEOX2
17,KCND3,30202,PPP1R3A
17,KCND3,60516,OMD
28,TG,3375,ATM
28,TG,96301,TP53
49,DEPP1,28893,UNCX
62,CD96,68063,HRAS
62,CD96,50834,NRAS
62,CD96,60732,KRAS
84,EPB42,30092,NAE1
84,EPB42,48812,NTRK1
84,EPB42,78342,PDGFRB
84,EPB42,30949,KIT
84,EPB42,36922,PTGS1
84,EPB42,69468,SLC22A1
84,EPB42,94654,SLC22A2
84,EPB42,14672,ORM1
84,EPB42,35301,RET
84,EPB42,65860,PDGFRA
89,SMG6,64670,DCTN1
102,ADGRG1,60732,KRAS
102,ADGRG1,50834,NRAS
102,ADGRG1,68063,HRAS
113,C17orf67,3183,LPP
142,TAP2,92325,TUBB1
142,TAP2,17603,ZBTB47
154,RNF6,10134,SDHD
168,CREBZF,71792,POU2F1
168,CREBZF,472,PUM2
168,CREBZF,60711,IQCB1
168,CREBZF,55050,SPCS2
168,CREBZF,60732,KRAS
184,GLE1,33777,TBL1XR1
184,GLE1,16151,POLE3
184,GLE1,91887,SPTLC1
184,GLE1,64423,GLUD2
184,GLE1,24103,GRID2
184,GLE1,70546,TMED2
184,GLE1,38837,CD46
197,ECH1,50834,NRAS
197,ECH1,60732,KRAS
197,ECH1,26907,RBM24
197,ECH1,12782,TXNDC5
197,ECH1,68063,HRAS
205,FANCI,29375,DTL
205,FANCI,89657,PTPRN2
205,FANCI,14820,SIRT7
205,FANCI,40136,RFC4
205,FANCI,30092,NAE1
205,FANCI,6642,TOPBP1
205,FANCI,32837,SKP2
205,FANCI,73995,LIG1
205,FANCI,63943,BUB1
219,TAOK1,57579,PDE4C
219,TAOK1,27674,USP36
219,TAOK1,19005,TWIST1
219,TAOK1,50827,USF2
219,TAOK1,84639,SF1
219,TAOK1,52114,WDTC1
219,TAOK1,54913,BRF1
219,TAOK1,60732,KRAS
244,CHD9,19005,TWIST1
244,CHD9,62754,TONSL
244,CHD9,17690,SCRIB
247,IDI1,23507,INSIG1
254,CDK4,34769,MDM2
254,CDK4,69070,POLD4
254,CDK4,93727,SSBP1
254,CDK4,47636,TOP1
254,CDK4,20157,H4C1
254,CDK4,85188,PIK3CA
254,CDK4,58426,RAD23B
254,CDK4,30192,RRM1
254,CDK4,23363,ERBB2
254,CDK4,19198,POLE
254,CDK4,1393,POLM
254,CDK4,49896,TARBP2
254,CDK4,68584,IGFBP3
254,CDK4,86177,MTOR
254,CDK4,31227,PARP1
254,CDK4,36974,DNTT
254,CDK4,66175,VHL
254,CDK4,74199,PARP2
254,CDK4,55604,RBX1
254,CDK4,48973,H2AC8
254,CDK4,86335,CHEK2
254,CDK4,20547,KDR
254,CDK4,13272,ZBTB32
254,CDK4,57307,GTF2H1
254,CDK4,32538,MT1X
254,CDK4,55810,PRKDC
254,CDK4,96301,TP53
254,CDK4,60732,KRAS
254,CDK4,33264,CDK9
254,CDK4,90671,POLD1
254,CDK4,84858,NHP2
254,CDK4,8502,RAD9A
254,CDK4,18894,UNG
254,CDK4,26072,CETN2
254,CDK4,35001,RPL13A
254,CDK4,44340,RELA
254,CDK4,7059,WRAP53
254,CDK4,93418,HDAC1
254,CDK4,54395,PMS2
254,CDK4,52831,SESN2
254,CDK4,54138,RAD51
254,CDK4,69057,POLR2A
254,CDK4,47539,TNFRSF10B
254,CDK4,45096,PPM1D
254,CDK4,73856,MAPK12
254,CDK4,52701,IGF1
254,CDK4,29297,USP1
254,CDK4,25009,CDK6
254,CDK4,23305,ERCC1
254,CDK4,27772,XRCC2
254,CDK4,9758,EGFR
323,VIPR1,22385,MARVELD2
324,RAB18,50638,RAB1B
324,RAB18,42487,EIPR1
324,RAB18,29430,RAB1A
324,RAB18,10799,PTAR1
386,MBNL1,33598,BRCA1
386,MBNL1,30092,NAE1
402,ACAP1,18332,DEF6
402,ACAP1,812,SEMA4A
402,ACAP1,24683,MAP4K1
402,ACAP1,79460,GIMAP1
402,ACAP1,23035,DEFA6
425,ASB7,60732,KRAS
425,ASB7,50834,NRAS
425,ASB7,68063,HRAS
472,PUM2,22247,ZBTB6
475,BMPR1A,68063,HRAS
475,BMPR1A,60732,KRAS
475,BMPR1A,19137,MYC
475,BMPR1A,50834,NRAS
484,ZNF511,55035,PTEN
488,CPSF2,60732,KRAS
488,CPSF2,50834,NRAS
488,CPSF2,68063,HRAS
490,ANKH,68063,HRAS
490,ANKH,60732,KRAS
490,ANKH,50834,NRAS
519,CTAG2,33598,BRCA1
531,LDHB,13316,ME1
549,NDUFA3,7395,PRPF31
579,TMEM186,32318,USP7
596,ATP7A,50176,CYP2D6
596,ATP7A,94654,SLC22A2
596,ATP7A,17565,DDR1
596,ATP7A,78342,PDGFRB
596,ATP7A,21067,CYP3A5
596,ATP7A,21849,CSF1R
596,ATP7A,19644,CYP1A2
596,ATP7A,86335,CHEK2
596,ATP7A,36922,PTGS1
596,ATP7A,48812,NTRK1
596,ATP7A,33542,CYP3A4
596,ATP7A,65860,PDGFRA
596,ATP7A,14672,ORM1
596,ATP7A,33988,KAT8
596,ATP7A,69468,SLC22A1
596,ATP7A,2587,BCR
596,ATP7A,45411,CYP2C9
596,ATP7A,46732,CYP2C19
596,ATP7A,35301,RET
596,ATP7A,82030,CYP3A7
596,ATP7A,30949,KIT
603,SCN2B,4688,THPO
607,EEF1G,33887,WDR61
607,EEF1G,13685,PNN
607,EEF1G,1275,TUBGCP3
607,EEF1G,46547,ZNF830
607,EEF1G,59047,MFAP1
607,EEF1G,52590,VPS72
607,EEF1G,69303,TRMT5
607,EEF1G,64205,EXOSC9
607,EEF1G,76170,RTF1
607,EEF1G,54181,NUP85
