gene_a	gene_b	label
4546	15762	0
7343	15528	0
13594	1050	0
1431	11410	1
3444	12034	0
11389	7278	0
15980	15125	1
8922	6261	1
6341	8932	0
14590	1087	0
12119	14009	0
8818	10869	1
11978	11410	1
9198	8981	0
12011	3444	0
9740	12272	0
224	5847	0
14696	10869	1
13074	12376	0
1431	8501	0
15553	1148	1
5578	15309	0
1050	15125	1
6829	4960	1
8680	10900	1
7427	7694	0
8801	11410	1
16139	1299	1
7893	10869	1
3949	11410	1
950	5660	0
12863	2773	0
3658	13906	0
6798	10869	1
163	13011	0
4481	12238	0
6220	8402	0
12863	10869	1
4207	8591	0
1462	15514	0
9467	15125	1
5703	6046	0
14640	8869	0
9548	14045	0
6259	15125	1
8402	16786	0
16139	6261	1
5856	9814	0
8922	9299	1
5742	12672	0
2607	11410	1
6692	13370	1
5829	9707	0
12534	10969	1
8932	13594	0
13465	4538	0
8363	10869	1
3496	15125	1
7232	6744	0
11393	9562	0
16159	10262	1
12277	10869	1
13186	16732	0
14640	12550	0
16991	8818	0
11443	15125	1
9198	2463	0
12371	16230	0
12394	11410	1
7194	13594	1
11306	5660	1
2225	8818	0
4061	761	0
6692	12740	1
16159	12740	1
7335	16766	0
13594	6233	1
865	6233	1
10322	11286	0
6798	11410	1
13988	5643	0
13903	3768	0
6144	15904	0
7232	10869	1
14676	15125	1
1050	11410	1
16159	8629	1
1534	8331	1
6692	6261	1
8479	11410	1
7609	11410	1
4379	3628	0
14493	15929	0
4717	9018	0
15700	16647	0
9163	4207	0
2099	11410	1
4926	15757	0
7335	12373	0
6829	2865	0
16780	15553	0
15460	710	1
3798	11410	1
14207	10869	1
11727	4977	0
13903	7098	1
16159	9286	1
4290	9299	1
9057	11410	1
13533	15125	1
15419	11410	1
4858	2076	0
16139	2814	1
14850	10900	1
7350	7484	0
2099	14557	0
8931	15125	1
14335	3316	0
7409	4916	0
7232	3816	0
16117	137	0
9	10869	1
281	3036	0
16159	15460	1
11707	14696	0
6971	7505	0
4326	1132	0
14090	8018	0
6692	5660	1
5580	15125	1
4761	14205	0
13594	8331	1
2841	10869	1
4857	10869	1
2173	11410	1
5747	16823	0
7357	15980	0
13903	10262	1
13533	9740	0
4973	3931	0
7314	4870	0
9674	2985	0
5643	16644	0
14506	10869	1
5233	1148	1
12947	15125	1
3241	10869	1
2874	6261	1
9354	5237	0
3309	13801	0
12485	13594	1
1769	11410	1
8215	11410	1
8869	1148	1
7141	1148	1
5346	15125	1
6692	2081	1
634	4313	0
5197	10869	1
865	4960	1
10165	15125	1
7822	11410	1
6078	8584	0
12477	10900	1
10104	5869	0
4207	10869	1
14930	15196	0
14588	9198	0
499	13428	0
15159	15125	1
6210	4960	1
14166	11410	1
861	13370	1
13594	9286	1
4290	4128	1
8831	10500	0
11942	2336	0
4960	2540	0
8680	2814	1
285	13594	0
15196	10938	0
12477	6484	1
4038	5548	0
4469	15125	1
14584	11177	0
2874	6233	1
11392	10869	1
8932	15328	0
4292	12456	0
12272	4280	0
2473	15125	1
7598	14156	0
14887	11410	1
8680	6261	1
11873	11410	1
16159	2814	1
10938	7925	0
8331	12485	0
2041	11410	1
16139	6484	1
14022	11410	1
5548	15125	1
7632	10869	1
15806	10869	1
16595	15125	1
15309	15125	1
14822	11410	1
15470	5879	0
6046	10869	1
14665	15125	1
13087	7991	0
4251	10646	0
2874	8331	1
7228	2941	0
865	6484	1
2874	9814	1
5197	1025	0
2225	1148	1
4412	6220	0
12863	7427	0
6938	12936	0
1025	3825	0
13903	10900	1
12819	10969	1
4538	6401	0
12550	14822	0
1569	893	0
9407	12394	0
9262	800	0
7914	3241	0
6652	7911	0
16231	10900	1
8501	8537	0
1769	6097	0
12939	10869	1
1534	10900	1
6598	5798	1
14586	11148	0
16010	10786	0
14590	22	0
8358	15125	1
9	1148	1
929	12511	0
10191	7992	0
2758	12119	0
14658	1530	0
9407	11410	1
10915	15125	1
13696	10869	1
865	7098	1
2219	10869	1
13594	2814	1
10853	1462	0
9143	3957	0
3820	2387	0
16139	10262	1
8501	7679	1
10406	2388	0
7938	1462	0
2874	10900	1
4717	7632	0
10217	15125	1
1530	1499	0
5078	3444	0
16499	153	0
3706	11410	1
14772	2219	0
7288	9057	0
1431	7314	0
2329	6261	1
11306	6233	1
11868	4128	0
16139	5798	1
163	12936	0
6652	12080	0
13118	1431	0
1067	11707	0
1087	15264	0
15125	11044	1
10825	8333	0
12544	11410	1
865	8331	1
15629	1650	0
16991	3313	0
4290	6478	1
6692	10900	1
4811	15159	0
1792	13594	1
7427	16159	0
12238	1289	0
12477	9814	1
1569	1025	0
14850	3265	0
2985	10969	1
6660	1690	0
5654	15125	1
10294	1148	1
16390	1646	0
3444	1397	0
16789	8801	0
5457	15519	0
8922	10900	1
2826	6906	0
11306	6261	1
7609	1891	0
16159	9736	1
6220	12011	0
634	10869	1
6210	6261	1
16517	10869	1
119	11410	1
15470	13594	1
3316	10869	1
12376	5703	0
2329	9814	1
