gene_a	gene_b	label
5808	13736	0
17875	1002	1
17875	18223	1
15030	155	0
3626	7266	0
5085	17873	0
2698	19035	1
7861	7613	0
11260	11482	0
18330	19955	0
13738	5607	0
11661	18126	0
3308	8674	0
12412	12767	1
13024	9597	0
5586	7765	0
19565	2548	0
7381	4009	0
4466	328	0
10366	17620	0
17548	4805	0
3062	5855	1
19035	18198	1
817	17265	0
17875	13442	1
13393	9597	0
9657	2548	0
17875	7556	1
12412	6947	1
6733	17534	0
12412	19629	1
17875	8245	1
17875	10586	1
19035	1580	1
18152	1022	0
12412	3803	1
8699	5668	0
13544	9098	1
13544	17493	1
12412	14309	1
3062	10306	1
13975	6489	0
16587	11776	0
16027	1384	0
3929	14847	0
19706	519	0
3062	155	1
12547	8062	0
17875	10076	1
4724	16621	0
13544	18222	1
8245	8317	0
3062	18967	1
3062	19242	1
8727	11672	0
11131	1212	0
13297	376	0
9279	2291	0
18173	16968	0
8402	7477	0
17875	5327	1
4384	1137	0
11031	2295	0
17875	4354	1
13544	5922	1
3062	5290	1
3062	4805	1
12412	9864	1
17875	14129	1
13544	11351	1
13544	17485	1
13375	14804	0
3062	10005	1
13397	4625	0
7381	5636	0
17875	7945	1
13733	10942	0
19646	7476	0
17875	7380	1
9656	10808	0
3062	6915	1
12667	19211	0
14291	15379	0
13544	13255	1
6148	14706	0
11351	18413	0
15088	4625	0
19035	5620	1
2333	10934	0
16243	1734	0
17875	14815	1
12412	9111	1
16219	14881	0
13544	11966	1
17875	9065	1
17875	7928	1
3062	12702	1
17875	15483	1
12412	5607	1
13544	4745	1
19035	16787	1
7945	12165	0
18787	20024	0
17949	7266	0
7174	2648	0
17411	7710	0
3601	11706	0
2947	2896	0
9388	3839	0
9046	3336	0
6111	3059	0
7005	12458	0
3062	18094	1
19035	19513	1
13544	14545	1
16616	6453	0
7476	11761	0
16027	15088	0
17875	10239	1
17875	13375	1
7556	4724	0
16441	10337	0
8787	6332	0
3062	12121	1
3062	4887	1
7787	16117	0
4707	16278	0
1022	3343	0
12412	10832	1
10307	19550	0
1613	18223	0
3062	10664	1
19035	16587	1
3062	6296	1
19646	13031	0
12978	19937	0
11885	3211	0
19556	11495	0
13544	9012	1
12412	7466	1
10882	3037	0
12412	6654	1
10468	4883	0
16514	11693	0
6511	10986	0
14041	17341	0
12412	6460	1
12975	5977	0
19172	26	0
12412	14989	1
17875	5891	1
4149	9894	0
12412	7381	1
12562	8402	0
17875	2614	1
3062	18081	1
19035	3096	1
13544	13775	1
5897	11340	0
12412	19706	1
13544	16684	1
3062	12044	1
9561	11245	0
3062	1872	1
336	15817	0
13544	5040	1
11799	13669	0
6148	7989	0
19035	5397	1
18917	19035	1
3062	2038	1
12412	7304	1
2390	16701	0
3062	6349	1
3012	9864	0
16072	14510	0
13544	2095	1
13544	8739	1
3062	4666	1
3062	581	1
17875	13968	1
12412	8611	1
7750	9046	0
16076	12800	0
12126	13393	0
8507	12732	0
646	13388	0
3308	16076	0
18878	19035	1
13544	15070	1
2304	18117	0
5845	14785	0
13024	12688	0
17875	3164	1
17875	13024	1
13544	12087	1
3062	4170	1
1447	18185	0
2896	15697	0
10005	10895	0
12412	14152	1
19921	7752	0
12412	12316	1
13544	4451	1
3062	12618	1
17875	581	1
12412	10507	1
15158	7208	0
13544	13897	1
17020	4771	0
18202	15830	0
13544	12079	1
13211	19727	0
12412	6832	1
15041	6963	0
5694	15364	0
13898	8126	0
17875	12978	1
19258	11693	0
5001	16164	0
11096	7558	0
17466	6480	0
12201	15667	0
14184	5886	0
7556	5620	0
3062	8402	1
966	11966	0
17875	1410	1
8421	3012	0
1702	5452	0
2333	19035	1
4540	13175	0
13544	5001	1
7499	19035	1
8132	15621	0
18413	9313	0
5826	9596	0
3062	1104	1
3062	10363	1
3062	9564	1
5576	13725	0
12412	7950	1
859	18670	0
13544	7097	1
15667	19035	1
1167	13975	0
3062	817	1
13316	18190	0
15424	4774	0
12824	13996	0
13725	10082	0
12412	12607	1
13024	171	0
4747	17439	0
803	15460	0
8062	1173	0
17875	7000	1
13544	18934	1
11554	4032	0
3062	12021	1
12412	7481	1
11260	14887	0
17875	10166	1
18605	679	0
13175	6164	0
12412	16338	1
14780	14989	0
16837	9428	0
3062	14623	1
3062	4392	1
6111	15525	0
17875	3343	1
3062	1554	1
3062	7892	1
13544	937	1
13516	19035	1
10452	336	0
11986	18567	0
12412	2447	1
15644	13442	0
3062	14531	1
17875	9208	1
19035	16968	1
13544	5668	1
17875	2799	1
12412	4345	1
18857	10986	0
5526	7431	0
12412	1104	1
3062	10337	1
18945	9942	0
8062	7039	0
17875	18330	1
11718	11055	0
13544	19149	1
12412	18202	1
13544	17341	1
9065	16025	0
12412	11106	1
17875	14901	1
12412	17452	1
17875	1258	1
17001	19556	0
13544	17584	1
9192	16164	0
13544	7491	1
13817	7142	0
17875	14890	1
13544	11495	1
13544	13316	1
17875	14839	1
12412	16514	1
5654	14152	0
10649	10913	0
13544	1417	1
2905	16616	0
3062	987	1
17875	10922	1
9192	17517	0
17700	11256	0
12412	15056	1
16840	3984	0
13544	16616	1
19035	12637	1
12201	4445	0
7765	4724	0
3062	7765	1
9749	262	0
17875	18081	1
19035	1491	1
3062	17426	1
17875	5063	1
3062	19172	1
3062	12726	1
11672	9789	0
13544	17314	1
2937	8969	0
17390	12688	0
17875	2905	1
7710	7928	0
5902	6111	0
15667	10313	0
3062	14354	1
12412	4354	1
19741	12866	0
13544	16854	1
5003	5721	0
16279	15246	0
7362	19513	0
11246	5064	0
3062	15286	1
16111	3992	0
19455	8507	0
13544	19955	1
12412	822	1
13388	13141	0
15830	18767	0
17875	2973	1
17875	4774	1
15460	18223	0
5845	8642	1
4384	17044	0
13687	2295	0
13544	15748	1
10550	19532	0
3062	11986	1
17875	8317	1
13544	7947	1
3062	12562	1
13544	11031	1
6100	19498	0
3062	12949	1
19035	18698	1
376	15101	0
3062	5222	1
