gene_a	gene_b	label
11609	8493	1
12528	6776	0
6973	1781	0
9302	2827	0
1104	2052	0
5344	3771	0
2277	1917	0
3771	11681	1
1261	1409	0
6691	2762	0
9209	2416	1
1635	11141	1
11913	11754	1
5049	8191	0
7631	6538	0
542	4078	1
6691	2928	1
3194	9749	0
8594	6299	0
5264	3771	0
5049	11654	0
1917	3161	0
2982	8191	1
848	1261	1
2305	9303	1
5097	4971	0
4337	6713	0
2277	4332	1
809	3263	0
7482	11095	1
6059	9492	1
1236	3232	0
12285	3718	0
5344	755	0
2450	4961	1
9303	12551	0
8705	7613	0
3161	3396	0
6031	4332	0
747	7631	1
3538	7923	1
7482	11913	1
12399	1444	0
6234	6691	1
6299	6678	1
12399	4084	0
12259	2052	0
6059	848	0
5451	848	0
4148	2288	1
7566	9248	1
1655	11320	0
3538	4971	1
1960	52	1
1236	8748	1
4224	2450	1
8026	6234	0
5531	7202	0
8705	4255	1
1661	12312	1
4148	8924	1
8841	9209	0
5049	10222	0
1781	4332	0
7566	8529	1
9075	11984	1
1206	542	0
8529	11320	0
12551	6776	0
4878	9778	1
2525	980	1
2762	3954	0
5111	6887	1
61	755	0
2644	980	1
1781	4078	1
1573	11082	1
12090	12259	1
5182	3563	0
4337	4393	0
3718	3538	1
4297	1011	1
7530	11471	0
2450	7317	1
3463	8841	1
3263	2288	1
1206	10178	1
12312	12690	1
2644	1573	0
8566	10985	0
4547	5097	1
5246	11488	0
1409	3065	0
9604	6713	0
7482	3161	0
4384	4051	1
8564	2897	1
10595	4583	0
6592	2982	0
6220	2602	0
2616	7566	1
9248	3718	0
4583	61	0
10595	2602	0
5246	980	1
4224	9492	1
7566	6832	1
6094	3538	1
10342	7407	0
1444	61	0
12528	9040	1
7585	9661	1
2450	1543	1
2450	6270	1
9860	6678	0
61	4379	0
7827	5097	1
12690	11878	0
3161	8841	0
1917	3538	0
10595	2416	1
1029	11245	0
7119	4255	1
4904	7530	0
7827	12497	0
10165	9209	0
7119	1781	0
5763	5097	1
2305	7655	0
980	4078	1
747	8664	1
2288	7974	1
3263	11733	0
7296	11567	1
8529	1236	1
2964	1236	0
6592	9604	0
9209	3563	1
8566	12215	0
12418	1236	1
1064	2762	1
2644	5246	0
4297	6059	1
3161	4255	1
6252	10469	1
10222	7585	0
980	5097	1
2450	11082	1
8564	1206	1
6299	2416	1
6094	3207	0
12551	2667	1
4051	2416	1
5111	5097	1
2525	6270	0
4148	5097	1
7712	11267	1
4379	5111	1
11508	3538	0
2982	4051	1
7482	6031	1
4297	8191	0
10595	3928	1
10165	4051	0
747	1807	1
7960	10425	1
10469	8924	0
6843	2762	1
2052	542	0
7712	1104	1
4051	2928	1
1960	5763	0
8088	593	0
12090	7482	1
1573	5097	1
8088	12285	0
5663	6299	1
12497	2795	1
7585	1573	0
8748	1348	0
10589	4332	1
9749	11733	0
12090	9040	1
10589	10595	1
7407	11508	0
3928	2052	1
3207	4222	0
9040	6592	1
1833	7712	0
1064	2052	1
3161	9697	0
11513	5560	0
6776	4393	0
4224	12672	0
4051	2897	1
9158	7631	1
4393	3463	0
4722	3194	0
10222	7530	0
3563	9303	0
10589	10222	1
12528	11488	1
2667	4547	1
9248	10595	1
5049	1543	0
1661	8529	1
11609	3396	0
7296	1444	0
1543	6776	0
7530	109	0
2747	934	0
1661	3771	1
8799	7960	0
4878	932	1
8841	11754	1
4384	4332	1
6908	4332	0
7827	4971	1
701	2724	0
1261	5111	0
1661	6678	1
4224	1872	1
8664	7712	0
4148	11320	0
2616	2288	1
11245	11567	1
3718	9303	1
12672	7296	0
3207	11567	1
6252	3954	0
2827	8256	0
7410	4583	0
1573	5531	0
6299	11984	1
1261	8567	1
68	12259	1
11508	2768	0
4148	7900	1
3718	12098	1
4384	12399	0
5344	1543	0
2897	9248	0
10912	1261	0
9661	5111	0
5232	8748	1
7296	3211	0
4384	3065	1
7530	1833	0
2724	3771	0
2897	11244	0
5663	2762	0
11471	9062	1
2277	5182	1
68	5592	1
8924	2614	1
7407	9492	1
4379	12098	1
6832	8841	1
8799	2288	1
8493	9661	0
12312	2928	0
4051	12528	1
12418	980	1
4148	747	0
2163	9303	0
5246	5531	0
9171	11267	0
2982	1348	1
9248	12098	1
3570	7631	1
5232	12497	0
5531	4255	1
10178	9778	0
747	12672	1
7119	61	0
