gene_a	gene_b	label
5955	12811	1
10746	10733	1
7775	14359	0
11579	215	1
12613	7129	1
6848	517	1
9350	12811	1
13314	12811	1
823	4933	0
9669	13610	0
9543	12811	1
11234	6687	1
4384	4266	0
10161	1619	0
3978	12811	1
3122	12811	1
6466	12811	1
4436	1701	0
6171	3334	0
667	3722	0
5052	6257	0
14342	12811	1
8570	1112	0
13641	12811	1
1815	3338	0
10043	215	1
11036	5564	1
998	4551	0
11164	11480	0
2805	12811	1
4440	14398	1
11851	5865	0
1867	12064	0
11672	2457	0
289	7316	1
366	14300	1
12811	944	1
4142	5102	0
8470	7486	0
7358	11766	0
10020	758	1
3688	9490	0
8795	12811	1
998	1632	0
12811	11480	1
982	9836	0
12642	11009	0
11731	10842	0
9971	12811	1
4384	5097	0
426	2136	0
3994	12811	1
10662	11076	0
12811	4384	1
6443	6257	0
5637	8307	1
426	8307	0
9496	12811	1
2538	12811	1
14300	4046	0
5021	12811	1
11009	12811	1
2657	3059	0
6470	13324	1
10020	517	1
12613	7486	1
11234	5995	1
12681	12811	1
784	12811	1
14651	12811	1
6849	12811	1
12832	13175	0
1532	532	0
7360	6154	0
9026	12811	1
3408	14365	0
1088	9543	0
8737	12811	1
12630	8264	0
7213	4802	0
11480	11115	0
12202	12811	1
6614	14197	0
8858	12811	1
12811	534	1
13618	8958	0
12811	13610	1
4032	12811	1
11851	5445	0
3978	9062	0
1619	12811	1
6705	10020	0
5637	758	1
12985	4032	0
6330	12811	1
5637	3616	1
11340	615	0
6848	7213	1
3117	14432	0
14214	1264	1
9708	4534	1
4603	12811	1
5925	426	0
10088	572	0
11697	12498	1
6849	457	0
12571	12503	0
6705	14300	1
727	7323	0
7932	10869	0
13228	13910	0
5955	3334	0
6848	6175	1
3691	2538	0
4377	12811	1
7402	10694	0
8231	10810	0
4424	12037	0
12984	1727	0
998	12811	1
12064	6228	0
219	14651	0
193	8157	0
13845	12811	1
5237	10642	0
8927	7422	0
11496	12811	1
