gene_a	gene_b	label
4938	4113	0
1271	3512	0
2614	2371	0
3086	4074	0
2899	4479	1
6172	4296	0
3512	246	0
5483	6769	1
4397	1388	0
2166	1388	0
3961	4479	1
1230	6856	1
4074	3961	0
2439	6856	1
3512	4479	1
2075	1872	1
6769	5619	0
3086	416	1
1872	4479	0
2899	3195	0
5480	1271	0
3961	1582	1
2614	6769	1
332	246	0
2166	2439	0
2166	4296	0
2075	6856	1
2614	4113	0
4397	5245	0
2371	246	0
3086	1582	1
246	5483	0
4113	1872	1
3512	6856	1
1388	6230	1
5891	1271	0
4938	416	1
2614	6385	0
2166	6230	1
5480	4479	1
3846	332	0
5245	4938	0
4088	416	1
3512	2916	1
2075	6230	1
1271	2916	1
2439	6385	0
6172	4479	1
1388	5480	0
4074	1582	1
5619	4088	0
2371	1872	1
1230	5619	0
2614	2371	0
6172	4397	0
4479	6769	0
246	3030	1
4074	1271	0
4397	6230	1
5891	416	1
4296	5483	0
