gene_a	gene_b	label
17152	12082	0
19237	9000	1
3811	6359	0
10430	763	1
21903	12096	1
23134	6418	1
3852	20937	0
204	17556	0
4056	1876	1
19329	21217	0
16704	22060	1
23868	20365	1
17530	18230	0
21525	24180	1
8348	4257	1
18088	16457	1
17005	6908	0
14624	10169	1
17715	19614	0
18476	8914	0
17423	1394	0
7782	21530	0
10526	24987	0
17528	13423	0
17180	1243	1
18124	15366	0
19176	22656	1
5490	1294	0
13409	5301	1
20525	6418	0
24854	5497	0
15753	21471	1
22120	17095	1
9679	3776	0
16511	24180	1
12526	6258	0
7141	3320	0
10075	10228	0
10087	17095	1
3914	3104	1
11469	16344	0
5312	11366	0
6850	10169	1
4169	6084	1
3372	8487	0
24053	17095	1
21440	23849	1
730	8133	0
6634	23091	0
17180	8943	1
10446	20365	1
15753	17616	1
10201	22402	0
4575	20475	0
4334	16358	1
5895	12096	1
16311	7630	0
12425	11958	0
18762	24180	1
21116	16034	0
19242	16542	1
23204	22940	0
5846	21929	1
6505	19787	1
1446	16312	1
18230	23915	1
23128	24180	1
17180	20929	1
10249	12096	1
8311	22656	1
24180	24930	1
24215	5301	1
18004	10169	1
3914	15483	1
16847	12415	1
17180	17232	1
4334	13946	1
16847	12567	1
3914	17306	1
23430	22656	1
17152	6409	0
9306	11522	1
1909	12185	0
2258	7047	0
8784	5883	0
23628	4616	0
3535	22112	0
17180	17341	1
17180	18742	1
21083	20755	1
15577	3736	0
22607	5895	0
21199	21695	0
6978	607	0
10309	11526	1
15477	22886	1
10163	24180	1
15340	19242	0
22132	2007	0
23005	12415	0
6505	611	1
23298	16017	0
8338	17755	0
4441	10408	0
20365	22673	1
24118	25307	0
7326	17095	1
23853	6877	0
17144	16312	1
3914	23986	1
5713	14590	0
6668	15597	1
17180	7953	1
13356	20434	1
22656	14737	1
17180	8238	1
15780	22634	0
25040	9438	0
15597	6869	0
8607	2859	0
6626	12526	0
1945	24447	0
22656	15207	1
24328	4257	1
247	7075	1
7904	10249	0
3530	18627	0
6409	22470	0
4888	10249	0
3776	10169	1
28	25128	0
13996	1058	0
17180	7907	1
22499	20310	0
24180	25070	1
23592	11075	0
23014	23915	1
15810	12388	1
842	23758	0
6922	22656	1
22368	20365	1
14931	21723	0
8759	9348	0
10735	20525	0
763	12855	1
5057	21064	1
13043	8470	1
23467	24118	0
81	23425	0
3379	1758	1
20365	15387	1
13717	24180	1
3744	24180	1
18052	3558	0
23213	7434	0
21199	10169	1
23144	18819	0
24328	7456	1
22396	17095	1
8556	23359	0
16509	24180	1
24335	24788	0
1492	609	0
14064	1758	1
1758	607	1
10127	14556	0
8706	15955	0
6782	7707	0
16290	17095	1
17180	5920	1
20365	1986	1
15748	4991	0
17069	16312	1
23537	17095	1
4294	16312	1
17180	16445	1
20805	20178	1
17180	1516	1
14759	22654	0
22770	14064	0
22656	3943	1
6017	9012	0
24854	7479	0
10134	24489	1
18959	24180	1
3698	5406	0
17818	17095	1
3739	22396	0
8209	1394	1
1521	1535	0
13031	24844	1
17380	17095	1
1177	14709	0
3689	18793	0
5527	3943	0
8562	9501	0
14531	149	0
3914	13897	1
7103	3112	0
14334	4784	1
17583	3852	0
2134	1360	1
17180	20806	1
23921	7014	0
4035	1323	0
3914	2364	1
17180	24083	1
20806	24942	0
22656	3566	1
