gene_a,gene_b,label
41262,5178,1
41262,46960,1
41262,52982,1
41262,6556,1
41262,9902,1
41262,50987,1
41262,15543,1
41262,4551,1
41262,14743,1
31359,30825,1
31683,18835,1
31869,12143,1
30875,18835,1
41420,53953,1
41448,17523,1
16119,30825,1
16650,30825,1
40839,53953,1
29055,30825,1
22317,45847,1
21633,18835,1
22317,10219,1
30825,42709,1
22317,25169,1
22317,25455,1
39904,18835,1
21077,1885,1
32854,30825,1
29949,45651,1
30179,30825,1
32661,53953,1
40696,53953,1
30127,53953,1
29566,53953,1
20890,18835,1
40008,53953,1
16706,30825,1
34102,45847,1
34102,32078,1
34102,52139,1
11494,30825,1
13456,23129,1
13456,12143,1
11170,30825,1
35461,18835,1
13411,18835,1
35410,18835,1
36392,25867,1
10553,49911,1
34216,18835,1
34351,37876,1
34351,4470,1
42114,53953,1
13456,9902,1
13456,46960,1
13456,5178,1
33426,18835,1
33761,53953,1
32078,12143,1
32586,18835,1
41888,30825,1
13456,47943,1
13456,50334,1
11886,18835,1
15031,30825,1
14843,30825,1
14528,30825,1
14059,18835,1
13654,9902,1
25867,10219,1
25867,49911,1
25867,14743,1
34987,53953,1
20822,30825,1
34351,46960,1
34351,2123,1
34351,7884,1
34351,45847,1
25867,46577,1
29257,18835,1
18781,18835,1
18065,18835,1
35636,53953,1
34023,2123,1
22910,30825,1
34023,21664,1
30825,17741,1
23690,53953,1
34023,46577,1
34102,42265,1
34102,6577,1
34102,14743,1
34102,26799,1
30825,15959,1
25867,25455,1
22119,30825,1
34043,53953,1
17185,25867,1
16941,30825,1
24477,18835,1
24272,25867,1
18950,30825,1
23932,18835,1
38824,53953,1
38150,53953,1
26799,45847,1
26799,25455,1
38489,53953,1
25653,30825,1
25475,1885,1
39184,30825,1
18536,37876,1
18492,53953,1
18536,14743,1
18835,17523,1
27854,53953,1
23448,1885,1
26799,52982,1
26799,45651,1
26799,9902,1
26799,21664,1
36758,5178,1
33274,53953,1
26863,53953,1
28631,25867,1
26148,53953,1
27672,18835,1
27663,1885,1
27193,18835,1
38141,42265,1
38141,52982,1
38141,50334,1
38141,52139,1
37688,30825,1
37688,53953,1
26799,37876,1
38136,46960,1
5760,18835,1
5718,18835,1
4815,18835,1
4152,18835,1
50885,3355,1
50885,6577,1
50885,14764,1
50885,46960,1
30920,30825,1
50885,46577,1
50885,52982,1
50496,6556,1
50885,49911,1
50885,42265,1
46538,6556,1
10553,37876,1
47527,25169,1
10645,5803,1
10553,10219,1
10553,12143,1
10553,14764,1
10553,3355,1
46538,14743,1
