a	b
0.0	0
65539.0	1
65540.0	2
6.0	3
65547.0	4
11.0	5
65553.0	6
65554.0	7
65561.0	8
28.0	9
30.0	10
34.0	11
35.0	12
36.0	13
65570.0	14
38.0	15
65575.0	16
40.0	17
65573.0	18
65579.0	19
44.0	20
65584.0	21
65592.0	22
65594.0	23
66.0	24
65608.0	25
76.0	26
78.0	27
81.0	28
82.0	29
65620.0	30
65621.0	31
86.0	32
87.0	33
65630.0	34
65631.0	35
65635.0	36
65639.0	37
104.0	38
65643.0	39
107.0	40
110.0	41
65650.0	42
115.0	43
117.0	44
65654.0	45
122.0	46
65666.0	47
132.0	48
65669.0	49
133.0	50
138.0	51
140.0	52
65681.0	53
65682.0	54
147.0	55
65683.0	56
65686.0	57
65688.0	58
65693.0	59
65708.0	60
65709.0	61
65718.0	62
183.0	63
185.0	64
187.0	65
65737.0	66
65743.0	67
65747.0	68
214.0	69
65753.0	70
65754.0	71
223.0	72
226.0	73
65764.0	74
231.0	75
65767.0	76
233.0	77
234.0	78
65771.0	79
65768.0	80
238.0	81
65782.0	82
248.0	83
252.0	84
255.0	85
65795.0	86
65799.0	87
268.0	88
275.0	89
279.0	90
280.0	91
65816.0	92
65833.0	93
65834.0	94
301.0	95
65837.0	96
65842.0	97
321.0	98
65861.0	99
328.0	100
65865.0	101
65867.0	102
333.0	103
65869.0	104
65873.0	105
338.0	106
65874.0	107
340.0	108
65881.0	109
349.0	110
65886.0	111
65887.0	112
354.0	113
361.0	114
65908.0	115
375.0	116
65913.0	117
377.0	118
386.0	119
65925.0	120
391.0	121
399.0	122
404.0	123
405.0	124
406.0	125
65943.0	126
409.0	127
410.0	128
65947.0	129
413.0	130
422.0	131
65960.0	132
436.0	133
443.0	134
444.0	135
65981.0	136
65983.0	137
448.0	138
65986.0	139
454.0	140
456.0	141
466.0	142
66011.0	143
484.0	144
487.0	145
489.0	146
66033.0	147
501.0	148
66044.0	149
513.0	150
514.0	151
515.0	152
519.0	153
521.0	154
522.0	155
66058.0	156
66057.0	157
525.0	158
66062.0	159
530.0	160
66069.0	161
537.0	162
66086.0	163
550.0	164
556.0	165
558.0	166
66094.0	167
66096.0	168
560.0	169
66098.0	170
66101.0	171
566.0	172
66104.0	173
66112.0	174
66115.0	175
66116.0	176
584.0	177
591.0	178
593.0	179
66133.0	180
602.0	181
604.0	182
66143.0	183
66150.0	184
615.0	185
66152.0	186
66155.0	187
66158.0	188
623.0	189
66159.0	190
66161.0	191
626.0	192
627.0	193
66163.0	194
66165.0	195
66167.0	196
632.0	197
66170.0	198
636.0	199
66174.0	200
640.0	201
66177.0	202
66183.0	203
66185.0	204
66187.0	205
66188.0	206
66193.0	207
660.0	208
661.0	209
66197.0	210
666.0	211
66205.0	212
66207.0	213
66216.0	214
66217.0	215
682.0	216
66224.0	217
691.0	218
702.0	219
704.0	220
707.0	221
708.0	222
66248.0	223
66253.0	224
718.0	225
66258.0	226
728.0	227
66265.0	228
732.0	229
66272.0	230
740.0	231
743.0	232
745.0	233
746.0	234
748.0	235
750.0	236
66289.0	237
66290.0	238
755.0	239
754.0	240
756.0	241
66296.0	242
763.0	243
765.0	244
766.0	245
767.0	246
66303.0	247
769.0	248
770.0	249
66304.0	250
66310.0	251
776.0	252
66315.0	253
66319.0	254
787.0	255
788.0	256
66325.0	257
66327.0	258
66328.0	259
796.0	260
798.0	261
66338.0	262
804.0	263
66341.0	264
66351.0	265
816.0	266
66353.0	267
819.0	268
821.0	269
823.0	270
825.0	271
828.0	272
66369.0	273
834.0	274
840.0	275
842.0	276
66378.0	277
843.0	278
844.0	279
850.0	280
66388.0	281
66395.0	282
859.0	283
66400.0	284
865.0	285
871.0	286
66414.0	287
879.0	288
880.0	289
66419.0	290
66420.0	291
891.0	292
892.0	293
66428.0	294
66431.0	295
898.0	296
901.0	297
66438.0	298
903.0	299
905.0	300
906.0	301
911.0	302
915.0	303
918.0	304
919.0	305
66457.0	306
922.0	307
924.0	308
930.0	309
934.0	310
66471.0	311
938.0	312
944.0	313
66485.0	314
66486.0	315
66487.0	316
952.0	317
957.0	318
66495.0	319
960.0	320
964.0	321
66500.0	322
966.0	323
66502.0	324
66504.0	325
969.0	326
974.0	327
66515.0	328
981.0	329
66518.0	330
990.0	331
995.0	332
66536.0	333
1013.0	334
1014.0	335
66556.0	336
