gene_a	gene_b	label
9	10869	1
9	1148	1
119	11410	1
144	15125	1
153	11410	1
285	11410	1
335	11410	1
504	11410	1
518	15125	1
535	15125	1
562	13594	1
562	11410	1
634	10869	1
761	11410	1
795	15125	1
800	15125	1
893	11410	1
915	15125	1
953	10869	1
979	11410	1
1025	10869	1
1050	15125	1
1050	11410	1
1059	11410	1
1067	13594	1
1148	10869	1
1148	10969	1
1213	15125	1
1431	11410	1
1431	10869	1
1462	15125	1
1529	11410	1
1569	11410	1
1616	11410	1
1637	11410	1
1646	15125	1
1650	11410	1
1769	11410	1
1891	11410	1
1932	13594	1
1932	15125	1
2125	10869	1
2125	11410	1
2173	11410	1
2173	10869	1
2219	10869	1
2219	11410	1
2225	1148	1
2329	1299	1
2329	6484	1
2329	6261	1
2329	3504	1
2329	12272	1
2329	5660	1
2329	7679	1
2329	13465	1
2329	5798	1
2329	9286	1
2329	10900	1
2329	4960	1
2329	9814	1
2329	7098	1
2329	8331	1
2329	10262	1
2329	6233	1
2329	4128	1
2329	13370	1
2329	2877	1
2329	2081	1
2329	12740	1
2329	2814	1
2329	6478	1
2329	710	1
2336	11410	1
2381	15125	1
2387	10869	1
2607	10869	1
2607	11410	1
2680	15125	1
2730	15125	1
2877	10869	1
2965	15125	1
3036	11410	1
3176	10869	1
3185	15125	1
3240	10869	1
3285	11410	1
3286	15125	1
3298	11410	1
3313	11410	1
3313	10869	1
3316	11410	1
3316	10869	1
3496	15125	1
3517	11410	1
3591	11410	1
3612	11410	1
3658	11410	1
3686	15125	1
3704	10869	1
3706	11410	1
3768	13594	1
3768	1148	1
3798	11410	1
3798	10869	1
3816	11410	1
3820	13594	1
3825	11410	1
3931	15125	1
3957	15125	1
3971	10869	1
4012	11410	1
4038	15125	1
4061	10869	1
4207	10869	1
4224	15125	1
4290	7098	1
4290	6233	1
4290	12740	1
4290	6478	1
4290	9814	1
4290	4144	1
4290	6484	1
4290	5798	1
4290	10262	1
4290	10900	1
4290	13465	1
4290	13370	1
4290	5643	1
4290	3265	1
4290	12272	1
4290	9299	1
4290	6261	1
4290	9286	1
4290	2081	1
4290	9736	1
4290	8591	1
4290	1299	1
