a	b
65539.0	0
32773.0	1
6.0	2
11.0	3
32786.0	4
32791.0	5
32796.0	6
30.0	7
34.0	8
35.0	9
32803.0	10
65570.0	11
38.0	12
65573.0	13
40.0	14
32812.0	15
32813.0	16
65584.0	17
32822.0	18
65594.0	19
66.0	20
32834.0	21
65608.0	22
32842.0	23
78.0	24
80.0	25
81.0	26
65620.0	27
86.0	28
87.0	29
65631.0	30
65639.0	31
104.0	32
65643.0	33
107.0	34
65647.0	35
32881.0	36
65650.0	37
32884.0	38
117.0	39
65654.0	40
32890.0	41
122.0	42
65666.0	43
65669.0	44
32905.0	45
138.0	46
32907.0	47
65676.0	48
140.0	49
65683.0	50
32917.0	51
65688.0	52
65693.0	53
32927.0	54
32935.0	55
32940.0	56
65708.0	57
32944.0	58
65718.0	59
185.0	60
187.0	61
32959.0	62
32960.0	63
65737.0	64
32974.0	65
65743.0	66
65747.0	67
32980.0	68
214.0	69
32983.0	70
65753.0	71
65754.0	72
32994.0	73
65767.0	74
65768.0	75
233.0	76
234.0	77
32999.0	78
33001.0	79
238.0	80
33011.0	81
248.0	82
65787.0	83
252.0	84
254.0	85
33023.0	86
65793.0	87
33025.0	88
65795.0	89
33032.0	90
268.0	91
33039.0	92
65813.0	93
33047.0	94
279.0	95
65816.0	96
33050.0	97
33051.0	98
33049.0	99
33062.0	100
65833.0	101
65834.0	102
301.0	103
65842.0	104
65860.0	105
65861.0	106
33097.0	107
333.0	108
65873.0	109
338.0	110
33107.0	111
340.0	112
65874.0	113
65881.0	114
65886.0	115
65887.0	116
354.0	117
361.0	118
33136.0	119
375.0	120
377.0	121
65915.0	122
33148.0	123
33150.0	124
391.0	125
404.0	126
405.0	127
406.0	128
65943.0	129
33178.0	130
410.0	131
416.0	132
422.0	133
33204.0	134
33208.0	135
443.0	136
444.0	137
65981.0	138
448.0	139
65986.0	140
451.0	141
33221.0	142
33222.0	143
456.0	144
33233.0	145
33237.0	146
33238.0	147
66011.0	148
489.0	149
66028.0	150
493.0	151
33264.0	152
501.0	153
33271.0	154
33274.0	155
33283.0	156
515.0	157
33287.0	158
521.0	159
66058.0	160
66057.0	161
525.0	162
66062.0	163
530.0	164
537.0	165
33308.0	166
33311.0	167
546.0	168
33316.0	169
556.0	170
33325.0	171
558.0	172
66094.0	173
66096.0	174
66098.0	175
33331.0	176
566.0	177
66104.0	178
574.0	179
66112.0	180
66115.0	181
33347.0	182
584.0	183
33358.0	184
591.0	185
33360.0	186
593.0	187
590.0	188
66133.0	189
602.0	190
604.0	191
66143.0	192
33380.0	193
66150.0	194
615.0	195
66152.0	196
66155.0	197
66158.0	198
66161.0	199
626.0	200
33395.0	201
33396.0	202
66165.0	203
632.0	204
66170.0	205
636.0	206
66174.0	207
66175.0	208
640.0	209
66177.0	210
33412.0	211
33414.0	212
66183.0	213
33415.0	214
651.0	215
66187.0	216
33421.0	217
33423.0	218
66193.0	219
660.0	220
661.0	221
66197.0	222
66202.0	223
666.0	224
66207.0	225
672.0	226
33441.0	227
66216.0	228
66217.0	229
33449.0	230
33448.0	231
66224.0	232
33466.0	233
33471.0	234
33473.0	235
33474.0	236
66243.0	237
33478.0	238
728.0	239
66272.0	240
33506.0	241
740.0	242
33510.0	243
743.0	244
746.0	245
748.0	246
66289.0	247
33522.0	248
66290.0	249
756.0	250
754.0	251
66296.0	252
33529.0	253
33530.0	254
763.0	255
765.0	256
766.0	257
66303.0	258
66304.0	259
33537.0	260
66310.0	261
776.0	262
33544.0	263
66315.0	264
33550.0	265
66319.0	266
787.0	267
788.0	268
66325.0	269
798.0	270
66338.0	271
804.0	272
66341.0	273
66351.0	274
816.0	275
66353.0	276
819.0	277
33588.0	278
33590.0	279
825.0	280
834.0	281
66372.0	282
66378.0	283
844.0	284
851.0	285
33623.0	286
859.0	287
33634.0	288
871.0	289
879.0	290
66419.0	291
891.0	292
66428.0	293
66431.0	294
898.0	295
66438.0	296
33676.0	297
33680.0	298
918.0	299
919.0	300
66457.0	301
922.0	302
33692.0	303
924.0	304
33694.0	305
930.0	306
934.0	307
33703.0	308
938.0	309
33707.0	310
33708.0	311
944.0	312
66486.0	313
66487.0	314
952.0	315
33722.0	316
33726.0	317
66495.0	318
960.0	319
66500.0	320
966.0	321
66502.0	322
66504.0	323
969.0	324
974.0	325
981.0	326
66518.0	327
990.0	328
33760.0	329
995.0	330
66537.0	331
33770.0	332
33772.0	333
1015.0	334
33789.0	335
1021.0	336
33807.0	337
1042.0	338
33810.0	339
66579.0	340
33816.0	341
33821.0	342
66595.0	343
66596.0	344
1061.0	345
66602.0	346
66606.0	347
1074.0	348
66615.0	349
66621.0	350
66624.0	351
66629.0	352
1094.0	353
33862.0	354
66632.0	355
1099.0	356
33869.0	357
33870.0	358
1106.0	359
66643.0	360
33880.0	361
33882.0	362
66650.0	363
1116.0	364
33885.0	365
33884.0	366
1122.0	367
33893.0	368
1127.0	369
33899.0	370
1133.0	371
66671.0	372
66677.0	373
66678.0	374
1145.0	375
66683.0	376
33917.0	377
66688.0	378
33926.0	379
1162.0	380
1163.0	381
1165.0	382
66702.0	383
33934.0	384
1168.0	385
1171.0	386
1175.0	387
1176.0	388
1178.0	389
1179.0	390
66719.0	391
66733.0	392
33970.0	393
1204.0	394
66745.0	395
66746.0	396
33979.0	397
1215.0	398
33984.0	399
33987.0	400
33990.0	401
66759.0	402
66765.0	403
1240.0	404
66779.0	405
34012.0	406
66787.0	407
34023.0	408
1267.0	409
66804.0	410
66805.0	411
1271.0	412
66810.0	413
66812.0	414
1276.0	415
1277.0	416
34045.0	417
34047.0	418
1282.0	419
34050.0	420
66820.0	421
1287.0	422
66826.0	423
66836.0	424
66842.0	425
34080.0	426
66853.0	427
1318.0	428
1317.0	429
1327.0	430
1336.0	431
1337.0	432
34113.0	433
34117.0	434
1353.0	435
1354.0	436
1355.0	437
1357.0	438
34126.0	439
66896.0	440
34129.0	441
1364.0	442
34135.0	443
66905.0	444
34141.0	445
34144.0	446
66912.0	447
66914.0	448
1381.0	449
1383.0	450
34153.0	451
34159.0	452
66930.0	453
34163.0	454
34164.0	455
66933.0	456
1397.0	457
34168.0	458
34170.0	459
34171.0	460
34172.0	461
1404.0	462
1406.0	463
66941.0	464
66944.0	465
1413.0	466
66950.0	467
1420.0	468
66956.0	469
34192.0	470
1428.0	471
34196.0	472
1433.0	473
1434.0	474
66970.0	475
1438.0	476
34210.0	477
34212.0	478
34213.0	479
1447.0	480
66989.0	481
1455.0	482
1457.0	483
34226.0	484
34227.0	485
1459.0	486
34229.0	487
66999.0	488
34235.0	489
67003.0	490
1468.0	491
34237.0	492
1475.0	493
67018.0	494
1485.0	495
34255.0	496
1487.0	497
67025.0	498
34259.0	499
34260.0	500
34267.0	501
34277.0	502
67052.0	503
67054.0	504
34298.0	505
1531.0	506
34299.0	507
67068.0	508
67076.0	509
1540.0	510
67077.0	511
34311.0	512
34314.0	513
1549.0	514
1550.0	515
67089.0	516
1556.0	517
67093.0	518
67094.0	519
1562.0	520
67107.0	521
1571.0	522
34341.0	523
34343.0	524
1576.0	525
34346.0	526
34347.0	527
67120.0	528
34352.0	529
1587.0	530
34358.0	531
34362.0	532
1599.0	533
67135.0	534
1602.0	535
67140.0	536
1605.0	537
1609.0	538
34379.0	539
1619.0	540
34389.0	541
67160.0	542
1625.0	543
67161.0	544
67162.0	545
34404.0	546
1638.0	547
1645.0	548
67188.0	549
67194.0	550
1659.0	551
67195.0	552
67197.0	553
34426.0	554
34431.0	555
67205.0	556
1671.0	557
67210.0	558
34444.0	559
1676.0	560
1682.0	561
67225.0	562
34463.0	563
67235.0	564
67236.0	565
34485.0	566
67254.0	567
1717.0	568
34491.0	569
67260.0	570
67265.0	571
34497.0	572
1742.0	573
34511.0	574
1744.0	575
34520.0	576
1754.0	577
34522.0	578
67290.0	579
1755.0	580
67299.0	581
34534.0	582
67303.0	583
1770.0	584
34544.0	585
67330.0	586
34563.0	587
1799.0	588
67336.0	589
34571.0	590
67343.0	591
34580.0	592
67352.0	593
34586.0	594
1824.0	595
67360.0	596
67362.0	597
34595.0	598
1829.0	599
1833.0	600
1835.0	601
34603.0	602
67377.0	603
1849.0	604
67388.0	605
1852.0	606
1858.0	607
67400.0	608
1865.0	609
1866.0	610
1869.0	611
34644.0	612
1877.0	613
67418.0	614
34650.0	615
34654.0	616
34661.0	617
1897.0	618
1900.0	619
1901.0	620
34670.0	621
34671.0	622
34680.0	623
34689.0	624
34690.0	625
34693.0	626
1927.0	627
34698.0	628
67466.0	629
34700.0	630
1935.0	631
1936.0	632
34707.0	633
67475.0	634
34710.0	635
67480.0	636
67485.0	637
67486.0	638
67489.0	639
1959.0	640
34727.0	641
67497.0	642
67498.0	643
67503.0	644
67518.0	645
34755.0	646
67523.0	647
1990.0	648
1999.0	649
67546.0	650
34779.0	651
2010.0	652
2013.0	653
