gene_a	gene_b	label
85	208	1
85	9392	1
823	6368	1
1067	9714	1
1090	208	1
1876	3502	1
1876	2418	1
1876	10559	1
1876	8631	1
1876	9234	1
1876	1246	1
1876	5349	1
4101	5356	1
4101	5203	1
4101	6053	1
4101	5268	1
4101	394	1
4101	5352	1
4101	566	1
4101	3696	1
4101	9714	1
4101	4498	1
4101	2631	1
4101	4706	1
4101	2000	1
4101	4738	1
4409	5203	1
4409	566	1
4409	2817	1
4409	4706	1
4409	2631	1
4706	4706	1
5349	208	1
7114	4498	1
7114	208	1
7114	823	1
7114	3055	1
7356	2000	1
7356	566	1
7356	394	1
7897	5000	1
8039	2631	1
8039	152	1
8117	8838	1
8838	4706	1
9179	7009	1
9270	394	1
9270	9786	1
9270	3341	1
9270	4706	1
9270	5473	1
9270	9234	1
9270	2631	1
9270	6950	1
9270	2418	1
9270	3502	1
9270	8168	1
9270	4738	1
9270	4066	1
9270	10559	1
9270	3094	1
9270	5203	1
9270	7009	1
9270	2452	1
9270	2700	1
10094	5203	1
10520	208	1
10583	7404	1
10583	4066	1
10583	566	1
10650	9714	1
152	6955	1
152	6634	1
152	566	1
152	373	1
152	454	1
152	4066	1
3055	8346	1
3055	10559	1
3055	9234	1
3055	2452	1
3221	10559	1
3221	9234	1
3221	8346	1
3221	2452	1
3221	6950	1
3952	2631	1
3952	2452	1
5000	5352	1
5000	394	1
5000	2000	1
5000	4738	1
5000	5268	1
5000	566	1
5000	3696	1
5000	5203	1
5000	9714	1
5000	6053	1
7522	208	1
7796	208	1
8082	208	1
8082	4706	1
8142	4706	1
8588	8323	1
8588	208	1
9284	7009	1
105	208	1
223	5349	1
223	10559	1
223	8860	1
392	4900	1
1246	208	1
2631	2949	1
2631	8164	1
2631	7796	1
2631	6634	1
2631	7888	1
2631	7562	1
6053	7009	1
6421	208	1
6634	8082	1
6646	5268	1
6646	5356	1
6646	5352	1
6646	566	1
6646	4498	1
6646	2000	1
6646	5203	1
6646	2631	1
6646	4706	1
6646	394	1
6646	6053	1
6646	3696	1
6646	4738	1
6761	208	1
6950	2700	1
6950	454	1
7009	5203	1
7009	2452	1
7009	5352	1
7376	2631	1
8581	9179	1
8581	9801	1
8581	3736	1
8581	4738	1
8117	5268	0
8323	7562	0
2949	1090	0
6634	3055	0
9801	6634	0
105	9786	0
5203	8838	0
10559	6634	0
5203	8082	0
6053	9284	0
3952	10094	0
9284	2452	0
392	5356	0
6950	4498	0
3055	6950	0
152	7897	0
1067	7897	0
8581	7897	0
8142	8164	0
10559	1246	0
8039	373	0
7114	1067	0
3952	9714	0
8346	5473	0
152	5268	0
373	454	0
7562	8588	0
2418	10094	0
6421	5268	0
9179	8164	0
4066	10650	0
7897	5268	0
5473	2631	0
3502	1246	0
7376	4738	0
7376	8082	0
10559	9234	0
9270	8323	0
8631	85	0
9714	5268	0
1067	8581	0
5473	4900	0
6368	9270	0
2631	8581	0
9284	9234	0
9801	3055	0
9270	5268	0
9270	8323	0
566	5203	0
2000	8323	0
9179	392	0
3696	566	0
3736	9234	0
1067	823	0
1067	823	0
4706	6955	0
9270	8142	0
3502	5000	0
5000	8142	0
8860	373	0
4498	10650	0
208	8168	0
1090	3696	0
10520	7562	0
5352	9284	0
7888	392	0
7356	4101	0
5473	8142	0
8860	3502	0
7376	4900	0
9801	7522	0
5349	394	0
10650	4738	0
3952	8588	0
7009	3341	0
8631	2949	0
8164	5000	0
1090	8039	0
3952	7796	0
373	5000	0
7888	8588	0
5352	9234	0
9234	4498	0
8588	6053	0
85	6053	0
8581	8323	0
9786	8631	0
9284	3221	0
85	3221	0
8082	2700	0
7897	394	0
373	9284	0
5000	6955	0
3952	1067	0
8323	373	0
10094	7888	0
8588	5356	0
1067	8164	0
5356	7796	0
7114	4900	0
7009	7114	0
6950	7376	0
4738	1876	0
8168	373	0
5268	9284	0
566	9714	0
566	3736	0
7562	9801	0
3696	9179	0
8346	6646	0
10650	8323	0
6955	8631	0
1067	392	0
10650	5473	0
7897	2631	0
6950	5000	0
10094	6421	0
3221	6053	0
6421	9179	0
9801	8164	0
8323	2817	0
6955	8164	0
208	566	0
8168	8346	0
9234	454	0
8168	2817	0
7562	8117	0
10559	2817	0
3341	2631	0
8581	566	0
3341	4706	0
373	85	0
3736	5356	0
9234	4409	0
8581	7404	0
373	8860	0
7114	8581	0
7404	9179	0
7009	8838	0
152	5349	0
9284	9234	0
2700	85	0
2700	7009	0
3221	373	0
10559	392	0
