gene_a	gene_b	label
82	19035	1
475	19035	1
801	19035	1
1159	19035	1
1194	19035	1
1572	19035	1
2295	19035	1
2333	19035	1
3062	7427	1
3062	14839	1
3062	19218	1
3062	4750	1
3062	10832	1
3062	7765	1
3062	204	1
3062	12562	1
3062	10452	1
3062	5121	1
3062	1173	1
3062	9218	1
3062	16402	1
3062	10046	1
3062	3909	1
3062	4164	1
3062	9561	1
3062	14167	1
3062	17857	1
3062	760	1
3062	6557	1
3062	63	1
3062	11260	1
3062	19155	1
3062	10366	1
3062	11986	1
3062	17873	1
3062	18652	1
3062	5922	1
3062	16549	1
3062	6349	1
3062	13952	1
3062	15821	1
3062	19627	1
3062	2947	1
3062	15070	1
3062	13562	1
3062	2968	1
3062	8062	1
3062	14890	1
3062	1759	1
3062	12547	1
3062	11761	1
3062	6915	1
3062	2932	1
3062	16111	1
3062	11154	1
3062	4911	1
3062	18318	1
3062	13241	1
3062	15627	1
3062	6362	1
3062	12201	1
3062	7929	1
3062	19259	1
3062	16560	1
3062	10978	1
3062	1522	1
3062	14032	1
3062	17432	1
3062	15964	1
3062	14263	1
3062	12573	1
3062	7809	1
3062	15041	1
3062	817	1
3062	5282	1
3062	6197	1
3062	13733	1
3062	6246	1
3062	12726	1
3062	15264	1
3062	2783	1
3062	13188	1
3062	987	1
3062	12078	1
3062	538	1
3062	9252	1
3062	14354	1
3062	4771	1
3062	4384	1
3062	5222	1
3062	10306	1
3062	880	1
3062	19556	1
3062	4093	1
3062	19937	1
3062	6332	1
3062	5741	1
3062	8509	1
3062	17651	1
3062	11265	1
3062	10307	1
3062	12121	1
3062	13795	1
3062	6511	1
3062	3211	1
3062	3990	1
3062	5902	1
3062	13529	1
3062	826	1
3062	6719	1
3062	1149	1
3062	8764	1
3062	12298	1
3062	9512	1
3062	3058	1
3062	8257	1
3062	12949	1
3062	17709	1
3062	12732	1
3062	10846	1
3062	62	1
3062	8424	1
3062	18795	1
3062	15599	1
3062	9789	1
3062	6296	1
3062	155	1
3062	8477	1
3062	16921	1
3062	5855	1
3062	11335	1
3062	18008	1
3062	11132	1
3062	6093	1
3062	15056	1
3062	5181	1
3062	14965	1
3062	10340	1
3062	14580	1
3062	426	1
3062	19455	1
3062	8304	1
3062	1988	1
3062	18872	1
3062	20001	1
3062	9609	1
3062	1841	1
3062	3486	1
3062	11990	1
3062	15140	1
3062	16036	1
3062	4170	1
3062	19706	1
3062	9672	1
3062	8126	1
3062	16127	1
3062	1536	1
3062	14531	1
3062	15088	1
3062	646	1
3062	15737	1
3062	1734	1
3062	6164	1
3062	15092	1
3062	11024	1
3062	16701	1
3062	7156	1
3062	15286	1
3062	14358	1
3062	1028	1
3062	19239	1
3062	12618	1
3062	10882	1
3062	18869	1
3062	14196	1
3062	18567	1
3062	12108	1
3062	3608	1
3062	6294	1
3062	19851	1
3062	7758	1
3062	7477	1
3062	7352	1
3062	10337	1
3062	6260	1
3062	14394	1
3062	3164	1
3062	11536	1
3062	11694	1
3062	18549	1
3062	17411	1
3062	18309	1
3062	4774	1
3062	1660	1
3062	6249	1
3062	15466	1
3062	10601	1
3062	12639	1
3062	19700	1
3062	6892	1
3062	16243	1
3062	13255	1
3062	4076	1
3062	16392	1
3062	13640	1
3062	7892	1
3062	2435	1
3062	1104	1
3062	1352	1
3062	9564	1
3062	1914	1
3062	626	1
3062	5040	1
3062	16318	1
3062	11383	1
3062	7554	1
3062	6733	1
3062	3524	1
3062	4363	1
3062	7174	1
3062	2803	1
3062	3692	1
3062	7410	1
3062	17462	1
3062	556	1
3062	13561	1
3062	3965	1
3062	8369	1
3062	13316	1
3062	10922	1
3062	7000	1
3062	18094	1
3062	16117	1
3062	11131	1
3062	16707	1
3062	8860	1
3062	4032	1
3062	465	1
3062	8402	1
3062	9344	1
3062	15817	1
3062	2132	1
3062	19137	1
3062	15017	1
3062	15814	1
3062	6138	1
3062	4357	1
3062	13777	1
3062	10913	1
3062	2687	1
3062	9038	1
3062	4887	1
3062	1270	1
3062	17441	1
3062	9656	1
3062	16179	1
3062	1702	1
3062	2845	1
3062	10363	1
3062	4666	1
3062	14278	1
3062	15164	1
3062	1554	1
3062	1071	1
3062	18542	1
3062	9552	1
3062	17958	1
3062	8198	1
3062	26	1
3062	14926	1
3062	20013	1
3062	17426	1
3062	18081	1
3062	4763	1
3062	7941	1
3062	17700	1
3062	1872	1
3062	12702	1
3062	12021	1
3062	2038	1
3062	16078	1
3062	18902	1
3062	14623	1
3062	10664	1
3062	2799	1
3062	14706	1
3062	7112	1
3062	581	1
3062	15611	1
3062	4271	1
3062	10076	1
3062	6568	1
3062	13631	1
3062	2507	1
3062	5668	1
3062	12886	1
3062	16027	1
3062	18967	1
3062	7576	1
3062	67	1
3062	8290	1
3062	8351	1
3062	3579	1
3062	14556	1
3062	16278	1
3062	2625	1
3062	17931	1
3062	12044	1
3062	18767	1
3062	18941	1
3062	1832	1
3062	13408	1
3062	15697	1
3062	1447	1
3062	8787	1
3062	1472	1
3062	14215	1
3062	5619	1
3062	7451	1
3062	18921	1
3062	7562	1
3062	19629	1
3062	4392	1
3062	7916	1
3062	17390	1
3062	9388	1
3062	8132	1
3062	2438	1
3062	18279	1
3062	9696	1
3062	4805	1
3062	9811	1
3062	4768	1
3062	14183	1
3062	3086	1
3062	15060	1
3062	19242	1
3062	10876	1
3062	8414	1
3062	1784	1
3062	19948	1
3062	8303	1
3062	5882	1
3062	3644	1
3062	8000	1
3062	4445	1
3062	15227	1
3062	16747	1
3062	937	1
3062	2412	1
3062	3992	1
3062	10497	1
3062	15864	1
3062	3223	1
3062	8716	1
3062	7476	1
3062	3059	1
3062	10005	1
3062	10047	1
3062	9520	1
3062	1232	1
3062	15101	1
3062	7678	1
3062	18379	1
3062	376	1
3062	19172	1
3062	11001	1
3062	622	1
3062	15246	1
3062	17966	1
3062	6453	1
3062	13375	1
3062	18499	1
3062	2793	1
3062	15247	1
3062	11245	1
3062	16261	1
3062	18453	1
3062	8183	1
3062	15596	1
3062	19550	1
3062	7005	1
3062	7250	1
3062	16683	1
3062	12610	1
3062	7613	1
3062	5290	1
3062	8674	1
