a	b
16384.0	0
32773.0	1
49159.0	2
81927.0	3
49164.0	4
81933.0	5
32786.0	6
32791.0	7
16407.0	8
49178.0	9
32796.0	10
81949.0	11
81950.0	12
16417.0	13
34.0	14
35.0	15
32803.0	16
65570.0	17
65573.0	18
49187.0	19
16421.0	20
16422.0	21
81962.0	22
16426.0	23
32812.0	24
32813.0	25
16429.0	26
81966.0	27
65584.0	28
49199.0	29
16437.0	30
32822.0	31
65594.0	32
66.0	33
32834.0	34
81988.0	35
32842.0	36
49226.0	37
81999.0	38
65620.0	39
86.0	40
16477.0	41
65631.0	42
49247.0	43
49251.0	44
49252.0	45
82022.0	46
65639.0	47
104.0	48
65643.0	49
107.0	50
16495.0	51
82031.0	52
32881.0	53
65650.0	54
16500.0	55
117.0	56
65654.0	57
82040.0	58
16505.0	59
32890.0	60
16507.0	61
65666.0	62
65669.0	63
32905.0	64
49289.0	65
32907.0	66
140.0	67
49296.0	68
16529.0	69
65683.0	70
32917.0	71
16533.0	72
49302.0	73
49304.0	74
49305.0	75
16540.0	76
49309.0	77
32927.0	78
16547.0	79
16556.0	80
32940.0	81
65708.0	82
82095.0	83
32944.0	84
49330.0	85
65718.0	86
187.0	87
82108.0	88
82110.0	89
49343.0	90
16575.0	91
82113.0	92
16580.0	93
49349.0	94
65737.0	95
82124.0	96
32974.0	97
82129.0	98
65747.0	99
32980.0	100
82133.0	101
214.0	102
49366.0	103
65753.0	104
82139.0	105
16604.0	106
49373.0	107
16606.0	108
32999.0	109
65768.0	110
82153.0	111
233.0	112
234.0	113
82151.0	114
49390.0	115
238.0	116
82162.0	117
33011.0	118
248.0	119
16634.0	120
252.0	121
33023.0	122
82175.0	123
255.0	124
33025.0	125
65795.0	126
16640.0	127
16642.0	128
33032.0	129
82185.0	130
33039.0	131
49424.0	132
65813.0	133
33047.0	134
16664.0	135
33049.0	136
33050.0	137
49434.0	138
16666.0	139
49436.0	140
82206.0	141
49438.0	142
65834.0	143
49452.0	144
301.0	145
49453.0	146
16685.0	147
65842.0	148
49468.0	149
82241.0	150
65860.0	151
65861.0	152
16712.0	153
33097.0	154
16716.0	155
333.0	156
49485.0	157
49487.0	158
65873.0	159
65874.0	160
33107.0	161
49491.0	162
82262.0	163
49495.0	164
65881.0	165
82268.0	166
16733.0	167
65886.0	168
65887.0	169
354.0	170
49508.0	171
16742.0	172
82279.0	173
361.0	174
16745.0	175
49514.0	176
375.0	177
33148.0	178
82301.0	179
16774.0	180
16775.0	181
82312.0	182
82313.0	183
16779.0	184
49548.0	185
49551.0	186
405.0	187
82326.0	188
65943.0	189
33178.0	190
410.0	191
82335.0	192
422.0	193
49580.0	194
16812.0	195
33204.0	196
16820.0	197
33208.0	198
443.0	199
444.0	200
82366.0	201
16835.0	202
82372.0	203
33221.0	204
82374.0	205
456.0	206
82384.0	207
33233.0	208
49616.0	209
16848.0	210
82392.0	211
66011.0	212
49630.0	213
82401.0	214
82402.0	215
82408.0	216
33264.0	217
501.0	218
16885.0	219
16889.0	220
16890.0	221
515.0	222
33287.0	223
66058.0	224
33292.0	225
16911.0	226
16913.0	227
82450.0	228
82454.0	229
537.0	230
82460.0	231
33311.0	232
546.0	233
16934.0	234
16935.0	235
16936.0	236
49705.0	237
33325.0	238
558.0	239
66094.0	240
66096.0	241
82477.0	242
66098.0	243
33331.0	244
566.0	245
16951.0	246
66104.0	247
82488.0	248
16953.0	249
66115.0	250
66116.0	251
33347.0	252
82506.0	253
33358.0	254
591.0	255
33360.0	256
593.0	257
82520.0	258
602.0	259
16988.0	260
604.0	261
33380.0	262
49764.0	263
82532.0	264
615.0	265
66152.0	266
49769.0	267
49770.0	268
66155.0	269
66161.0	270
33395.0	271
33396.0	272
632.0	273
66170.0	274
636.0	275
49789.0	276
66174.0	277
66175.0	278
640.0	279
66177.0	280
49790.0	281
49794.0	282
33412.0	283
66183.0	284
33415.0	285
17034.0	286
651.0	287
82572.0	288
17035.0	289
33423.0	290
17039.0	291
49808.0	292
82577.0	293
660.0	294
661.0	295
49813.0	296
666.0	297
17050.0	298
17054.0	299
66207.0	300
672.0	301
33441.0	302
17061.0	303
33448.0	304
33449.0	305
66217.0	306
17065.0	307
