gene_a	gene_b	label
384	7104	1
1594	536	1
1594	4138	1
1594	1909	1
7525	217	1
453	217	1
1152	278	1
2620	7136	1
2620	2779	1
2620	4344	1
2620	3903	1
2620	6506	1
2822	5079	1
3288	7104	1
4737	384	1
4737	3910	1
4737	7136	1
7088	3557	1
7136	1711	1
7136	2003	1
7136	6714	1
7136	1152	1
217	5079	1
217	3557	1
380	2032	1
380	7088	1
380	348	1
380	506	1
380	151	1
380	2620	1
380	6714	1
380	4285	1
380	4479	1
623	6714	1
4285	7104	1
6414	4737	1
6414	7136	1
6414	217	1
6414	5079	1
7104	1711	1
3151	3557	1
151	7104	1
1812	7104	1
3703	4138	1
3703	2779	1
3703	2003	1
3703	7088	1
3703	3910	1
3703	4479	1
556	3910	1
556	3557	1
1227	3557	1
1873	278	1
2003	151	1
2003	3151	1
2012	7104	1
2012	5079	1
2077	3288	1
3910	3151	1
3910	2003	1
1909	556	0
7088	1227	0
380	2822	0
453	7104	0
1152	2012	0
4344	3910	0
7525	556	0
278	2077	0
3703	348	0
3903	7104	0
4285	1227	0
2032	1812	0
3151	7136	0
4344	1812	0
4737	7525	0
4344	7104	0
623	3910	0
1594	3288	0
278	1812	0
4737	1711	0
1812	6714	0
6414	7088	0
506	1873	0
2012	278	0
384	6414	0
536	623	0
1594	6506	0
1594	1227	0
6414	1873	0
3288	7136	0
4138	536	0
1152	556	0
1909	3910	0
453	2003	0
556	3288	0
2032	278	0
3910	1152	0
4285	1812	0
3703	384	0
4737	2032	0
3903	7104	0
6506	3910	0
3151	1152	0
1812	556	0
4285	7136	0
7088	217	0
151	1812	0
2077	4479	0
2779	1594	0
1909	2003	0
3703	1909	0
2012	2822	0
380	7136	0
3903	5079	0
4344	1812	0
4344	2779	0
1227	3703	0
151	3910	0
4344	3910	0
384	2620	0
