a	b
65539.0	0
32773.0	1
6.0	2
65547.0	3
11.0	4
65554.0	5
32786.0	6
32791.0	7
65561.0	8
32796.0	9
30.0	10
34.0	11
32803.0	12
36.0	13
35.0	14
65570.0	15
65573.0	16
65579.0	17
32812.0	18
32813.0	19
65584.0	20
32822.0	21
32825.0	22
65594.0	23
66.0	24
32834.0	25
32837.0	26
65608.0	27
32842.0	28
78.0	29
80.0	30
81.0	31
86.0	32
87.0	33
32854.0	34
32858.0	35
65631.0	36
65639.0	37
104.0	38
107.0	39
110.0	40
32881.0	41
115.0	42
117.0	43
32886.0	44
122.0	45
32890.0	46
65666.0	47
65669.0	48
32905.0	49
65676.0	50
140.0	51
65678.0	52
143.0	53
65683.0	54
32917.0	55
32919.0	56
32920.0	57
65693.0	58
32927.0	59
32935.0	60
32938.0	61
32940.0	62
65708.0	63
32944.0	64
65718.0	65
187.0	66
32959.0	67
65731.0	68
65737.0	69
32975.0	70
65747.0	71
32980.0	72
32983.0	73
65753.0	74
65754.0	75
32987.0	76
226.0	77
65767.0	78
32999.0	79
234.0	80
33002.0	81
238.0	82
33011.0	83
245.0	84
248.0	85
65787.0	86
252.0	87
33023.0	88
33025.0	89
65795.0	90
65799.0	91
65801.0	92
265.0	93
268.0	94
33039.0	95
275.0	96
33047.0	97
280.0	98
279.0	99
33050.0	100
33051.0	101
33049.0	102
65816.0	103
65833.0	104
65834.0	105
65837.0	106
65842.0	107
65859.0	108
324.0	109
65861.0	110
33097.0	111
333.0	112
65873.0	113
338.0	114
33107.0	115
65874.0	116
33112.0	117
65881.0	118
65886.0	119
65887.0	120
354.0	121
65892.0	122
361.0	123
33136.0	124
33137.0	125
375.0	126
65913.0	127
65915.0	128
33148.0	129
33153.0	130
33157.0	131
404.0	132
405.0	133
65943.0	134
33178.0	135
410.0	136
65957.0	137
422.0	138
65960.0	139
33204.0	140
33208.0	141
443.0	142
444.0	143
448.0	144
451.0	145
33221.0	146
454.0	147
33223.0	148
456.0	149
461.0	150
33233.0	151
466.0	152
33238.0	153
33239.0	154
473.0	155
33249.0	156
489.0	157
66031.0	158
33266.0	159
33271.0	160
66044.0	161
514.0	162
515.0	163
33287.0	164
66058.0	165
525.0	166
530.0	167
33304.0	168
537.0	169
33308.0	170
66079.0	171
33313.0	172
33314.0	173
546.0	174
33316.0	175
33325.0	176
558.0	177
66095.0	178
66096.0	179
66094.0	180
66098.0	181
33331.0	182
66101.0	183
566.0	184
66104.0	185
66112.0	186
66115.0	187
66116.0	188
33347.0	189
33349.0	190
66125.0	191
33358.0	192
591.0	193
33360.0	194
593.0	195
66133.0	196
602.0	197
604.0	198
66143.0	199
33380.0	200
66150.0	201
615.0	202
66152.0	203
66155.0	204
66158.0	205
66159.0	206
66161.0	207
626.0	208
627.0	209
33395.0	210
66165.0	211
632.0	212
66170.0	213
33402.0	214
66174.0	215
639.0	216
640.0	217
66177.0	218
33414.0	219
66183.0	220
33415.0	221
66187.0	222
33423.0	223
66193.0	224
660.0	225
66197.0	226
666.0	227
66207.0	228
672.0	229
33441.0	230
33442.0	231
33446.0	232
33447.0	233
66216.0	234
66217.0	235
33448.0	236
66224.0	237
33457.0	238
33466.0	239
33471.0	240
704.0	241
33473.0	242
33474.0	243
66246.0	244
33478.0	245
66251.0	246
66258.0	247
33492.0	248
728.0	249
66265.0	250
66272.0	251
33506.0	252
740.0	253
33510.0	254
743.0	255
33512.0	256
745.0	257
746.0	258
748.0	259
33522.0	260
755.0	261
66290.0	262
66293.0	263
756.0	264
66296.0	265
33529.0	266
33530.0	267
33531.0	268
763.0	269
765.0	270
766.0	271
66304.0	272
66310.0	273
776.0	274
33550.0	275
788.0	276
66325.0	277
66328.0	278
33564.0	279
798.0	280
804.0	281
816.0	282
66353.0	283
819.0	284
33590.0	285
823.0	286
33592.0	287
825.0	288
66365.0	289
834.0	290
66372.0	291
66376.0	292
66378.0	293
33621.0	294
33623.0	295
859.0	296
33628.0	297
66400.0	298
867.0	299
871.0	300
879.0	301
880.0	302
883.0	303
66420.0	304
66419.0	305
892.0	306
66431.0	307
901.0	308
903.0	309
905.0	310
33676.0	311
911.0	312
33680.0	313
913.0	314
918.0	315
919.0	316
66457.0	317
922.0	318
33692.0	319
925.0	320
33694.0	321
924.0	322
934.0	323
66471.0	324
33703.0	325
938.0	326
33707.0	327
33708.0	328
944.0	329
33715.0	330
66486.0	331
66487.0	332
952.0	333
33722.0	334
33726.0	335
66495.0	336
960.0	337
66500.0	338
966.0	339
66504.0	340
969.0	341
33741.0	342
974.0	343
981.0	344
66518.0	345
33756.0	346
990.0	347
33760.0	348
995.0	349
33772.0	350
1021.0	351
33789.0	352
66562.0	353
66565.0	354
33807.0	355
1042.0	356
33810.0	357
66579.0	358
33821.0	359
1059.0	360
66596.0	361
1061.0	362
66602.0	363
66605.0	364
66606.0	365
66609.0	366
1074.0	367
33845.0	368
66615.0	369
66621.0	370
66624.0	371
33857.0	372
66629.0	373
33862.0	374
66632.0	375
33869.0	376
33872.0	377
1106.0	378
66643.0	379
1109.0	380
33880.0	381
66650.0	382
33884.0	383
33885.0	384
66654.0	385
66655.0	386
66658.0	387
1122.0	388
1124.0	389
33893.0	390
33895.0	391
1127.0	392
1133.0	393
66671.0	394
66673.0	395
66678.0	396
66680.0	397
66681.0	398
1145.0	399
66683.0	400
1153.0	401
1157.0	402
33926.0	403
1162.0	404
1163.0	405
1164.0	406
1165.0	407
66702.0	408
1166.0	409
33934.0	410
1168.0	411
1171.0	412
66709.0	413
1175.0	414
1176.0	415
1178.0	416
1179.0	417
66716.0	418
66719.0	419
66745.0	420
66746.0	421
33979.0	422
66747.0	423
1215.0	424
33984.0	425
66754.0	426
33987.0	427
33990.0	428
66759.0	429
1224.0	430
66760.0	431
66765.0	432
66779.0	433
34012.0	434
1245.0	435
34017.0	436
66787.0	437
34023.0	438
34027.0	439
1260.0	440
66797.0	441
34032.0	442
34035.0	443
1267.0	444
66804.0	445
1268.0	446
66810.0	447
34043.0	448
1276.0	449
1277.0	450
34045.0	451
34047.0	452
1282.0	453
34050.0	454
66820.0	455
66822.0	456
1287.0	457
66826.0	458
66836.0	459
66842.0	460
1317.0	461
66853.0	462
66862.0	463
1327.0	464
34097.0	465
1334.0	466
1336.0	467
1337.0	468
34113.0	469
34114.0	470
34117.0	471
1352.0	472
1353.0	473
1354.0	474
1355.0	475
1357.0	476
34126.0	477
66896.0	478
34129.0	479
1364.0	480
34135.0	481
66905.0	482
1369.0	483
34139.0	484
1374.0	485
34144.0	486
66912.0	487
66914.0	488
1381.0	489
34153.0	490
66924.0	491
34159.0	492
66930.0	493
66933.0	494
1397.0	495
34168.0	496
34169.0	497
34170.0	498
1400.0	499
1404.0	500
34171.0	501
1406.0	502
66942.0	503
66944.0	504
34172.0	505
66941.0	506
1413.0	507
1416.0	508
66953.0	509
66952.0	510
66956.0	511
1420.0	512
34192.0	513
66961.0	514
1428.0	515
66965.0	516
1433.0	517
1434.0	518
34203.0	519
1435.0	520
66970.0	521
1438.0	522
34212.0	523
34213.0	524
66982.0	525
1447.0	526
34216.0	527
66989.0	528
1455.0	529
1457.0	530
34227.0	531
1459.0	532
34229.0	533
66999.0	534
34235.0	535
67003.0	536
1468.0	537
34237.0	538
67010.0	539
1475.0	540
67018.0	541
1483.0	542
67021.0	543
1485.0	544
34255.0	545
1487.0	546
67025.0	547
34259.0	548
34260.0	549
1494.0	550
34267.0	551
34273.0	552
1507.0	553
34277.0	554
34278.0	555
1510.0	556
1515.0	557
67052.0	558
67054.0	559
1521.0	560
67065.0	561
34298.0	562
1531.0	563
34299.0	564
67068.0	565
1539.0	566
67076.0	567
1540.0	568
67077.0	569
34311.0	570
34314.0	571
1549.0	572
67089.0	573
1556.0	574
1568.0	575
67107.0	576
1571.0	577
34341.0	578
34343.0	579
1576.0	580
34346.0	581
34347.0	582
1582.0	583
67120.0	584
1587.0	585
34358.0	586
34362.0	587
67135.0	588
1602.0	589
67139.0	590
67140.0	591
1605.0	592
1606.0	593
1609.0	594
67146.0	595
34379.0	596
1615.0	597
34389.0	598
1623.0	599
67160.0	600
1625.0	601
34393.0	602
67161.0	603
34398.0	604
34399.0	605
1632.0	606
34403.0	607
67172.0	608
34404.0	609
1645.0	610
67188.0	611
67194.0	612
1659.0	613
67195.0	614
67197.0	615
34429.0	616
67205.0	617
1671.0	618
67210.0	619
34444.0	620
1681.0	621
34452.0	622
67225.0	623
1690.0	624
67229.0	625
34463.0	626
67235.0	627
67236.0	628
34473.0	629
34480.0	630
1717.0	631
34491.0	632
34492.0	633
67260.0	634
67265.0	635
34497.0	636
34499.0	637
34511.0	638
34520.0	639
34522.0	640
67291.0	641
67290.0	642
1755.0	643
67299.0	644
34534.0	645
67306.0	646
1770.0	647
34544.0	648
1777.0	649
34547.0	650
34556.0	651
67329.0	652
67330.0	653
