gene_a	gene_b	label
109	11567	1
109	4255	1
109	6973	1
542	10985	1
542	9492	1
542	4078	1
542	8493	1
542	11488	1
542	2288	1
593	4255	1
747	12090	1
747	9209	1
747	8924	1
747	3718	1
747	7974	1
747	2163	1
747	3771	1
747	4384	1
747	4224	1
747	8664	1
747	7923	1
747	1807	1
747	7631	1
747	8529	1
747	12672	1
747	2614	1
747	9778	1
747	542	1
809	4255	1
848	8564	1
848	6887	1
848	1261	1
848	4051	1
848	2525	1
848	2288	1
932	10425	1
1011	6059	1
1111	4255	1
1236	8748	1
1261	6713	1
1261	8567	1
1261	7566	1
1261	9778	1
1261	9040	1
1261	4332	1
1261	6059	1
1348	1635	1
1348	3722	1
1348	9158	1
1348	5097	1
1348	11267	1
1348	12272	1
1348	9627	1
1543	980	1
1635	10489	1
1635	11141	1
1635	9040	1
1833	8493	1
1833	2928	1
1971	11567	1
2150	9778	1
2525	980	1
2525	11141	1
2525	3771	1
2525	9778	1
2616	9062	1
2616	10533	1
2616	3718	1
2616	2288	1
2616	10425	1
2616	7566	1
2616	9627	1
2795	4255	1
2827	4255	1
2928	10178	1
2928	7631	1
3065	5097	1
3065	4676	1
3065	542	1
3065	5795	1
3065	9158	1
3065	6592	1
3211	4255	1
3563	6691	1
3563	11267	1
3722	12672	1
3722	5396	1
3722	6678	1
3722	4078	1
3843	9778	1
3843	2052	1
3843	1807	1
4224	9492	1
4224	2450	1
4224	2305	1
4224	1444	1
4224	5592	1
4224	1872	1
4224	11754	1
4255	10128	1
4282	4255	1
4297	7631	1
4297	6059	1
4297	2928	1
4297	1011	1
4297	10222	1
4297	6713	1
4297	11488	1
4297	8748	1
4583	4255	1
4878	9075	1
4878	5316	1
4878	9778	1
4878	11488	1
4878	932	1
4878	1807	1
4878	3538	1
4975	11095	1
4975	2052	1
5049	7712	1
5049	542	1
5049	4961	1
5097	6592	1
5097	7631	1
5344	10595	1
5396	8493	1
5531	4255	1
5663	7410	1
5663	6234	1
