a	b
65539.0	0
32773.0	1
6.0	2
11.0	3
65547.0	4
65554.0	5
32786.0	6
32791.0	7
32796.0	8
30.0	9
65569.0	10
34.0	11
32803.0	12
35.0	13
65570.0	14
65573.0	15
40.0	16
32811.0	17
44.0	18
65579.0	19
32813.0	20
65584.0	21
32822.0	22
32825.0	23
65594.0	24
66.0	25
32834.0	26
65608.0	27
32842.0	28
32844.0	29
78.0	30
81.0	31
65620.0	32
65621.0	33
86.0	34
87.0	35
65631.0	36
32869.0	37
65639.0	38
104.0	39
32875.0	40
65643.0	41
107.0	42
110.0	43
65647.0	44
32881.0	45
65650.0	46
32884.0	47
117.0	48
65654.0	49
32890.0	50
122.0	51
65666.0	52
132.0	53
65669.0	54
134.0	55
32902.0	56
32905.0	57
32907.0	58
140.0	59
147.0	60
65683.0	61
32917.0	62
65688.0	63
65693.0	64
32927.0	65
32935.0	66
168.0	67
65705.0	68
32940.0	69
65709.0	70
65708.0	71
32944.0	72
65718.0	73
183.0	74
185.0	75
187.0	76
32956.0	77
32959.0	78
32960.0	79
65735.0	80
65737.0	81
65741.0	82
32974.0	83
32975.0	84
65743.0	85
32977.0	86
65747.0	87
32980.0	88
214.0	89
32983.0	90
65753.0	91
218.0	92
32987.0	93
65754.0	94
223.0	95
226.0	96
32994.0	97
231.0	98
65767.0	99
233.0	100
234.0	101
65768.0	102
32999.0	103
33001.0	104
238.0	105
33008.0	106
33011.0	107
245.0	108
248.0	109
252.0	110
254.0	111
33023.0	112
255.0	113
65793.0	114
33025.0	115
65795.0	116
65799.0	117
33032.0	118
65803.0	119
268.0	120
33039.0	121
275.0	122
65813.0	123
279.0	124
33047.0	125
33049.0	126
33050.0	127
33051.0	128
65816.0	129
290.0	130
33062.0	131
65833.0	132
298.0	133
65834.0	134
301.0	135
65837.0	136
65842.0	137
65860.0	138
65861.0	139
65865.0	140
33097.0	141
33098.0	142
333.0	143
65873.0	144
338.0	145
33107.0	146
65874.0	147
65881.0	148
349.0	149
65886.0	150
65887.0	151
354.0	152
361.0	153
33136.0	154
65908.0	155
373.0	156
375.0	157
65913.0	158
65915.0	159
33148.0	160
33150.0	161
33157.0	162
401.0	163
404.0	164
405.0	165
406.0	166
65943.0	167
33178.0	168
410.0	169
416.0	170
422.0	171
33204.0	172
33208.0	173
443.0	174
444.0	175
448.0	176
451.0	177
33221.0	178
454.0	179
33223.0	180
456.0	181
33222.0	182
33228.0	183
466.0	184
33237.0	185
33238.0	186
473.0	187
33249.0	188
489.0	189
33258.0	190
66028.0	191
493.0	192
33264.0	193
66033.0	194
501.0	195
502.0	196
33269.0	197
33271.0	198
33274.0	199
66044.0	200
514.0	201
515.0	202
33283.0	203
33287.0	204
521.0	205
522.0	206
66058.0	207
33292.0	208
66059.0	209
525.0	210
66062.0	211
526.0	212
66057.0	213
530.0	214
531.0	215
537.0	216
66079.0	217
33311.0	218
66081.0	219
33314.0	220
33313.0	221
33316.0	222
33317.0	223
550.0	224
556.0	225
33325.0	226
558.0	227
66094.0	228
66096.0	229
66098.0	230
33331.0	231
66101.0	232
566.0	233
66104.0	234
574.0	235
66112.0	236
66115.0	237
66116.0	238
33347.0	239
584.0	240
33358.0	241
591.0	242
33360.0	243
593.0	244
33362.0	245
590.0	246
66133.0	247
604.0	248
33380.0	249
66150.0	250
615.0	251
66153.0	252
66155.0	253
66158.0	254
623.0	255
66161.0	256
626.0	257
627.0	258
33396.0	259
66165.0	260
33397.0	261
66167.0	262
632.0	263
33395.0	264
66170.0	265
635.0	266
66171.0	267
66173.0	268
66174.0	269
66175.0	270
639.0	271
66177.0	272
640.0	273
33411.0	274
636.0	275
33412.0	276
33414.0	277
66183.0	278
33415.0	279
66187.0	280
33421.0	281
33423.0	282
33425.0	283
66193.0	284
33427.0	285
660.0	286
661.0	287
66201.0	288
66202.0	289
666.0	290
66205.0	291
66207.0	292
672.0	293
33441.0	294
66216.0	295
33449.0	296
682.0	297
66217.0	298
33448.0	299
66224.0	300
33457.0	301
694.0	302
66231.0	303
33466.0	304
702.0	305
33471.0	306
704.0	307
33473.0	308
33474.0	309
707.0	310
66243.0	311
33478.0	312
712.0	313
66258.0	314
728.0	315
66265.0	316
66267.0	317
66272.0	318
33506.0	319
66275.0	320
33510.0	321
743.0	322
33512.0	323
746.0	324
748.0	325
751.0	326
66289.0	327
754.0	328
755.0	329
33522.0	330
66290.0	331
756.0	332
66293.0	333
33523.0	334
33529.0	335
762.0	336
33530.0	337
66296.0	338
765.0	339
33531.0	340
66303.0	341
66304.0	342
33537.0	343
766.0	344
763.0	345
66308.0	346
776.0	347
66315.0	348
779.0	349
33555.0	350
788.0	351
66325.0	352
787.0	353
66328.0	354
798.0	355
66338.0	356
804.0	357
66341.0	358
816.0	359
66353.0	360
819.0	361
33588.0	362
33590.0	363
33592.0	364
825.0	365
33598.0	366
834.0	367
66372.0	368
33607.0	369
66375.0	370
33608.0	371
33609.0	372
66378.0	373
33611.0	374
843.0	375
844.0	376
851.0	377
33623.0	378
859.0	379
33631.0	380
66400.0	381
867.0	382
871.0	383
33642.0	384
879.0	385
66419.0	386
891.0	387
892.0	388
66431.0	389
898.0	390
901.0	391
905.0	392
906.0	393
33676.0	394
911.0	395
913.0	396
918.0	397
919.0	398
66457.0	399
922.0	400
33692.0	401
33694.0	402
930.0	403
934.0	404
66471.0	405
33703.0	406
938.0	407
33707.0	408
33708.0	409
944.0	410
33715.0	411
66485.0	412
66486.0	413
66487.0	414
952.0	415
33722.0	416
33726.0	417
66495.0	418
33727.0	419
960.0	420
66500.0	421
966.0	422
66502.0	423
66504.0	424
969.0	425
66509.0	426
974.0	427
981.0	428
66518.0	429
66520.0	430
33760.0	431
995.0	432
66536.0	433
66537.0	434
33770.0	435
33772.0	436
66545.0	437
1015.0	438
1021.0	439
33789.0	440
66562.0	441
33807.0	442
66576.0	443
1041.0	444
1042.0	445
66579.0	446
33812.0	447
33816.0	448
66586.0	449
33821.0	450
33825.0	451
66595.0	452
66596.0	453
1059.0	454
66602.0	455
1074.0	456
33843.0	457
33845.0	458
66615.0	459
66621.0	460
66624.0	461
66629.0	462
1094.0	463
33862.0	464
66632.0	465
1099.0	466
33869.0	467
66638.0	468
33870.0	469
33872.0	470
1106.0	471
66643.0	472
33880.0	473
66650.0	474
1115.0	475
1116.0	476
33885.0	477
66654.0	478
33884.0	479
1122.0	480
66658.0	481
1124.0	482
33893.0	483
1127.0	484
1133.0	485
66671.0	486
66672.0	487
1137.0	488
66678.0	489
66681.0	490
1145.0	491
66683.0	492
33917.0	493
66688.0	494
1153.0	495
1157.0	496
33926.0	497
1162.0	498
1163.0	499
1164.0	500
66700.0	501
66702.0	502
33934.0	503
1165.0	504
1168.0	505
1171.0	506
1175.0	507
1176.0	508
1178.0	509
1179.0	510
1181.0	511
66719.0	512
66725.0	513
66728.0	514
66733.0	515
33970.0	516
1204.0	517
66745.0	518
66746.0	519
33979.0	520
1215.0	521
33984.0	522
66754.0	523
1218.0	524
33987.0	525
66756.0	526
33990.0	527
66759.0	528
1224.0	529
66760.0	530
1226.0	531
66764.0	532
66765.0	533
66770.0	534
66772.0	535
1240.0	536
66779.0	537
34012.0	538
34017.0	539
66787.0	540
1254.0	541
34023.0	542
66792.0	543
1257.0	544
66795.0	545
1260.0	546
66797.0	547
34032.0	548
1267.0	549
34035.0	550
66805.0	551
34038.0	552
1271.0	553
66804.0	554
1268.0	555
66810.0	556
34044.0	557
1277.0	558
34045.0	559
34047.0	560
66812.0	561
34050.0	562
1282.0	563
66820.0	564
1283.0	565
1287.0	566
66826.0	567
1295.0	568
34067.0	569
66836.0	570
66842.0	571
1307.0	572
34080.0	573
1317.0	574
1318.0	575
66853.0	576
1320.0	577
1321.0	578
1327.0	579
34097.0	580
1334.0	581
34103.0	582
1336.0	583
1337.0	584
34106.0	585
34113.0	586
34117.0	587
1352.0	588
1353.0	589
1354.0	590
1355.0	591
1357.0	592
34126.0	593
66896.0	594
34129.0	595
1364.0	596
34134.0	597
34135.0	598
66905.0	599
34139.0	600
34140.0	601
34141.0	602
34144.0	603
66912.0	604
66914.0	605
66916.0	606
1381.0	607
1383.0	608
34151.0	609
34153.0	610
1386.0	611
66924.0	612
34159.0	613
34160.0	614
1393.0	615
66930.0	616
34163.0	617
66933.0	618
1397.0	619
34170.0	620
34171.0	621
34172.0	622
1404.0	623
1406.0	624
66941.0	625
66944.0	626
66946.0	627
1413.0	628
1416.0	629
66956.0	630
1420.0	631
34192.0	632
66961.0	633
1428.0	634
34196.0	635
1433.0	636
1434.0	637
66970.0	638
1438.0	639
34210.0	640
34212.0	641
34213.0	642
1447.0	643
66989.0	644
1455.0	645
1457.0	646
34226.0	647
34227.0	648
1459.0	649
34229.0	650
1461.0	651
66999.0	652
34235.0	653
67003.0	654
1468.0	655
34237.0	656
1475.0	657
34244.0	658
