gene_a	gene_b	label
67	12811	1
111	10596	1
111	6848	1
111	10746	1
215	6154	1
615	12811	1
667	12811	1
727	12811	1
883	12811	1
891	12811	1
1113	12811	1
1146	12811	1
1209	12811	1
1314	12811	1
1452	12811	1
1470	12811	1
1632	12811	1
1867	12811	1
1988	12811	1
2136	12811	1
2338	12811	1
2373	12811	1
2461	12811	1
2538	12811	1
2566	7316	1
2566	1701	1
2566	14398	1
2566	3334	1
2566	11766	1
2566	12571	1
2566	4824	1
2805	12811	1
3002	12811	1
3059	12811	1
3117	12811	1
3263	12811	1
3349	12811	1
3634	12811	1
3690	12811	1
3851	4564	1
4377	12811	1
4405	12811	1
4464	12811	1
4560	12811	1
4675	12811	1
4986	12811	1
4992	12811	1
5021	12811	1
5237	12811	1
5247	12811	1
5262	12811	1
5637	6513	1
5637	7318	1
5637	8307	1
5637	6175	1
5637	7129	1
5637	7323	1
5637	3616	1
5637	5102	1
5637	13228	1
5637	6470	1
5637	758	1
5637	2733	1
5637	7213	1
5637	517	1
5834	12811	1
5870	12811	1
5955	12811	1
6054	7129	1
6054	758	1
6054	3880	1
6054	6470	1
6054	3616	1
6154	3851	1
6171	12811	1
6184	12811	1
6330	12811	1
6420	12811	1
6470	3379	1
6470	2733	1
6470	4612	1
6470	7129	1
6470	7360	1
6470	7318	1
6470	12498	1
6470	13324	1
6470	14398	1
6470	517	1
6470	12571	1
6470	6470	1
6516	12811	1
6614	12811	1
6705	6175	1
6705	14300	1
6708	12811	1
6754	12811	1
6849	12811	1
7117	12811	1
7358	12811	1
7422	12811	1
7649	12811	1
7752	12811	1
7899	12811	1
8204	12811	1
8470	12811	1
8570	12811	1
8737	12811	1
8769	12811	1
8795	13349	1
8795	12811	1
8822	12811	1
9079	12811	1
9154	12811	1
9400	12811	1
9403	12811	1
9441	12811	1
9490	12811	1
9688	12811	1
9708	4534	1
9740	12811	1
10020	517	1
10020	758	1
10020	2733	1
10043	215	1
10043	5395	1
10161	12811	1
10248	12811	1
10642	12811	1
10684	12811	1
10746	10733	1
10869	10043	1
10878	12811	1
10931	9489	1
11009	12811	1
11076	12811	1
11164	12811	1
11197	12811	1
11234	5995	1
11234	6687	1
11234	12894	1
11234	426	1
11234	3851	1
11234	10869	1
11234	8243	1
11234	4564	1
11234	12312	1
11234	10370	1
11340	12811	1
11390	12811	1
11476	3811	1
11496	12811	1
11844	12811	1
11851	12811	1
11862	12811	1
12037	270	1
12077	9062	1
12170	12811	1
12202	12811	1
12405	12811	1
12446	12811	1
12450	12811	1
12498	9567	1
12547	12811	1
12604	12811	1
12613	13324	1
12613	14398	1
12613	7129	1
12613	6470	1
12613	3379	1
12613	3616	1
12613	517	1
12613	4612	1
12613	3334	1
12613	9567	1
12613	4824	1
12613	6513	1
12613	11115	1
12613	5586	1
12613	7486	1
12613	4266	1
12613	3722	1
12613	12571	1
12613	9489	1
12620	12811	1
12681	12811	1
12832	12811	1
12984	12811	1
13178	12811	1
13356	12811	1
13750	7129	1
13845	12811	1
14214	1264	1
14342	12811	1
14359	12811	1
14360	12811	1
14361	12811	1
14365	12811	1
14432	758	1
14432	5586	1
14432	10084	1
14651	12811	1
14734	12811	1
14789	12811	1
29	12811	1
86	12811	1
190	12811	1
193	138	1
193	617	1
193	5586	1
193	10596	1
193	758	1
283	12811	1
366	14300	1
457	12811	1
699	10282	1
784	12811	1
982	12811	1
998	12811	1
1223	12811	1
1411	12811	1
1500	12811	1
1538	12811	1
1619	12811	1
1677	12811	1
1727	12811	1
1811	12811	1
1941	12811	1
2051	12811	1
2721	12811	1
3331	12811	1
3445	12811	1
3688	12811	1
3768	12811	1
3888	12811	1
3994	12811	1
4046	12811	1
4142	12811	1
4207	12571	1
4207	515	1
4207	3379	1
4207	14398	1
4207	11350	1
4436	12811	1
4440	11350	1
4440	14398	1
4440	12571	1
4440	9489	1
4440	3379	1
4603	12811	1
4711	12811	1
5018	12811	1
5050	12811	1
5052	12811	1
5141	12811	1
5267	12811	1
5346	12811	1
5395	4564	1
5445	3616	1
5445	3379	1
5712	12811	1
5865	12811	1
6175	14300	1
6228	12811	1
6230	12811	1
6363	12811	1
6500	12811	1
6651	12811	1
6667	11234	1
6848	7129	1
6848	7318	1
6848	5102	1
6848	758	1
6848	2733	1
6848	6513	1
6848	7213	1
6848	13228	1
6848	8307	1
6848	6175	1
6848	517	1
7318	12811	1
7371	12811	1
7402	12811	1
