a	b
16384.0	0
65540.0	1
16389.0	2
81927.0	3
65547.0	4
49164.0	5
65554.0	6
81941.0	7
32791.0	8
16407.0	9
49178.0	10
32796.0	11
16413.0	12
30.0	13
81949.0	14
34.0	15
32803.0	16
65570.0	17
65573.0	18
49187.0	19
81962.0	20
65579.0	21
32813.0	22
16429.0	23
49199.0	24
65584.0	25
16437.0	26
32822.0	27
65594.0	28
32834.0	29
65608.0	30
32842.0	31
81995.0	32
76.0	33
81.0	34
32852.0	35
86.0	36
65631.0	37
49247.0	38
49249.0	39
49251.0	40
49252.0	41
82022.0	42
65643.0	43
107.0	44
32881.0	45
117.0	46
82040.0	47
16505.0	48
32890.0	49
16507.0	50
65666.0	51
82050.0	52
32905.0	53
49289.0	54
140.0	55
82062.0	56
16529.0	57
65683.0	58
32917.0	59
16533.0	60
49304.0	61
16537.0	62
82075.0	63
16540.0	64
65693.0	65
49310.0	66
32935.0	67
16556.0	68
65708.0	69
32940.0	70
82095.0	71
32944.0	72
49330.0	73
65718.0	74
187.0	75
82108.0	76
32959.0	77
16580.0	78
65735.0	79
65737.0	80
82124.0	81
65747.0	82
32980.0	83
49366.0	84
32983.0	85
65753.0	86
82139.0	87
16604.0	88
49373.0	89
49374.0	90
65767.0	91
65768.0	92
233.0	93
32999.0	94
49390.0	95
238.0	96
82162.0	97
16632.0	98
16634.0	99
252.0	100
33023.0	101
82175.0	102
255.0	103
33025.0	104
49409.0	105
16642.0	106
82185.0	107
65806.0	108
33039.0	109
49424.0	110
275.0	111
33047.0	112
33049.0	113
82201.0	114
33051.0	115
49434.0	116
16666.0	117
49436.0	118
49438.0	119
49446.0	120
65833.0	121
65834.0	122
16681.0	123
49452.0	124
49453.0	125
16685.0	126
65842.0	127
82229.0	128
49464.0	129
82241.0	130
65861.0	131
16712.0	132
33097.0	133
49483.0	134
333.0	135
65874.0	136
49491.0	137
340.0	138
82262.0	139
82263.0	140
65881.0	141
82268.0	142
65886.0	143
354.0	144
49508.0	145
16742.0	146
49512.0	147
361.0	148
65898.0	149
16745.0	150
33136.0	151
65908.0	152
375.0	153
49532.0	154
82301.0	155
16766.0	156
16767.0	157
16775.0	158
82312.0	159
65929.0	160
82313.0	161
405.0	162
82326.0	163
65943.0	164
16792.0	165
33178.0	166
410.0	167
422.0	168
16820.0	169
33208.0	170
443.0	171
16828.0	172
444.0	173
82366.0	174
16835.0	175
16837.0	176
456.0	177
16845.0	178
82384.0	179
49616.0	180
16848.0	181
82392.0	182
82393.0	183
49630.0	184
49631.0	185
82409.0	186
49644.0	187
501.0	188
16885.0	189
16889.0	190
33287.0	191
521.0	192
16911.0	193
16913.0	194
82450.0	195
537.0	196
33316.0	197
82470.0	198
16935.0	199
16934.0	200
49705.0	201
558.0	202
66094.0	203
33331.0	204
82488.0	205
16953.0	206
66115.0	207
66116.0	208
33347.0	209
33358.0	210
33360.0	211
82520.0	212
604.0	213
82528.0	214
33380.0	215
82532.0	216
66150.0	217
49764.0	218
49769.0	219
49770.0	220
66155.0	221
626.0	222
33395.0	223
66165.0	224
632.0	225
66170.0	226
66173.0	227
66174.0	228
49789.0	229
640.0	230
49794.0	231
17029.0	232
33415.0	233
82569.0	234
17034.0	235
66187.0	236
82572.0	237
17035.0	238
33423.0	239
17039.0	240
49808.0	241
82577.0	242
660.0	243
661.0	244
49813.0	245
66202.0	246
666.0	247
66207.0	248
672.0	249
