gene_a	gene_b	label
2075	1582	1
2075	416	1
2075	4479	1
2075	2916	1
2075	6769	1
2075	1872	1
2075	6856	1
2075	3030	1
2075	6230	1
4938	1582	1
4938	2916	1
4938	6230	1
4938	4479	1
4938	3030	1
4938	416	1
4938	1872	1
4938	6856	1
332	3030	1
332	1872	1
332	2916	1
332	6856	1
332	6230	1
332	416	1
332	6769	1
332	4479	1
332	1582	1
3195	1582	1
3195	1872	1
3195	2916	1
3195	6856	1
3195	4479	1
3195	6230	1
3195	416	1
3195	3030	1
3961	6856	1
3961	4479	1
3961	416	1
3961	6230	1
3961	6769	1
3961	1872	1
3961	1582	1
3961	3030	1
3961	2916	1
5245	1872	1
5245	6856	1
5245	3030	1
5245	416	1
5245	2916	1
5245	1582	1
5245	4479	1
5245	6230	1
6385	6856	1
6385	6230	1
6385	2916	1
6385	1872	1
6385	3030	1
6385	4479	1
6385	416	1
6385	1582	1
6856	6230	1
6856	3030	1
6856	1872	1
6856	2916	1
6856	6856	1
6856	416	1
6856	4479	1
2166	2916	1
2166	416	1
2166	1872	1
2166	1582	1
2166	3030	1
2166	4479	1
2166	6230	1
2166	6856	1
3512	416	1
3512	1582	1
3512	1872	1
3512	6230	1
3512	3030	1
3512	6856	1
3512	4479	1
3512	2916	1
3846	1582	1
3846	6856	1
3846	3030	1
3846	2916	1
3846	4479	1
3846	416	1
3846	1872	1
3846	6230	1
5483	416	1
5483	4479	1
5483	6230	1
5483	6769	1
5483	6856	1
5483	2916	1
5483	1582	1
5483	1872	1
5483	3030	1
2439	416	1
2439	6230	1
2439	1582	1
2439	3030	1
2439	2916	1
2439	4479	1
2439	6856	1
2439	1872	1
4074	2916	1
4074	416	1
4074	1872	1
4074	6230	1
4074	6856	1
4074	3030	1
4074	1582	1
4074	4479	1
4113	3030	1
4113	2916	1
4113	4479	1
4113	6230	1
4113	416	1
4113	1872	1
4113	6856	1
4113	1582	1
4113	6769	1
6172	4479	1
6172	6230	1
6172	1582	1
6172	3030	1
6172	6856	1
6172	416	1
6172	2916	1
6172	1872	1
246	2916	1
246	416	1
246	3030	1
246	6769	1
246	6230	1
246	1872	1
246	1582	1
246	6856	1
246	4479	1
1388	1582	1
1388	2916	1
1388	416	1
1388	6856	1
1388	6230	1
1388	4479	1
1388	3030	1
1388	1872	1
2371	416	1
2371	6230	1
2371	6856	1
2371	2916	1
2371	1872	1
2371	1582	1
2371	3030	1
2371	6769	1
2371	4479	1
2614	6856	1
2614	4479	1
2614	6769	1
2614	3030	1
2614	6230	1
2614	1872	1
2614	416	1
2614	2916	1
2614	1582	1
3086	3030	1
3086	2916	1
3086	416	1
3086	6856	1
3086	4479	1
3086	1872	1
3086	1582	1
3086	6769	1
3086	6230	1
5480	6230	1
5480	1872	1
5480	4479	1
5480	6769	1
5480	416	1
5480	3030	1
5480	1582	1
5891	1872	1
5891	3030	1
5891	2916	1
5891	1582	1
5891	4479	1
5891	6230	1
5891	6856	1
5891	416	1
1230	3030	1
1230	1582	1
1230	6769	1
1230	1872	1
1230	2916	1
1230	4479	1
1230	416	1
1230	6856	1
1230	6230	1
1271	2916	1
1271	4479	1
1271	6230	1
1271	6856	1
1271	1582	1
1271	416	1
1271	1872	1
1271	3030	1
2899	2916	1
2899	6230	1
2899	416	1
2899	6769	1
2899	1872	1
2899	3030	1
2899	1582	1
2899	4479	1
2899	6856	1
2916	6230	1
2916	4479	1
2916	3030	1
2916	2916	1
2916	1872	1
2916	416	1
4088	6230	1
4088	2916	1
4088	1872	1
4088	3030	1
4088	416	1
4088	1582	1
4088	6856	1
4088	4479	1
4296	416	1
4296	6230	1
4296	3030	1
4296	4479	1
4296	6856	1
4296	1872	1
4296	1582	1
4296	2916	1
4397	1872	1
4397	6856	1
4397	3030	1
4397	6230	1
4397	4479	1
4397	416	1
4397	2916	1
4397	1582	1
5619	1872	1
5619	1582	1
5619	2916	1
5619	416	1
5619	4479	1
5619	6230	1
5619	6856	1
5619	3030	1
5483	2371	0
5245	5480	0
2439	4113	0
6172	246	0
2439	3846	0
1582	3030	0
1230	3512	0
6769	4088	0
3086	4074	0
3512	4074	0
3195	4113	0
2439	4074	0
2899	1230	0
2439	2614	0
3195	4938	0
6769	3195	0
3086	4113	0
6769	5619	0
1230	4088	0
3512	2614	0
2371	2166	0
4296	2439	0
5619	5480	0
5619	4296	0
4938	2614	0
5480	3195	0
2614	4088	0
3086	5483	0
1872	4479	0
6230	1872	0
2614	4397	0
5891	1271	0
4074	3961	0
1230	332	0
4074	246	0
5480	2166	0
4113	2899	0
4397	2899	0
2439	1388	0
6769	4479	0
2614	5480	0
2075	2371	0
4938	4113	0
1230	6385	0
5619	2899	0
4397	5245	0
5480	4088	0
2166	4296	0
3195	3961	0
2166	1388	0
4113	6385	0
3846	3195	0
4074	5245	0
3961	3086	0
2075	5480	0
4074	3195	0
1872	4479	0
4296	2439	0
5480	1388	0
1582	6230	0
2371	4074	0
4397	1388	0
3512	2899	0
5483	6172	0
1388	4074	0
1271	2166	0
1230	1271	0
3512	6385	0
5245	5480	0
246	5619	0
2075	3512	0
2371	1230	0
332	246	0
4397	6172	0
6385	2614	0
1271	2614	0
332	3086	0
3512	332	0
2899	4113	0
1271	6172	0
5480	2439	0
6385	4938	0
5245	4938	0
332	246	0
4113	6385	0
246	2371	0
5891	4296	0
5619	4074	0
6769	1582	0
3846	1271	0
1388	2075	0
2371	5891	0
5891	5619	0
4296	5483	0
5480	246	0
3846	2439	0
3512	5480	0
332	2614	0
5480	6856	0
1388	1230	0
5483	3512	0
6230	6769	0
332	3961	0
3086	3512	0
5483	5245	0
3195	5245	0
3195	2075	0
2439	6385	0
332	1388	0
3195	2371	0
2166	4296	0
2371	5483	0
2614	4113	0
3846	332	0
2075	4296	0
1388	6385	0
332	4088	0
6172	5891	0
416	4479	0
2899	1271	0
1230	1388	0
2899	4074	0
5480	1271	0
1388	2371	0
5891	6769	0
5619	4088	0
3961	5483	0
5891	2899	0
3961	5245	0
5245	2371	0
6172	3512	0
3961	2899	0
4088	6385	0
2899	4074	0
2371	1271	0
4088	3195	0
2371	2614	0
5891	2075	0
2614	246	0
5483	5891	0
3195	2166	0
4397	3512	0
6385	3961	0
1230	5619	0
4938	3846	0
3195	4397	0
246	5619	0
1271	3512	0
6172	3512	0
6769	1872	0
4074	6172	0
5480	1271	0
5480	5245	0
2075	4397	0
2899	4397	0
2371	3512	0
5891	2371	0
1230	5891	0
246	2899	0
4296	4938	0
1388	5480	0
4479	416	0
3195	2075	0
3030	1872	0
4074	3961	0
2439	2899	0
1271	5480	0
3846	4938	0
3512	3086	0
332	5483	0
5245	3961	0
2075	2899	0
5619	2899	0
2439	1388	0
3846	1230	0
2439	246	0
4397	3086	0
6769	3030	0
3086	4296	0
2371	246	0
3195	1271	0
5483	5619	0
5619	5480	0
1230	1388	0
6172	4088	0
1271	5483	0
6172	4397	0
2075	5483	0
6172	4296	0
4296	5483	0
4938	6172	0
1271	5245	0
332	5891	0
2166	2899	0
3961	4397	0
2614	5480	0
1388	5245	0
4074	1271	0
2899	3195	0
416	6769	0
2075	4088	0
4088	6385	0
6230	3030	0
1230	5480	0
2371	1271	0
6769	3846	0
246	5483	0
4088	2614	0
5619	246	0
4074	2614	0
3846	5245	0
5619	332	0
2899	3846	0
246	5619	0
6385	2614	0
5245	3086	0
2075	5619	0
3195	5483	0
2166	2439	0
3512	246	0
246	2075	0
1230	4088	0
5483	3961	0
4074	1271	0
2371	3961	0
2614	2371	0
6385	6769	0
2371	2899	0
6856	6769	0
1271	2166	0
4479	6230	0
2371	2166	0
2614	3086	0
332	6172	0
4938	6385	0
6385	3846	0
1388	4113	0
2075	4113	0
5480	4397	0
3961	2075	0
4074	1271	0
1271	4397	0
3086	246	0
1388	5480	0
3961	4074	0
2614	6385	0
332	4074	0
6385	2075	0
3846	4074	0
4074	4938	0
3030	416	0
2614	2371	0
3086	1271	0
4479	6769	0
1582	3030	0
