a	b
32773.0	0
6.0	1
11.0	2
32786.0	3
32791.0	4
32796.0	5
30.0	6
65570.0	7
35.0	8
36.0	9
32803.0	10
65573.0	11
65579.0	12
32813.0	13
65582.0	14
65584.0	15
32822.0	16
65594.0	17
66.0	18
32834.0	19
32839.0	20
32842.0	21
65620.0	22
86.0	23
65631.0	24
65639.0	25
104.0	26
65643.0	27
107.0	28
32881.0	29
65650.0	30
117.0	31
122.0	32
32890.0	33
65666.0	34
65669.0	35
32905.0	36
32907.0	37
140.0	38
65683.0	39
32917.0	40
32927.0	41
65705.0	42
32940.0	43
65708.0	44
32944.0	45
65718.0	46
187.0	47
32959.0	48
32960.0	49
65737.0	50
65747.0	51
32980.0	52
214.0	53
65753.0	54
65767.0	55
65768.0	56
32999.0	57
234.0	58
65771.0	59
238.0	60
33011.0	61
33012.0	62
245.0	63
248.0	64
252.0	65
255.0	66
33025.0	67
65795.0	68
65799.0	69
275.0	70
33047.0	71
65816.0	72
33049.0	73
33051.0	74
65833.0	75
65834.0	76
306.0	77
65842.0	78
65861.0	79
328.0	80
65865.0	81
33097.0	82
338.0	83
65874.0	84
65886.0	85
65887.0	86
354.0	87
361.0	88
375.0	89
65913.0	90
377.0	91
65915.0	92
33148.0	93
404.0	94
405.0	95
65943.0	96
33178.0	97
410.0	98
422.0	99
33204.0	100
33208.0	101
443.0	102
444.0	103
451.0	104
33221.0	105
454.0	106
33223.0	107
456.0	108
461.0	109
466.0	110
33237.0	111
475.0	112
501.0	113
66044.0	114
514.0	115
515.0	116
33287.0	117
66057.0	118
66058.0	119
33292.0	120
66062.0	121
66064.0	122
537.0	123
66081.0	124
33313.0	125
33316.0	126
556.0	127
33325.0	128
558.0	129
66094.0	130
33331.0	131
66101.0	132
66104.0	133
66112.0	134
33344.0	135
66115.0	136
66116.0	137
33347.0	138
584.0	139
586.0	140
33358.0	141
591.0	142
33360.0	143
593.0	144
33366.0	145
604.0	146
33380.0	147
66150.0	148
615.0	149
66152.0	150
66155.0	151
66158.0	152
33393.0	153
626.0	154
33395.0	155
33396.0	156
66165.0	157
632.0	158
66170.0	159
636.0	160
66174.0	161
639.0	162
640.0	163
33412.0	164
33414.0	165
66183.0	166
33415.0	167
33419.0	168
33423.0	169
660.0	170
661.0	171
66197.0	172
666.0	173
66207.0	174
672.0	175
33441.0	176
66216.0	177
66217.0	178
33449.0	179
33448.0	180
33471.0	181
66241.0	182
33474.0	183
707.0	184
33473.0	185
33478.0	186
66265.0	187
66272.0	188
33506.0	189
33510.0	190
743.0	191
748.0	192
33522.0	193
66290.0	194
66294.0	195
66296.0	196
33529.0	197
33531.0	198
763.0	199
765.0	200
766.0	201
66303.0	202
66304.0	203
776.0	204
779.0	205
788.0	206
798.0	207
804.0	208
66353.0	209
819.0	210
33590.0	211
825.0	212
33598.0	213
834.0	214
66378.0	215
33611.0	216
843.0	217
844.0	218
851.0	219
33623.0	220
66393.0	221
66395.0	222
859.0	223
33629.0	224
33631.0	225
871.0	226
33645.0	227
66419.0	228
891.0	229
892.0	230
66431.0	231
33676.0	232
911.0	233
33680.0	234
913.0	235
918.0	236
919.0	237
66457.0	238
922.0	239
33692.0	240
33694.0	241
66467.0	242
33703.0	243
33707.0	244
33708.0	245
944.0	246
33715.0	247
66486.0	248
952.0	249
33722.0	250
66495.0	251
960.0	252
66500.0	253
66504.0	254
969.0	255
974.0	256
66515.0	257
981.0	258
66518.0	259
66536.0	260
33789.0	261
1021.0	262
33807.0	263
1042.0	264
66579.0	265
33812.0	266
66583.0	267
66586.0	268
33821.0	269
33825.0	270
66602.0	271
1074.0	272
66615.0	273
33856.0	274
66624.0	275
66629.0	276
1094.0	277
33862.0	278
66632.0	279
1099.0	280
66638.0	281
33872.0	282
66650.0	283
33884.0	284
33885.0	285
1122.0	286
33893.0	287
1127.0	288
66671.0	289
66678.0	290
66681.0	291
1145.0	292
66683.0	293
33917.0	294
33926.0	295
1162.0	296
1163.0	297
1165.0	298
66702.0	299
33934.0	300
1171.0	301
1175.0	302
33944.0	303
1178.0	304
66719.0	305
66728.0	306
66745.0	307
66746.0	308
33979.0	309
1215.0	310
33984.0	311
33987.0	312
33990.0	313
66759.0	314
1224.0	315
66765.0	316
66777.0	317
66779.0	318
34012.0	319
34017.0	320
66787.0	321
34023.0	322
66795.0	323
66797.0	324
34032.0	325
1267.0	326
34035.0	327
66805.0	328
66804.0	329
1268.0	330
66810.0	331
34045.0	332
34047.0	333
1282.0	334
66820.0	335
1287.0	336
66826.0	337
66830.0	338
66836.0	339
66842.0	340
66851.0	341
1317.0	342
1327.0	343
1336.0	344
1337.0	345
34113.0	346
34117.0	347
1354.0	348
1357.0	349
34126.0	350
66896.0	351
34129.0	352
34139.0	353
34141.0	354
1374.0	355
66912.0	356
66914.0	357
66916.0	358
1381.0	359
1383.0	360
34159.0	361
66930.0	362
66933.0	363
1397.0	364
34170.0	365
34171.0	366
34172.0	367
1404.0	368
1406.0	369
66942.0	370
66944.0	371
66941.0	372
1413.0	373
1420.0	374
66956.0	375
1428.0	376
34196.0	377
1433.0	378
1434.0	379
66970.0	380
1438.0	381
34213.0	382
1447.0	383
66989.0	384
1457.0	385
34227.0	386
1459.0	387
66999.0	388
34235.0	389
67003.0	390
1468.0	391
1475.0	392
67018.0	393
1487.0	394
67025.0	395
34258.0	396
34259.0	397
34260.0	398
34283.0	399
67052.0	400
67054.0	401
1521.0	402
34296.0	403
1531.0	404
34299.0	405
67068.0	406
67076.0	407
34311.0	408
1549.0	409
67089.0	410
1556.0	411
67093.0	412
67107.0	413
1571.0	414
34341.0	415
34343.0	416
1576.0	417
34346.0	418
67120.0	419
34352.0	420
1587.0	421
34358.0	422
34362.0	423
1599.0	424
67135.0	425
67136.0	426
1602.0	427
67139.0	428
67140.0	429
34374.0	430
1609.0	431
67146.0	432
34379.0	433
34382.0	434
1619.0	435
34389.0	436
67161.0	437
1632.0	438
34404.0	439
1645.0	440
67194.0	441
67195.0	442
67197.0	443
34429.0	444
34438.0	445
1671.0	446
67210.0	447
34444.0	448
34445.0	449
1682.0	450
34452.0	451
67224.0	452
67225.0	453
67229.0	454
34463.0	455
34464.0	456
67235.0	457
67236.0	458
34473.0	459
34480.0	460
1713.0	461
1717.0	462
67254.0	463
34491.0	464
34492.0	465
67260.0	466
67265.0	467
34497.0	468
34502.0	469
34511.0	470
1748.0	471
67287.0	472
34520.0	473
34522.0	474
1754.0	475
1755.0	476
67299.0	477
34533.0	478
34534.0	479
67306.0	480
1770.0	481
34544.0	482
1777.0	483
1786.0	484
67329.0	485
67330.0	486
34563.0	487
1799.0	488
34571.0	489
67343.0	490
34578.0	491
34580.0	492
67360.0	493
67362.0	494
67363.0	495
1829.0	496
1833.0	497
1835.0	498
34603.0	499
67377.0	500
67384.0	501
1849.0	502
67388.0	503
1852.0	504
1857.0	505
1858.0	506
67400.0	507
1865.0	508
1869.0	509
67405.0	510
1877.0	511
1878.0	512
67418.0	513
34650.0	514
67424.0	515
34661.0	516
1897.0	517
67435.0	518
1900.0	519
1901.0	520
34670.0	521
34671.0	522
1927.0	523
34698.0	524
67466.0	525
34700.0	526
1935.0	527
1936.0	528
34706.0	529
67475.0	530
34710.0	531
67480.0	532
67485.0	533
67486.0	534
1953.0	535
1955.0	536
34727.0	537
1961.0	538
67498.0	539
67503.0	540
67514.0	541
67518.0	542
34755.0	543
67523.0	544
2010.0	545
34779.0	546
67549.0	547
2019.0	548
67556.0	549
67561.0	550
2027.0	551
34796.0	552
2035.0	553
2041.0	554
67590.0	555
67591.0	556
2055.0	557
34832.0	558
34833.0	559
2069.0	560
34842.0	561
2077.0	562
67619.0	563
34857.0	564
34858.0	565
67625.0	566
34862.0	567
67632.0	568
2097.0	569
2099.0	570
67636.0	571
34872.0	572
34875.0	573
2112.0	574
2114.0	575
2115.0	576
34884.0	577
2116.0	578
2119.0	579
34887.0	580
67660.0	581
67662.0	582
34900.0	583
34904.0	584
67680.0	585
2144.0	586
67683.0	587
67698.0	588
2164.0	589
67700.0	590
2166.0	591
34932.0	592
2172.0	593
34941.0	594
2177.0	595
2178.0	596
2179.0	597
67716.0	598
34947.0	599
34951.0	600
34960.0	601
2192.0	602
34977.0	603
34979.0	604
67749.0	605
2218.0	606
67757.0	607
2224.0	608
34996.0	609
2231.0	610
35000.0	611
67769.0	612
2234.0	613
2238.0	614
35006.0	615
35009.0	616
35012.0	617
67781.0	618
67789.0	619
67791.0	620
2256.0	621
67793.0	622
67797.0	623
2262.0	624
2261.0	625
2268.0	626
2273.0	627
35053.0	628
2289.0	629
67825.0	630
67827.0	631
67828.0	632
2293.0	633
67831.0	634
2298.0	635
2299.0	636
67839.0	637
2306.0	638
35074.0	639
35080.0	640
35082.0	641
35090.0	642
2326.0	643
35095.0	644
35101.0	645
35108.0	646
35109.0	647
35112.0	648
35114.0	649
2351.0	650
67888.0	651
67889.0	652
2355.0	653
35123.0	654
2357.0	655
2359.0	656
35133.0	657
2367.0	658
2370.0	659
35146.0	660
35147.0	661
35154.0	662
2390.0	663
67928.0	664
2404.0	665
2405.0	666
35175.0	667
2413.0	668
2416.0	669
2417.0	670
67953.0	671
35190.0	672
35191.0	673
67958.0	674
2425.0	675
67961.0	676
2442.0	677
67979.0	678
2445.0	679
35214.0	680
2458.0	681
35232.0	682
2465.0	683
35235.0	684
68006.0	685
35238.0	686
2470.0	687
68009.0	688
68013.0	689
35247.0	690
2487.0	691
35260.0	692
68039.0	693
35273.0	694
2507.0	695
35276.0	696
35275.0	697
2512.0	698
68049.0	699
68052.0	700
68056.0	701
2523.0	702
68061.0	703
2526.0	704
2532.0	705
2539.0	706
2545.0	707
35316.0	708
2551.0	709
35325.0	710
68096.0	711
68098.0	712
2565.0	713
2576.0	714
35345.0	715
35346.0	716
35344.0	717
68117.0	718
68131.0	719
2597.0	720
35367.0	721
35368.0	722
68142.0	723
68146.0	724
35385.0	725
2618.0	726
35396.0	727
2629.0	728
2628.0	729
35404.0	730
2641.0	731
68177.0	732
2644.0	733
2645.0	734
35412.0	735
68183.0	736
35419.0	737
35423.0	738
68191.0	739
35427.0	740
35429.0	741
2663.0	742
2664.0	743
68202.0	744
68203.0	745
35437.0	746
35442.0	747
35446.0	748
35448.0	749
68217.0	750
35451.0	751
68219.0	752
2688.0	753
35458.0	754
68230.0	755
2695.0	756
68231.0	757
2697.0	758
2696.0	759
2699.0	760
68238.0	761
2715.0	762
35486.0	763
2718.0	764
68254.0	765
2722.0	766
35490.0	767
2729.0	768
35503.0	769
2736.0	770
2737.0	771
2735.0	772
35504.0	773
2740.0	774
35508.0	775
68277.0	776
2747.0	777
35519.0	778
68302.0	779
2774.0	780
35546.0	781
68317.0	782
68318.0	783
2794.0	784
2803.0	785
35574.0	786
2808.0	787
35583.0	788
68363.0	789
35596.0	790
2841.0	791
35610.0	792
2847.0	793
2848.0	794
68387.0	795
2853.0	796
2854.0	797
35627.0	798
68397.0	799
35630.0	800
35638.0	801
68414.0	802
68415.0	803
2880.0	804
35649.0	805
35650.0	806
2883.0	807
35648.0	808
68421.0	809
68427.0	810
68429.0	811
2895.0	812
35664.0	813
35666.0	814
2902.0	815
68439.0	816
68441.0	817
2908.0	818
2909.0	819
68449.0	820
2932.0	821
2933.0	822
2942.0	823
68479.0	824
35718.0	825
2956.0	826
68508.0	827
35742.0	828
68514.0	829
2979.0	830
35748.0	831
68517.0	832
68520.0	833
68524.0	834
35761.0	835
68531.0	836
2998.0	837
35768.0	838
68538.0	839
3003.0	840
35777.0	841
68545.0	842
35782.0	843
3016.0	844
3018.0	845
68556.0	846
68565.0	847
3033.0	848
68575.0	849
3048.0	850
35817.0	851
68588.0	852
35823.0	853
35829.0	854
3063.0	855
68601.0	856
68610.0	857
68613.0	858
3079.0	859
35848.0	860
68617.0	861
68618.0	862
35852.0	863
3085.0	864
35856.0	865
68624.0	866
35862.0	867
3100.0	868
3101.0	869
68636.0	870
35875.0	871
68650.0	872
68651.0	873
3115.0	874
68663.0	875
3137.0	876
35917.0	877
3150.0	878
35923.0	879
3163.0	880
68702.0	881
68705.0	882
3173.0	883
3174.0	884
68715.0	885
35948.0	886
35953.0	887
35955.0	888
68736.0	889
35971.0	890
35973.0	891
35976.0	892
68744.0	893
35978.0	894
35979.0	895
3212.0	896
68748.0	897
3216.0	898
68760.0	899
3225.0	900
68764.0	901
36000.0	902
3234.0	903
68772.0	904
3236.0	905
68775.0	906
36010.0	907
36013.0	908
3249.0	909
36017.0	910
36024.0	911
3263.0	912
68805.0	913
3273.0	914
3287.0	915
36057.0	916
68827.0	917
3291.0	918
68831.0	919
3297.0	920
3302.0	921
3309.0	922
68850.0	923
68858.0	924
68859.0	925
3322.0	926
3332.0	927
68872.0	928
3339.0	929
36108.0	930
68880.0	931
36126.0	932
36134.0	933
3370.0	934
68911.0	935
36145.0	936
3378.0	937
3385.0	938
68925.0	939
36163.0	940
36167.0	941
36168.0	942
68938.0	943
36173.0	944
68941.0	945
3407.0	946
3408.0	947
36177.0	948
36178.0	949
68959.0	950
3426.0	951
68964.0	952
36197.0	953
3435.0	954
36204.0	955
68976.0	956
3441.0	957
3440.0	958
3451.0	959
68989.0	960
36221.0	961
3453.0	962
3456.0	963
68993.0	964
36236.0	965
3487.0	966
36255.0	967
69025.0	968
3490.0	969
36258.0	970
69023.0	971
69031.0	972
3498.0	973
3502.0	974
36282.0	975
69056.0	976
3523.0	977
69061.0	978
3527.0	979
69063.0	980
36297.0	981
36303.0	982
69077.0	983
3542.0	984
69083.0	985
69085.0	986
36319.0	987
36320.0	988
3567.0	989
36336.0	990
69110.0	991
3583.0	992
69121.0	993
3590.0	994
3591.0	995
3594.0	996
3602.0	997
69144.0	998
69145.0	999
3611.0	1000
69150.0	1001
36385.0	1002
69158.0	1003
69163.0	1004
36398.0	1005
69167.0	1006
69170.0	1007
3638.0	1008
3641.0	1009
3643.0	1010
69198.0	1011
36432.0	1012
69201.0	1013
3673.0	1014
3675.0	1015
36460.0	1016
69228.0	1017
3698.0	1018
3705.0	1019
36476.0	1020
3708.0	1021
3713.0	1022
3719.0	1023
3734.0	1024
36503.0	1025
3740.0	1026
3741.0	1027
69282.0	1028
69283.0	1029
36517.0	1030
3755.0	1031
36523.0	1032
69294.0	1033
3758.0	1034
3762.0	1035
69300.0	1036
3767.0	1037
36537.0	1038
69308.0	1039
69310.0	1040
3782.0	1041
3788.0	1042
69336.0	1043
69342.0	1044
36577.0	1045
3811.0	1046
36581.0	1047
69352.0	1048
36591.0	1049
69359.0	1050
36594.0	1051
69368.0	1052
3833.0	1053
69385.0	1054
36619.0	1055
3852.0	1056
3854.0	1057
3860.0	1058
36633.0	1059
36634.0	1060
69404.0	1061
3868.0	1062
36636.0	1063
36643.0	1064
69423.0	1065
36656.0	1066
69429.0	1067
69430.0	1068
69431.0	1069
36662.0	1070
36669.0	1071
36671.0	1072
36673.0	1073
3910.0	1074
36680.0	1075
36682.0	1076
3915.0	1077
36688.0	1078
36689.0	1079
3920.0	1080
3927.0	1081
69467.0	1082
3936.0	1083
69474.0	1084
3941.0	1085
3949.0	1086
69487.0	1087
36719.0	1088
36720.0	1089
3955.0	1090
69492.0	1091
69495.0	1092
3963.0	1093
69514.0	1094
69515.0	1095
3981.0	1096
69519.0	1097
69523.0	1098
69525.0	1099
69528.0	1100
3992.0	1101
36767.0	1102
36770.0	1103
36772.0	1104
69541.0	1105
36775.0	1106
36776.0	1107
69545.0	1108
4011.0	1109
36788.0	1110
4021.0	1111
36790.0	1112
4022.0	1113
69568.0	1114
69569.0	1115
4034.0	1116
36804.0	1117
36806.0	1118
36807.0	1119
4042.0	1120
36812.0	1121
36814.0	1122
36816.0	1123
4048.0	1124
36821.0	1125
36822.0	1126
4055.0	1127
36825.0	1128
36826.0	1129
69597.0	1130
36832.0	1131
69607.0	1132
4076.0	1133
69627.0	1134
4092.0	1135
69628.0	1136
69630.0	1137
69645.0	1138
4111.0	1139
36884.0	1140
36885.0	1141
69656.0	1142
4124.0	1143
4131.0	1144
4133.0	1145
36908.0	1146
69678.0	1147
69686.0	1148
36918.0	1149
4159.0	1150
36932.0	1151
36933.0	1152
36934.0	1153
36947.0	1154
36948.0	1155
4180.0	1156
4183.0	1157
36952.0	1158
4185.0	1159
4189.0	1160
4196.0	1161
4205.0	1162
69742.0	1163
36980.0	1164
36981.0	1165
69750.0	1166
36986.0	1167
69759.0	1168
36992.0	1169
4225.0	1170
36995.0	1171
69770.0	1172
69773.0	1173
37007.0	1174
69776.0	1175
4253.0	1176
69800.0	1177
69801.0	1178
4272.0	1179
37043.0	1180
4276.0	1181
69816.0	1182
37053.0	1183
4293.0	1184
37070.0	1185
4308.0	1186
4314.0	1187
37088.0	1188
37090.0	1189
37091.0	1190
37092.0	1191
69863.0	1192
69870.0	1193
4336.0	1194
4337.0	1195
4340.0	1196
69879.0	1197
37112.0	1198
37124.0	1199
4362.0	1200
69899.0	1201
4363.0	1202
37134.0	1203
37138.0	1204
69907.0	1205
37139.0	1206
37143.0	1207
69912.0	1208
37145.0	1209
69919.0	1210
69922.0	1211
4387.0	1212
4386.0	1213
4389.0	1214
37157.0	1215
4390.0	1216
4393.0	1217
4394.0	1218
4396.0	1219
69934.0	1220
37167.0	1221
4401.0	1222
69948.0	1223
37183.0	1224
4415.0	1225
37187.0	1226
4419.0	1227
37202.0	1228
69970.0	1229
69972.0	1230
