gene_a	gene_b	label
112	5476	1
1878	5476	1
1896	5476	1
1974	5476	1
2689	8871	1
2707	5476	1
2738	5476	1
2784	5476	1
2860	5476	1
3267	5476	1
3697	5476	1
4024	5476	1
4214	5476	1
5213	5476	1
5341	5476	1
5415	5476	1
5456	8264	1
5456	8871	1
5476	6713	1
6227	5476	1
6434	5476	1
6624	5476	1
7067	5476	1
7831	5476	1
8139	5476	1
8836	5476	1
8871	4024	1
8958	5476	1
9079	5476	1
9181	5476	1
153	5476	1
213	8871	1
561	5476	1
1190	5476	1
2190	5476	1
2364	5476	1
2479	5476	1
2596	5476	1
2892	5476	1
2905	5476	1
2954	5476	1
3140	5476	1
3398	5476	1
3842	4024	1
3842	8871	1
4599	5476	1
4750	5476	1
5508	5476	1
5888	5476	1
5954	5476	1
6321	5476	1
6512	5476	1
6701	5476	1
6756	5476	1
7139	5476	1
7553	5476	1
7801	5476	1
7844	5476	1
8103	5476	1
8188	5476	1
8264	5476	1
8264	8871	1
8812	5476	1
8823	5476	1
8891	8871	1
9098	5476	1
124	5476	1
182	5476	1
242	5476	1
563	5476	1
1617	5476	1
1633	5476	1
1962	5476	1
2296	5476	1
2609	5476	1
2749	5476	1
3092	5476	1
3336	5476	1
3738	5476	1
3799	5476	1
3986	5476	1
4546	5476	1
4881	5476	1
5625	5476	1
5877	8871	1
6622	5476	1
6700	5476	1
7092	5476	1
7206	4024	1
7651	5476	1
8032	5476	1
8503	5476	1
8520	5476	1
8721	5476	1
8786	5476	1
8871	7801	0
7651	8823	0
1962	124	0
4024	6227	0
561	6512	0
3986	2954	0
3842	9098	0
8721	124	0
7801	1633	0
9181	5415	0
7553	3267	0
3267	8823	0
7092	6713	0
3986	6700	0
2749	2892	0
6701	4214	0
3267	2738	0
3738	7553	0
5625	561	0
2364	8264	0
3140	4024	0
3140	3738	0
8891	5213	0
2707	2860	0
2954	8264	0
6624	5213	0
2954	6227	0
5341	5415	0
2689	7139	0
8871	6512	0
7651	242	0
5877	182	0
3986	3092	0
8871	5508	0
1617	6701	0
8721	2905	0
2905	3336	0
182	7844	0
4024	3697	0
6713	8891	0
8188	4750	0
8103	6227	0
9079	8032	0
3799	3842	0
1190	7553	0
2190	2738	0
8823	8836	0
6713	3398	0
6700	5456	0
8836	8958	0
8139	3697	0
7092	9181	0
8823	4881	0
4881	563	0
8032	124	0
3092	7801	0
8264	8958	0
8264	3336	0
7844	8958	0
7831	4024	0
7553	3842	0
3092	9181	0
3336	5877	0
6700	5508	0
2860	3267	0
8891	7651	0
8871	3336	0
3697	3267	0
6434	5877	0
6624	6227	0
1617	7139	0
1896	4024	0
8721	3398	0
3842	1190	0
6624	2479	0
8503	5213	0
9079	8503	0
3140	2738	0
8836	8871	0
112	5625	0
8721	7092	0
7206	561	0
7651	8520	0
3986	2296	0
1962	1617	0
6756	3398	0
2609	8836	0
3398	242	0
7831	3336	0
2707	2784	0
5213	1896	0
8823	2479	0
4024	6700	0
5877	1633	0
4546	6622	0
