a	b
0.0	0
65537.0	1
65539.0	2
65540.0	3
5.0	4
65542.0	5
6.0	6
11.0	7
12.0	8
65547.0	9
65553.0	10
65554.0	11
65561.0	12
28.0	13
30.0	14
65569.0	15
34.0	16
35.0	17
36.0	18
65570.0	19
38.0	20
65573.0	21
40.0	22
65575.0	23
65579.0	24
44.0	25
65582.0	26
65584.0	27
65592.0	28
65593.0	29
65594.0	30
66.0	31
71.0	32
65608.0	33
76.0	34
78.0	35
80.0	36
81.0	37
82.0	38
65620.0	39
65621.0	40
86.0	41
87.0	42
90.0	43
65627.0	44
65630.0	45
65631.0	46
65635.0	47
65639.0	48
104.0	49
65640.0	50
107.0	51
65643.0	52
110.0	53
65647.0	54
65650.0	55
115.0	56
117.0	57
65654.0	58
122.0	59
124.0	60
65666.0	61
132.0	62
65669.0	63
133.0	64
134.0	65
138.0	66
140.0	67
65676.0	68
65678.0	69
143.0	70
65681.0	71
65682.0	72
147.0	73
65683.0	74
149.0	75
65686.0	76
65688.0	77
155.0	78
65693.0	79
161.0	80
168.0	81
65705.0	82
65708.0	83
65709.0	84
174.0	85
65715.0	86
65718.0	87
183.0	88
185.0	89
187.0	90
65731.0	91
65733.0	92
65735.0	93
65737.0	94
65741.0	95
65743.0	96
65747.0	97
65749.0	98
214.0	99
65753.0	100
218.0	101
219.0	102
65754.0	103
223.0	104
226.0	105
65764.0	106
231.0	107
65767.0	108
233.0	109
234.0	110
65768.0	111
65771.0	112
238.0	113
65779.0	114
245.0	115
65782.0	116
248.0	117
65787.0	118
252.0	119
254.0	120
255.0	121
65793.0	122
65795.0	123
65797.0	124
65799.0	125
265.0	126
65801.0	127
65803.0	128
268.0	129
65806.0	130
275.0	131
65813.0	132
279.0	133
280.0	134
65816.0	135
290.0	136
65826.0	137
65833.0	138
298.0	139
65834.0	140
301.0	141
65837.0	142
65840.0	143
306.0	144
65842.0	145
316.0	146
321.0	147
65859.0	148
324.0	149
65860.0	150
65861.0	151
328.0	152
65865.0	153
65867.0	154
333.0	155
65869.0	156
65873.0	157
338.0	158
65874.0	159
340.0	160
342.0	161
65881.0	162
349.0	163
65886.0	164
65887.0	165
354.0	166
65890.0	167
65892.0	168
361.0	169
65898.0	170
65908.0	171
373.0	172
375.0	173
377.0	174
65913.0	175
65915.0	176
386.0	177
65925.0	178
391.0	179
65929.0	180
397.0	181
399.0	182
401.0	183
404.0	184
405.0	185
406.0	186
65943.0	187
409.0	188
410.0	189
65947.0	190
412.0	191
65949.0	192
413.0	193
416.0	194
418.0	195
65957.0	196
422.0	197
65960.0	198
436.0	199
443.0	200
444.0	201
445.0	202
65981.0	203
65983.0	204
448.0	205
65986.0	206
451.0	207
454.0	208
456.0	209
65997.0	210
461.0	211
65998.0	212
466.0	213
473.0	214
66010.0	215
475.0	216
66012.0	217
66011.0	218
480.0	219
484.0	220
487.0	221
489.0	222
66026.0	223
66028.0	224
493.0	225
66031.0	226
66033.0	227
66037.0	228
501.0	229
502.0	230
66044.0	231
66045.0	232
513.0	233
514.0	234
515.0	235
519.0	236
521.0	237
522.0	238
66058.0	239
66057.0	240
525.0	241
526.0	242
66059.0	243
66062.0	244
66064.0	245
530.0	246
531.0	247
66069.0	248
537.0	249
66079.0	250
66081.0	251
546.0	252
66086.0	253
550.0	254
66087.0	255
556.0	256
558.0	257
66094.0	258
560.0	259
66095.0	260
66096.0	261
66098.0	262
66101.0	263
566.0	264
66104.0	265
66105.0	266
66108.0	267
574.0	268
66111.0	269
576.0	270
66112.0	271
66115.0	272
66116.0	273
584.0	274
586.0	275
66125.0	276
590.0	277
591.0	278
593.0	279
66133.0	280
602.0	281
604.0	282
66143.0	283
66150.0	284
615.0	285
66152.0	286
66153.0	287
66155.0	288
66158.0	289
623.0	290
66159.0	291
66161.0	292
626.0	293
627.0	294
66163.0	295
66165.0	296
66167.0	297
632.0	298
66170.0	299
635.0	300
636.0	301
66171.0	302
638.0	303
66175.0	304
639.0	305
640.0	306
66173.0	307
66174.0	308
66177.0	309
66183.0	310
66185.0	311
651.0	312
66187.0	313
66188.0	314
66193.0	315
660.0	316
661.0	317
66197.0	318
66201.0	319
66202.0	320
666.0	321
66205.0	322
66207.0	323
672.0	324
66216.0	325
66217.0	326
682.0	327
66224.0	328
691.0	329
694.0	330
66231.0	331
66233.0	332
702.0	333
704.0	334
66241.0	335
707.0	336
66243.0	337
708.0	338
66246.0	339
66248.0	340
712.0	341
66251.0	342
66253.0	343
66254.0	344
718.0	345
721.0	346
66258.0	347
728.0	348
66265.0	349
66267.0	350
732.0	351
66272.0	352
66275.0	353
740.0	354
743.0	355
745.0	356
746.0	357
748.0	358
750.0	359
66287.0	360
751.0	361
66288.0	362
754.0	363
755.0	364
756.0	365
66289.0	366
758.0	367
66290.0	368
66293.0	369
66294.0	370
762.0	371
763.0	372
66296.0	373
765.0	374
766.0	375
767.0	376
66303.0	377
769.0	378
770.0	379
66304.0	380
66308.0	381
772.0	382
774.0	383
66310.0	384
776.0	385
779.0	386
66315.0	387
66319.0	388
787.0	389
788.0	390
789.0	391
66325.0	392
66327.0	393
66328.0	394
796.0	395
798.0	396
66338.0	397
804.0	398
66341.0	399
66343.0	400
66351.0	401
816.0	402
66353.0	403
819.0	404
821.0	405
823.0	406
825.0	407
828.0	408
66365.0	409
66369.0	410
834.0	411
66372.0	412
837.0	413
66375.0	414
840.0	415
66376.0	416
842.0	417
843.0	418
844.0	419
66378.0	420
66380.0	421
847.0	422
850.0	423
851.0	424
66388.0	425
66393.0	426
859.0	427
66395.0	428
66400.0	429
865.0	430
867.0	431
871.0	432
66408.0	433
66412.0	434
66414.0	435
879.0	436
880.0	437
883.0	438
66420.0	439
66419.0	440
891.0	441
892.0	442
66428.0	443
66431.0	444
896.0	445
898.0	446
901.0	447
66438.0	448
903.0	449
905.0	450
906.0	451
909.0	452
911.0	453
913.0	454
915.0	455
918.0	456
919.0	457
66457.0	458
922.0	459
924.0	460
925.0	461
929.0	462
930.0	463
66467.0	464
934.0	465
66471.0	466
938.0	467
944.0	468
66485.0	469
66486.0	470
66487.0	471
952.0	472
957.0	473
66495.0	474
960.0	475
66499.0	476
964.0	477
66500.0	478
966.0	479
66502.0	480
66504.0	481
969.0	482
66509.0	483
974.0	484
977.0	485
66514.0	486
66515.0	487
981.0	488
66518.0	489
66519.0	490
66520.0	491
990.0	492
995.0	493
66531.0	494
66536.0	495
1001.0	496
66537.0	497
66540.0	498
1007.0	499
66545.0	500
1013.0	501
1014.0	502
66550.0	503
1015.0	504
66555.0	505
66556.0	506
1021.0	507
66562.0	508
66564.0	509
1029.0	510
1030.0	511
66565.0	512
66574.0	513
1039.0	514
66576.0	515
1041.0	516
1042.0	517
66579.0	518
66583.0	519
1048.0	520
66586.0	521
1058.0	522
1059.0	523
66596.0	524
1061.0	525
66595.0	526
66597.0	527
66602.0	528
66605.0	529
66606.0	530
66609.0	531
1074.0	532
66615.0	533
1083.0	534
1084.0	535
66621.0	536
66624.0	537
66629.0	538
1094.0	539
1095.0	540
66632.0	541
1099.0	542
66638.0	543
1106.0	544
66643.0	545
1109.0	546
1112.0	547
66650.0	548
1115.0	549
1116.0	550
1118.0	551
66654.0	552
66655.0	553
1121.0	554
1122.0	555
1123.0	556
1124.0	557
1125.0	558
1126.0	559
1127.0	560
66658.0	561
66661.0	562
66667.0	563
66668.0	564
1133.0	565
66671.0	566
66672.0	567
1137.0	568
66673.0	569
66677.0	570
66678.0	571
66679.0	572
66680.0	573
1145.0	574
66681.0	575
66683.0	576
66684.0	577
66687.0	578
66688.0	579
1153.0	580
66691.0	581
1157.0	582
66693.0	583
1161.0	584
1162.0	585
1163.0	586
1164.0	587
1165.0	588
66702.0	589
1166.0	590
1168.0	591
66700.0	592
66705.0	593
1171.0	594
66709.0	595
66710.0	596
1175.0	597
1176.0	598
1178.0	599
66715.0	600
1179.0	601
1181.0	602
66716.0	603
66719.0	604
66725.0	605
66728.0	606
66733.0	607
1200.0	608
66738.0	609
66739.0	610
1204.0	611
66745.0	612
66746.0	613
66747.0	614
1212.0	615
66749.0	616
1215.0	617
1218.0	618
66754.0	619
66755.0	620
66757.0	621
66756.0	622
66759.0	623
1224.0	624
66760.0	625
1226.0	626
66764.0	627
66765.0	628
66770.0	629
66771.0	630
66772.0	631
1240.0	632
66777.0	633
66779.0	634
1245.0	635
1247.0	636
66787.0	637
1254.0	638
66792.0	639
1257.0	640
66794.0	641
66795.0	642
1259.0	643
1260.0	644
66797.0	645
1267.0	646
1268.0	647
66804.0	648
66805.0	649
1271.0	650
66810.0	651
1276.0	652
1277.0	653
66812.0	654
1282.0	655
1283.0	656
66820.0	657
66822.0	658
1287.0	659
66826.0	660
1291.0	661
66830.0	662
1295.0	663
66831.0	664
66835.0	665
66836.0	666
1302.0	667
1305.0	668
66842.0	669
1307.0	670
66846.0	671
1313.0	672
66851.0	673
1317.0	674
1318.0	675
66853.0	676
1320.0	677
1321.0	678
66856.0	679
66860.0	680
66862.0	681
1327.0	682
66864.0	683
1334.0	684
1336.0	685
1337.0	686
1341.0	687
1344.0	688
1351.0	689
1352.0	690
1353.0	691
1354.0	692
1355.0	693
1357.0	694
66896.0	695
1364.0	696
66905.0	697
1369.0	698
1374.0	699
66912.0	700
66914.0	701
66916.0	702
1381.0	703
1383.0	704
66921.0	705
1385.0	706
1386.0	707
66924.0	708
1389.0	709
1393.0	710
66930.0	711
1397.0	712
66933.0	713
1400.0	714
66939.0	715
