gene_a	gene_b	label
13	16312	1
4334	4917	1
4334	1986	1
4334	1057	1
4334	9700	1
4334	15387	1
4334	8470	1
4334	20178	1
4334	18412	1
4334	6231	1
4334	3167	1
4334	9382	1
4334	8669	1
4334	13504	1
4334	10625	1
4334	9337	1
4334	14697	1
4334	7456	1
4334	6256	1
4334	13967	1
4334	14589	1
4334	4338	1
4334	20052	1
23246	16312	1
23241	22656	1
23182	22656	1
23164	6256	1
23164	7456	1
23164	8470	1
23164	9700	1
23164	16358	1
4334	16358	1
23164	15387	1
4169	16312	1
4169	16457	1
23164	18412	1
23164	9382	1
4294	16312	1
4334	13946	1
4334	5301	1
4334	12489	1
23164	13967	1
23164	1986	1
23164	9337	1
23164	10625	1
14551	22656	1
22757	1758	1
22776	17095	1
14333	1758	1
22792	17095	1
22859	16312	1
22903	20365	1
22923	1758	1
22706	20365	1
22923	22656	1
23077	17095	1
23098	20365	1
23098	22656	1
23102	17095	1
23164	1057	1
23164	11522	1
23164	20052	1
23164	4257	1
22962	17095	1
22681	17095	1
14981	17095	1
14627	22656	1
15748	16312	1
15606	16312	1
4441	16457	1
15321	22656	1
23077	16312	1
4488	16312	1
4505	16457	1
4520	16457	1
15267	16312	1
15231	22656	1
15229	22656	1
15748	22656	1
15662	17095	1
15662	16312	1
15443	17095	1
15363	16457	1
15325	17095	1
15267	17095	1
4743	22656	1
23258	8669	1
23258	16358	1
23430	22656	1
3919	16312	1
18683	22656	1
16493	22656	1
18593	17095	1
18569	22656	1
21834	22656	1
18563	22656	1
16457	22420	1
18470	17095	1
18713	8669	1
16457	14936	1
16415	17095	1
18421	16312	1
16381	22656	1
16283	16457	1
16073	16312	1
18391	17095	1
18360	17095	1
18292	20365	1
16457	23572	1
21723	16312	1
21653	22656	1
3008	16312	1
18797	17095	1
18762	17095	1
18721	20365	1
18713	4257	1
18713	9693	1
22656	5713	1
18713	13946	1
16679	22656	1
18713	3167	1
18713	14697	1
18713	11522	1
21510	16312	1
18713	9337	1
18713	20052	1
18713	20178	1
18713	1057	1
21582	22656	1
18713	16358	1
3008	17095	1
22656	1439	1
23164	9693	1
18128	1758	1
18120	17095	1
22172	17095	1
23687	16312	1
23628	22656	1
22252	9382	1
3535	22656	1
22252	8470	1
22252	16358	1
23604	16312	1
16312	22132	1
23559	22656	1
22368	22656	1
22409	22656	1
23537	16312	1
3772	16312	1
23530	16312	1
22470	16312	1
22486	22656	1
22515	16312	1
22345	16312	1
22068	16312	1
17242	22656	1
17380	17095	1
18088	17095	1
18052	17095	1
17971	17095	1
17818	17095	1
3112	16312	1
17810	17095	1
15805	22656	1
21961	22656	1
17802	16312	1
3197	16312	1
21979	22656	1
22005	16312	1
17786	16312	1
17757	1758	1
17595	17095	1
17583	17095	1
17575	17095	1
17556	17095	1
17423	17095	1
15999	22656	1
16713	16312	1
23182	20365	1
23213	22656	1
24215	22252	1
24215	3519	1
24215	4334	1
24215	20052	1
24215	9306	1
24215	13967	1
24215	3167	1
24215	10219	1
