gene1,gene2,class,cancer
GATA3,IL6ST,1,BRCA
AKT2,PARP1,0,BRCA
ABCC4,FBN1,1,BRCA
BCL10,MAP2K4,0,BRCA
DLG2,PARP1,0,BRCA
FBN1,MAP3K1,1,BRCA
NAGK,PARP1,0,BRCA
MLL5,PTPN13,0,BRCA
GATA3,GATA3,0,BRCA
ERCC4,LMO2,0,BRCA
ASAP1,BRCA1,1,BRCA
PPARA,SUFU,1,BRCA
MLL5,NDRG1,0,BRCA
PARP1,PIK3CA,0,BRCA
DDB2,LMO2,0,BRCA
PIK3C3,PTCH1,1,BRCA
MEN1,SDHB,1,BRCA
MSI2,PPARA,1,BRCA
BRCA1,CLDN18,1,BRCA
EZH2,MEN1,1,BRCA
PARP1,PRKAR2A,0,BRCA
BRCA1,PLEKHF2,1,BRCA
MAP3K1,MLL3,1,BRCA
MTRF1L,MTRF1L,0,BRCA
PARP1,RAF1,0,BRCA
BRIP1,ERCC4,0,BRCA
BRCA2,RCAN3,1,BRCA
CAMK2D,PARP1,0,BRCA
CCND2,DHRS13,1,BRCA
CHEK2,PARP1,0,BRCA
PTEN,SLC45A3,1,BRCA
PACSIN1,PARP1,0,BRCA
PARP1,TGFBR2,0,BRCA
NOL4,PTEN,1,BRCA
ARHGEF12,BCL10,0,BRCA
PARP1,PRPSAP2,0,BRCA
OPTC,PTEN,1,BRCA
ERCC4,NDRG1,0,BRCA
PARP1,PIK3CB,0,BRCA
KDR,PARP1,0,BRCA
KRAS,MLL3,1,BRCA
ERCC4,MET,0,BRCA
ABCC4,MLH1,1,BRCA
PARP1,PSME2,1,BRCA
DPYS,TP53,1,BRCA
PARP1,SRPK1,0,BRCA
BRCA2,TRIP11,1,BRCA
CANT1,MET,0,BRCA
MAP3K1,MET,1,BRCA
KRAS,KRAS,0,BRCA
CREBBP,SS18L1,1,BRCA
CANT1,COL1A1,0,BRCA
EFNB2,PTEN,1,BRCA
KRAS,NDRG1,0,BRCA
CIT,PARP1,0,BRCA
CREBBP,MITF,0,BRCA
ELK4,PPARA,1,BRCA
BIRC3,PTPN13,0,BRCA
CDX2,PTEN,1,BRCA
OR2H1,PTEN,1,BRCA
CANT1,SS18L1,1,BRCA
PARP1,RAC1,0,BRCA
CANT1,USP6,0,BRCA
CDH1,PTPN13,0,BRCA
