a	b
0.0	0
65537.0	1
65539.0	2
5.0	3
65542.0	4
6.0	5
11.0	6
65547.0	7
12.0	8
65554.0	9
30.0	10
65569.0	11
34.0	12
35.0	13
36.0	14
65570.0	15
38.0	16
65575.0	17
40.0	18
65573.0	19
65579.0	20
65582.0	21
65584.0	22
65593.0	23
65594.0	24
66.0	25
71.0	26
65608.0	27
76.0	28
80.0	29
82.0	30
65620.0	31
65621.0	32
86.0	33
87.0	34
90.0	35
65627.0	36
65630.0	37
65631.0	38
65639.0	39
104.0	40
65640.0	41
65643.0	42
107.0	43
65650.0	44
115.0	45
117.0	46
122.0	47
124.0	48
65666.0	49
132.0	50
65669.0	51
134.0	52
138.0	53
140.0	54
65681.0	55
147.0	56
65683.0	57
149.0	58
65688.0	59
155.0	60
65693.0	61
161.0	62
168.0	63
65705.0	64
65708.0	65
65709.0	66
174.0	67
65715.0	68
65718.0	69
183.0	70
185.0	71
187.0	72
65733.0	73
65735.0	74
65737.0	75
65743.0	76
65747.0	77
65749.0	78
214.0	79
65753.0	80
218.0	81
219.0	82
65754.0	83
223.0	84
226.0	85
231.0	86
65768.0	87
65767.0	88
234.0	89
65771.0	90
233.0	91
238.0	92
65779.0	93
245.0	94
65782.0	95
248.0	96
65787.0	97
252.0	98
255.0	99
65795.0	100
65797.0	101
65799.0	102
65803.0	103
268.0	104
65806.0	105
275.0	106
279.0	107
280.0	108
65816.0	109
290.0	110
65826.0	111
65833.0	112
298.0	113
65834.0	114
65840.0	115
65842.0	116
316.0	117
65859.0	118
65861.0	119
328.0	120
65867.0	121
65869.0	122
333.0	123
65873.0	124
338.0	125
65874.0	126
340.0	127
342.0	128
65881.0	129
349.0	130
65886.0	131
65887.0	132
65890.0	133
354.0	134
361.0	135
65898.0	136
65908.0	137
375.0	138
65913.0	139
377.0	140
65915.0	141
65925.0	142
391.0	143
65929.0	144
397.0	145
401.0	146
404.0	147
405.0	148
406.0	149
65943.0	150
410.0	151
65947.0	152
412.0	153
65949.0	154
418.0	155
422.0	156
436.0	157
443.0	158
444.0	159
445.0	160
65981.0	161
448.0	162
65986.0	163
454.0	164
456.0	165
65997.0	166
65998.0	167
466.0	168
66010.0	169
66011.0	170
66012.0	171
480.0	172
484.0	173
489.0	174
66026.0	175
66033.0	176
66037.0	177
501.0	178
66044.0	179
66045.0	180
513.0	181
514.0	182
515.0	183
66057.0	184
66058.0	185
525.0	186
66062.0	187
526.0	188
66064.0	189
530.0	190
537.0	191
66079.0	192
546.0	193
550.0	194
66087.0	195
556.0	196
558.0	197
66094.0	198
66096.0	199
560.0	200
66098.0	201
566.0	202
66104.0	203
66105.0	204
66108.0	205
66111.0	206
66112.0	207
576.0	208
66115.0	209
66116.0	210
584.0	211
66125.0	212
590.0	213
591.0	214
593.0	215
66133.0	216
604.0	217
66143.0	218
66150.0	219
615.0	220
66152.0	221
66155.0	222
66158.0	223
66159.0	224
66161.0	225
626.0	226
627.0	227
66165.0	228
66167.0	229
632.0	230
66170.0	231
636.0	232
638.0	233
639.0	234
640.0	235
66177.0	236
66174.0	237
66183.0	238
66185.0	239
66187.0	240
66188.0	241
66193.0	242
660.0	243
661.0	244
66197.0	245
66201.0	246
666.0	247
66205.0	248
66207.0	249
672.0	250
66216.0	251
66217.0	252
682.0	253
694.0	254
66233.0	255
702.0	256
704.0	257
707.0	258
66243.0	259
708.0	260
66254.0	261
721.0	262
66258.0	263
728.0	264
66265.0	265
66267.0	266
732.0	267
66272.0	268
740.0	269
743.0	270
745.0	271
746.0	272
748.0	273
750.0	274
66287.0	275
66288.0	276
754.0	277
755.0	278
66290.0	279
756.0	280
758.0	281
66294.0	282
66296.0	283
762.0	284
763.0	285
765.0	286
766.0	287
66303.0	288
66304.0	289
772.0	290
66310.0	291
774.0	292
776.0	293
779.0	294
66319.0	295
787.0	296
788.0	297
789.0	298
66325.0	299
66328.0	300
798.0	301
66338.0	302
804.0	303
66341.0	304
66343.0	305
66351.0	306
816.0	307
66353.0	308
819.0	309
821.0	310
823.0	311
825.0	312
828.0	313
834.0	314
837.0	315
66375.0	316
66378.0	317
843.0	318
66380.0	319
844.0	320
851.0	321
66393.0	322
859.0	323
66400.0	324
867.0	325
871.0	326
66408.0	327
66412.0	328
879.0	329
880.0	330
66419.0	331
891.0	332
892.0	333
66428.0	334
66431.0	335
896.0	336
898.0	337
66438.0	338
903.0	339
905.0	340
906.0	341
909.0	342
911.0	343
913.0	344
915.0	345
918.0	346
919.0	347
66457.0	348
922.0	349
924.0	350
929.0	351
930.0	352
934.0	353
66471.0	354
938.0	355
944.0	356
66485.0	357
66486.0	358
66487.0	359
952.0	360
957.0	361
66495.0	362
960.0	363
66499.0	364
66500.0	365
966.0	366
66502.0	367
66504.0	368
969.0	369
974.0	370
977.0	371
66514.0	372
66515.0	373
981.0	374
66518.0	375
66519.0	376
66520.0	377
990.0	378
995.0	379
66531.0	380
66536.0	381
1001.0	382
66537.0	383
1007.0	384
66545.0	385
1013.0	386
66550.0	387
66555.0	388
66556.0	389
1021.0	390
66564.0	391
66565.0	392
1029.0	393
1030.0	394
66574.0	395
1039.0	396
1042.0	397
66579.0	398
1048.0	399
66586.0	400
1058.0	401
66596.0	402
1061.0	403
66602.0	404
66605.0	405
66606.0	406
66609.0	407
1074.0	408
66615.0	409
1083.0	410
1084.0	411
66624.0	412
66629.0	413
1094.0	414
66632.0	415
1099.0	416
66638.0	417
1106.0	418
66643.0	419
1109.0	420
1112.0	421
66650.0	422
1115.0	423
1118.0	424
66655.0	425
1121.0	426
66658.0	427
1122.0	428
1124.0	429
66661.0	430
1126.0	431
1125.0	432
1127.0	433
66667.0	434
1133.0	435
66671.0	436
1137.0	437
66678.0	438
66679.0	439
66681.0	440
1145.0	441
66683.0	442
66684.0	443
66687.0	444
66688.0	445
1153.0	446
66691.0	447
1157.0	448
66693.0	449
1161.0	450
1162.0	451
1163.0	452
1164.0	453
1165.0	454
66702.0	455
1166.0	456
1168.0	457
66705.0	458
66700.0	459
1171.0	460
66710.0	461
1175.0	462
1176.0	463
1178.0	464
66715.0	465
1179.0	466
66716.0	467
66719.0	468
66728.0	469
1200.0	470
66738.0	471
66745.0	472
66746.0	473
66747.0	474
1212.0	475
66749.0	476
1215.0	477
66754.0	478
66756.0	479
66757.0	480
66759.0	481
1224.0	482
1226.0	483
66765.0	484
66772.0	485
1240.0	486
66779.0	487
1247.0	488
66787.0	489
1254.0	490
66795.0	491
1259.0	492
66797.0	493
1267.0	494
66804.0	495
66805.0	496
1268.0	497
66810.0	498
1277.0	499
1282.0	500
66820.0	501
1287.0	502
66826.0	503
1291.0	504
66830.0	505
66831.0	506
66835.0	507
66836.0	508
1305.0	509
66842.0	510
66846.0	511
1313.0	512
66851.0	513
1317.0	514
66853.0	515
1318.0	516
1320.0	517
66856.0	518
66860.0	519
1327.0	520
66864.0	521
1334.0	522
1336.0	523
1337.0	524
1341.0	525
1344.0	526
1353.0	527
1354.0	528
1355.0	529
1357.0	530
66896.0	531
66905.0	532
1374.0	533
66912.0	534
66914.0	535
66916.0	536
1383.0	537
66921.0	538
1385.0	539
66924.0	540
1389.0	541
1393.0	542
66930.0	543
1397.0	544
66939.0	545
1404.0	546
66941.0	547
1406.0	548
66942.0	549
66944.0	550
1413.0	551
66950.0	552
66949.0	553
66952.0	554
66953.0	555
66955.0	556
1420.0	557
66956.0	558
66964.0	559
1428.0	560
1430.0	561
1433.0	562
1434.0	563
1435.0	564
66970.0	565
1438.0	566
1442.0	567
66982.0	568
1447.0	569
66989.0	570
1455.0	571
1457.0	572
66994.0	573
1459.0	574
1461.0	575
66997.0	576
66999.0	577
67003.0	578
67004.0	579
1468.0	580
1474.0	581
1475.0	582
67018.0	583
1484.0	584
67021.0	585
1485.0	586
1487.0	587
1488.0	588
67025.0	589
67028.0	590
1494.0	591
67035.0	592
1504.0	593
1507.0	594
67043.0	595
1510.0	596
1515.0	597
67052.0	598
67054.0	599
1521.0	600
67065.0	601
1531.0	602
67068.0	603
1535.0	604
67076.0	605
67077.0	606
1548.0	607
1549.0	608
67089.0	609
67091.0	610
1556.0	611
67093.0	612
67094.0	613
1562.0	614
1564.0	615
1568.0	616
67105.0	617
67107.0	618
1571.0	619
1574.0	620
1576.0	621
1578.0	622
67118.0	623
67120.0	624
1587.0	625
1589.0	626
67125.0	627
1597.0	628
1599.0	629
67135.0	630
67136.0	631
1602.0	632
67139.0	633
1603.0	634
1605.0	635
67140.0	636
67143.0	637
1609.0	638
67146.0	639
1610.0	640
1615.0	641
1619.0	642
1623.0	643
67161.0	644
67162.0	645
67164.0	646
1632.0	647
1633.0	648
67172.0	649
1638.0	650
1645.0	651
67185.0	652
67188.0	653
1655.0	654
1659.0	655
67195.0	656
67197.0	657
67205.0	658
1671.0	659
67210.0	660
1676.0	661
67216.0	662
1681.0	663
1682.0	664
67222.0	665
67223.0	666
67224.0	667
67225.0	668
1690.0	669
67229.0	670
67235.0	671
67236.0	672
1704.0	673
67241.0	674
1717.0	675
67254.0	676
67260.0	677
67265.0	678
1731.0	679
67278.0	680
1742.0	681
1744.0	682
1746.0	683
67282.0	684
1748.0	685
67287.0	686
67290.0	687
1754.0	688
67291.0	689
1755.0	690
67299.0	691
1763.0	692
1765.0	693
67306.0	694
1770.0	695
67309.0	696
1777.0	697
1786.0	698
67328.0	699
67329.0	700
67330.0	701
1795.0	702
67333.0	703
67335.0	704
1799.0	705
67336.0	706
1805.0	707
